variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
pre_visit_dance,c1_r15m,1,15.000000,435,0.000000,0.000000,0.619198,0.391796,0.342791,0.000722,0.001000,1.000000,1.000000,0.425572
pre_visit_dance,c1_r15m,1,15.000000,436,0.000000,0.000000,0.199416,0.334422,0.483950,0.000361,0.001000,1.000000,1.000000,0.409866
pre_visit_dance,c1_r15m,1,15.000000,438,0.000000,0.002941,0.368281,0.568028,0.710673,0.000333,0.001000,1.000000,1.000000,0.532882
pre_visit_dance,c1_r15m,1,15.000000,437,0.000000,0.000000,0.277214,0.532620,0.490004,0.000472,0.001000,1.000000,1.000000,0.637690
pre_visit_dance,c1_r15m,1,15.000000,439,0.000000,0.000000,0.528094,0.226313,0.534284,0.000722,0.001000,1.000000,1.000000,0.199251
pre_visit_dance,c1_r15m,1,15.000000,440,0.000000,0.000000,0.429179,0.371483,0.688469,0.001222,0.001000,1.000000,1.000000,0.342954
pre_visit_dance,c1_r15m,1,15.000000,441,0.000000,0.000868,0.258285,0.662094,0.678376,0.000583,0.001000,1.000000,1.000000,0.497962
pre_visit_dance,c1_r15m,1,15.000000,442,0.000000,0.000000,0.237387,0.205266,0.591466,0.000833,0.001000,1.000000,1.000000,0.169556
pre_visit_dance,c1_r15m,1,15.000000,443,0.000000,0.000000,0.355625,0.339625,0.553472,0.000667,0.001000,1.000000,1.000000,0.172855
pre_visit_dance,c1_r15m,1,15.000000,444,0.000000,-0.002000,0.387996,0.246454,0.494583,0.000611,0.001000,1.000000,1.000000,0.264440
pre_visit_dance,c1_r15m,1,15.000000,445,0.000000,-0.001493,0.206885,0.504151,0.573505,0.000917,0.001000,1.000000,1.000000,0.415183
pre_visit_dance,c1_r15m,1,15.000000,446,0.000000,0.000000,0.574114,0.385418,0.700736,0.001056,0.001000,1.000000,1.000000,0.472623
pre_visit_dance,c1_r15m,1,15.000000,447,0.000000,0.001961,0.241039,0.439666,0.620828,0.000833,0.001000,1.000000,1.000000,0.376143
pre_visit_dance,c1_r15m,1,15.000000,448,0.000000,0.000535,0.293503,0.525168,0.840777,0.000722,0.001000,1.000000,1.000000,0.473305
pre_visit_dance,c1_r15m,1,15.000000,449,-0.029412,0.001225,0.557413,0.464388,0.664893,0.000500,0.001000,1.000000,1.000000,0.411410
pre_visit_dance,c1_r37.5m,1,37.500000,400,0.037970,0.003582,0.190627,0.415803,0.769520,0.001139,0.001000,1.000000,1.000000,0.349306
pre_visit_dance,c1_r37.5m,1,37.500000,401,-0.007937,0.018653,0.527506,0.186510,0.423747,0.001889,0.001000,1.000000,1.000000,0.101111
pre_visit_dance,c1_r37.5m,1,37.500000,402,0.002405,0.012566,0.336311,0.364005,0.596332,0.001583,0.001000,1.000000,1.000000,0.394402
pre_visit_dance,c1_r37.5m,1,37.500000,404,0.033333,0.018034,0.487807,0.299625,0.781110,0.001250,0.001000,1.000000,1.000000,0.312177
pre_visit_dance,c1_r37.5m,1,37.500000,405,0.000000,0.015848,0.296343,0.529951,0.706488,0.001028,0.001000,1.000000,1.000000,0.588031
pre_visit_dance,c1_r37.5m,1,37.500000,403,0.000000,0.014888,0.278582,0.431563,0.468510,0.001694,0.001000,1.000000,1.000000,0.309490
pre_visit_dance,c1_r37.5m,1,37.500000,408,0.011236,0.007181,0.394184,0.542945,0.641385,0.001167,0.001000,1.000000,1.000000,0.592618
pre_visit_dance,c1_r37.5m,1,37.500000,406,0.032609,0.018620,0.584801,0.591159,0.432192,0.001361,0.001000,1.000000,1.000000,0.449001
pre_visit_dance,c1_r37.5m,1,37.500000,407,0.015385,0.007057,0.386165,0.367277,0.572461,0.001806,0.001000,1.000000,1.000000,0.359049
pre_visit_dance,c1_r37.5m,1,37.500000,409,0.005159,0.020977,0.251699,0.468466,0.247511,0.002528,0.001000,1.000000,1.000000,0.345421
