point,parameter,parameter_value,is_baseline,generations,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,394,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,32,0.237,123,0.310,37,0.157,0,0.777,0.909,0.107,0.198,0.107,0.091,0.142,0.622,4.145,259.359
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,397,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,66,0.290,104,0.296,130,0.148,0,0.783,0.885,0.173,0.107,0.107,0.065,0.173,0.595,3.993,238.371
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,396,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.232,18,0.235,176,0.186,0,0.890,0.916,0.170,0.244,0.170,0.074,0.096,0.613,4.178,256.851
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,398,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.272,63,0.248,50,0.171,0,0.886,0.879,0.165,0.134,0.134,0.031,0.144,0.605,4.167,255.408
generations_240_alpha_0p1_mut_0p045_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,399,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,75,0.232,24,0.436,144,0.189,0,0.888,0.869,0.121,0.120,0.120,0.001,0.133,0.604,4.117,256.478
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,300,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,259,0.301,219,0.348,437,0.153,0,0.858,0.814,0.153,0.449,0.153,0.297,0.161,0.599,4.046,528.939
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,301,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,59,0.338,49,0.289,75,0.155,0,0.914,0.924,0.171,0.184,0.171,0.013,0.146,0.628,4.279,534.161
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,303,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,78,0.400,34,0.384,137,0.168,0,0.747,0.931,0.110,0.208,0.110,0.098,0.101,0.602,4.046,523.460
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,304,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,53,0.284,261,0.378,131,0.165,0,0.896,0.867,0.228,0.148,0.148,0.080,0.137,0.605,4.053,530.338
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,306,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,188,0.406,59,0.356,425,0.168,0,0.674,0.870,0.328,0.194,0.194,0.133,0.192,0.584,3.885,527.452
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,302,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,34,0.266,250,0.431,57,0.160,0,0.858,0.880,0.143,0.131,0.131,0.013,0.197,0.618,4.133,540.019
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,309,unsuccessful,gravity_without_vertical,false,true,false,false,247,not_reached,not_reached,37,0.221,42,0.542,251,0.166,0,0.892,0.910,0.146,0.143,0.143,0.003,0.108,0.632,4.326,517.199
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,305,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,155,0.265,33,0.429,460,0.183,0,0.828,0.857,0.137,0.277,0.137,0.140,0.144,0.611,4.145,536.468
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,307,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,154,0.322,29,0.474,441,0.162,0,0.771,0.794,0.154,0.415,0.154,0.260,0.099,0.582,3.923,533.603
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,308,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,120,0.323,299,0.296,123,0.173,0,0.814,0.839,0.243,0.177,0.177,0.066,0.141,0.618,4.080,532.121
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,311,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,99,0.359,50,0.358,119,0.176,0,0.810,0.879,0.124,0.140,0.124,0.017,0.148,0.627,4.243,520.554
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,310,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,39,0.235,336,0.441,69,0.166,0,0.868,0.853,0.157,0.331,0.157,0.174,0.116,0.618,4.188,525.966
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,313,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,177,0.343,70,0.416,248,0.162,0,0.860,0.890,0.177,0.215,0.177,0.038,0.090,0.597,4.103,509.496
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,312,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,142,0.371,478,0.330,400,0.158,0,0.831,0.840,0.143,0.119,0.119,0.023,0.285,0.591,3.901,530.832
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,314,unsuccessful,gravity_without_vertical,false,true,false,false,419,not_reached,not_reached,86,0.231,136,0.520,461,0.165,0,0.862,0.870,0.166,0.319,0.166,0.153,0.113,0.580,3.921,518.440
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,315,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,38,0.252,438,0.419,205,0.167,0,0.761,0.869,0.159,0.250,0.159,0.091,0.151,0.600,4.026,519.930
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,317,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,36,0.301,177,0.313,291,0.157,0,0.830,0.799,0.193,0.180,0.180,0.013,0.146,0.593,3.919,519.259
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,320,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,113,0.419,75,0.338,287,0.158,0,0.827,0.900,0.121,0.120,0.120,0.000,0.153,0.620,4.190,506.353
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,316,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,198,0.294,447,0.491,220,0.174,0,0.838,0.902,0.165,0.116,0.116,0.049,0.208,0.613,4.173,529.960
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,322,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,36,0.316,229,0.472,177,0.161,0,0.844,0.879,0.204,0.405,0.204,0.202,0.159,0.599,4.010,513.795
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,318,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,234,0.268,213,0.476,378,0.146,0,0.883,0.849,0.187,0.412,0.187,0.226,0.137,0.616,4.126,528.959
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,319,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,318,0.270,360,0.264,388,0.182,0,0.893,0.844,0.091,0.200,0.091,0.109,0.119,0.602,4.150,521.421
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,321,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,36,0.337,57,0.376,46,0.177,0,0.770,0.882,0.143,0.258,0.143,0.114,0.169,0.607,4.021,521.997
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,327,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,41,0.448,36,0.448,106,0.164,0,0.870,0.783,0.209,0.173,0.173,0.036,0.143,0.589,3.881,521.200
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,325,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,51,0.369,34,0.437,257,0.167,0,0.888,0.827,0.369,0.164,0.164,0.206,0.137,0.590,3.846,529.479
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,326,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,58,0.371,53,0.372,110,0.176,0,0.881,0.824,0.204,0.175,0.175,0.030,0.143,0.598,4.146,526.837
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,323,unsuccessful,gravity_without_vertical,false,true,false,false,105,not_reached,not_reached,80,0.297,394,0.517,105,0.172,0,0.832,0.853,0.184,0.182,0.182,0.003,0.101,0.628,4.244,536.546
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,324,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,66,0.349,451,0.394,83,0.145,0,0.868,0.896,0.163,0.108,0.108,0.056,0.288,0.610,4.086,536.801
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,328,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,65,0.242,309,0.491,463,0.168,0,0.863,0.905,0.305,0.534,0.305,0.229,0.085,0.602,3.986,535.646
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,329,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,94,0.320,61,0.318,96,0.165,0,0.867,0.838,0.220,0.148,0.148,0.071,0.239,0.581,3.794,529.791
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,330,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,72,0.438,68,0.395,147,0.158,0,0.812,0.846,0.337,0.321,0.321,0.016,0.124,0.585,3.850,525.594
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,331,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,58,0.399,42,0.366,349,0.173,0,0.860,0.857,0.371,0.330,0.330,0.041,0.075,0.602,3.998,529.640
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,334,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,100,0.342,49,0.394,173,0.164,0,0.785,0.859,0.195,0.222,0.195,0.027,0.121,0.607,4.130,518.720
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,332,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,67,0.311,56,0.353,390,0.166,0,0.852,0.809,0.201,0.139,0.139,0.063,0.112,0.607,4.088,526.724
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,333,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,93,0.269,50,0.484,409,0.166,0,0.910,0.868,0.129,0.183,0.129,0.054,0.132,0.615,4.221,525.633
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,337,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,159,0.273,340,0.421,174,0.161,0,0.881,0.882,0.138,0.272,0.138,0.134,0.105,0.575,3.983,519.060
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,336,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,197,0.325,40,0.309,201,0.153,0,0.935,0.917,0.124,0.134,0.124,0.009,0.228,0.602,4.149,525.713
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,335,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,91,0.475,53,0.307,315,0.152,0,0.738,0.840,0.136,0.413,0.136,0.277,0.172,0.595,3.901,527.380
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,338,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,65,0.223,246,0.419,73,0.164,0,0.789,0.872,0.241,0.201,0.201,0.040,0.149,0.600,3.915,533.523
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,343,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,245,0.396,41,0.300,246,0.154,0,0.785,0.889,0.162,0.216,0.162,0.054,0.151,0.610,4.075,519.735
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,339,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,56,0.240,320,0.401,435,0.154,0,0.878,0.839,0.129,0.295,0.129,0.166,0.075,0.618,4.276,535.503
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,342,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,269,0.275,158,0.445,284,0.163,0,0.887,0.881,0.186,0.209,0.186,0.022,0.112,0.628,4.167,528.490
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,340,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,101,0.321,45,0.316,120,0.169,0,0.832,0.835,0.220,0.245,0.220,0.025,0.148,0.610,4.049,534.902
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,341,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,71,0.282,31,0.363,466,0.168,0,0.686,0.819,0.182,0.365,0.182,0.183,0.156,0.589,3.756,534.677
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,344,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,100,0.297,419,0.395,112,0.161,0,0.860,0.863,0.154,0.271,0.154,0.117,0.215,0.616,4.132,520.993
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,345,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,140,0.219,468,0.411,169,0.173,0,0.897,0.803,0.322,0.176,0.176,0.146,0.104,0.601,3.954,534.921
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,346,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,170,0.298,86,0.412,341,0.168,0,0.863,0.883,0.303,0.178,0.178,0.125,0.116,0.614,4.143,532.818
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,347,unsuccessful,gravity_without_vertical,false,true,false,false,419,not_reached,not_reached,319,0.267,287,0.516,420,0.160,0,0.793,0.857,0.212,0.408,0.212,0.196,0.136,0.574,3.762,532.806
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,348,unsuccessful,gravity_without_vertical,false,true,false,false,149,not_reached,not_reached,33,0.281,219,0.522,150,0.172,0,0.819,0.803,0.102,0.241,0.102,0.139,0.185,0.580,3.919,519.872
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,350,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,37,0.251,25,0.366,86,0.166,0,0.689,0.842,0.134,0.133,0.133,0.002,0.171,0.587,3.820,523.309
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,349,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,71,0.260,480,0.448,335,0.156,0,0.902,0.771,0.152,0.140,0.140,0.011,0.260,0.603,4.029,525.846
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,352,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,137,0.318,74,0.484,201,0.160,0,0.888,0.848,0.196,0.344,0.196,0.148,0.193,0.617,4.132,522.479
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,351,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,202,0.374,33,0.321,213,0.147,0,0.933,0.808,0.239,0.313,0.239,0.074,0.143,0.620,4.134,534.596
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,353,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,33,0.259,227,0.403,39,0.158,0,0.843,0.824,0.088,0.241,0.088,0.153,0.106,0.626,4.308,531.171
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,355,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,24,0.291,252,0.360,136,0.154,0,0.784,0.887,0.367,0.130,0.130,0.237,0.096,0.596,4.023,517.772
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,354,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,101,0.302,36,0.365,111,0.167,0,0.816,0.816,0.209,0.117,0.117,0.091,0.161,0.596,4.009,533.003
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,356,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,223,0.280,80,0.426,312,0.169,0,0.902,0.818,0.335,0.640,0.335,0.305,0.106,0.585,3.805,521.572
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,358,unsuccessful,gravity_without_vertical,false,true,false,false,250,not_reached,not_reached,113,0.241,477,0.534,252,0.156,0,0.894,0.893,0.144,0.147,0.144,0.003,0.152,0.621,4.228,526.772
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,359,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,165,0.375,84,0.296,168,0.165,0,0.911,0.871,0.164,0.242,0.164,0.078,0.163,0.601,4.115,526.402
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,357,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,169,0.255,42,0.475,449,0.171,0,0.859,0.874,0.275,0.277,0.275,0.002,0.090,0.625,4.177,534.342
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,360,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,163,0.264,112,0.361,167,0.170,0,0.773,0.850,0.168,0.432,0.168,0.264,0.091,0.556,3.724,521.574
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,361,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,61,0.251,36,0.309,219,0.159,0,0.839,0.889,0.136,0.236,0.136,0.100,0.153,0.606,4.129,524.216
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,362,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,117,0.298,20,0.326,347,0.174,0,0.797,0.896,0.340,0.156,0.156,0.184,0.141,0.612,4.010,534.477
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,363,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,309,0.299,467,0.302,347,0.186,0,0.877,0.898,0.077,0.133,0.077,0.055,0.258,0.598,3.985,526.895
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,365,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,299,0.272,388,0.375,373,0.164,0,0.718,0.771,0.297,0.355,0.297,0.058,0.115,0.599,3.861,512.768
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,366,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,not_reached,101,0.260,175,0.362,121,0.168,0,0.828,0.864,0.301,0.338,0.301,0.037,0.104,0.590,3.962,520.336
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,364,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,107,0.337,27,0.396,114,0.179,0,0.839,0.851,0.165,0.127,0.127,0.038,0.141,0.606,4.078,530.648
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,367,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,47,0.308,38,0.424,426,0.173,0,0.855,0.823,0.251,0.135,0.135,0.116,0.189,0.614,4.028,523.931
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,368,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,123,0.310,78,0.468,413,0.161,0,0.860,0.926,0.112,0.158,0.112,0.047,0.126,0.633,4.316,525.614
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,370,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,29,0.341,26,0.385,368,0.151,0,0.932,0.837,0.249,0.382,0.249,0.133,0.184,0.603,4.034,520.939
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,369,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,80,0.279,277,0.298,326,0.180,0,0.780,0.885,0.141,0.213,0.141,0.072,0.143,0.619,4.196,535.745
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,371,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,63,0.292,436,0.388,106,0.151,0,0.830,0.831,0.228,0.439,0.228,0.211,0.088,0.571,3.912,526.584
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,372,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,113,0.288,253,0.301,118,0.159,0,0.872,0.829,0.243,0.268,0.243,0.026,0.195,0.581,3.979,523.051
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,374,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,186,0.484,54,0.417,212,0.157,0,0.801,0.892,0.168,0.232,0.168,0.064,0.155,0.611,4.091,514.839
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,373,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,132,0.317,429,0.362,219,0.160,0,0.825,0.888,0.146,0.110,0.110,0.036,0.162,0.602,4.102,535.546
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,375,unsuccessful,gravity_without_vertical,false,true,false,false,226,not_reached,not_reached,127,0.227,35,0.555,236,0.159,0,0.897,0.917,0.328,0.342,0.328,0.014,0.146,0.611,4.051,531.094
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,376,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,22,0.403,97,0.288,300,0.145,0,0.874,0.901,0.180,0.209,0.180,0.029,0.159,0.623,4.194,526.814
generations_480_alpha_0p1_mut_0p045_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.045,0.300,377,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,75,0.311,44,0.312,79,0.158,0,0.894,0.898,0.277,0.157,0.157,0.120,0.128,0.621,4.169,525.771
