candidate,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
trial_193,outcome,partial_transposition,2,"112,115",0.000,0.000,0.000,0.000,not_reached,not_reached,49.500,39.500,0.540,0.328,0.092,0.750,0.787,0.312,0.018,0.294,0.384,2.889
trial_193,outcome,success,37,"110,111,113,114,116,117,118,119,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,54.838,62.892,29.351,27.000,0.904,0.876,0.096,0.789,0.789,0.806,0.029,0.857,0.403,3.895
trial_278,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.775,0.800,0.775,0.000,48.969,55.406,30.382,25.500,0.826,0.771,0.079,0.794,0.801,0.693,0.038,0.750,0.371,3.811
trial_278,comparison,successful,31,"110,112,113,114,115,117,118,119,121,122,123,124,125,127,128,129,130,131,132,133,135,136,137,138,140,141,142,146,147,148,149",1.000,1.000,1.000,0.000,49.290,55.806,30.452,25.129,0.911,0.881,0.079,0.797,0.802,0.816,0.036,0.870,0.373,4.038
trial_278,comparison,unsuccessful,9,"111,116,120,126,134,139,143,144,145",0.000,0.111,0.000,0.000,39.000,43.000,29.667,26.778,0.533,0.391,0.081,0.783,0.797,0.270,0.045,0.339,0.364,3.028
trial_278,outcome,flat,7,"116,120,126,134,143,144,145",0.000,0.000,0.000,0.000,not_reached,not_reached,20.000,27.714,0.462,0.334,0.080,0.770,0.809,0.195,0.045,0.286,0.367,2.974
trial_278,outcome,gravity_without_vertical,1,111,0.000,1.000,0.000,0.000,39.000,43.000,36.000,16.000,0.926,0.849,0.078,0.801,0.748,0.810,0.035,0.796,0.355,3.581
trial_278,outcome,partial_transposition,1,139,0.000,0.000,0.000,0.000,not_reached,not_reached,33.000,31.000,0.634,0.334,0.086,0.853,0.765,0.258,0.051,0.258,0.352,2.852
trial_278,outcome,success,31,"110,112,113,114,115,117,118,119,121,122,123,124,125,127,128,129,130,131,132,133,135,136,137,138,140,141,142,146,147,148,149",1.000,1.000,1.000,0.000,49.290,55.806,30.452,25.129,0.911,0.881,0.079,0.797,0.802,0.816,0.036,0.870,0.373,4.038
trial_461,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.825,1.000,0.825,0.000,41.425,47.425,22.925,14.400,0.900,0.884,0.113,0.765,0.747,0.810,0.000,0.834,0.442,4.269
trial_461,comparison,successful,33,"110,111,112,113,114,115,116,117,118,119,121,122,123,124,126,127,128,129,131,132,133,134,136,138,140,141,142,143,144,145,146,148,149",1.000,1.000,1.000,0.000,41.879,46.667,23.394,14.152,0.901,0.883,0.112,0.763,0.745,0.818,0.000,0.849,0.444,4.323
trial_461,comparison,unsuccessful,7,"120,125,130,135,137,139,147",0.000,1.000,0.000,0.000,39.286,51.000,20.714,15.571,0.894,0.887,0.114,0.775,0.755,0.774,0.000,0.765,0.435,4.015
trial_461,outcome,gravity_without_vertical,7,"120,125,130,135,137,139,147",0.000,1.000,0.000,0.000,39.286,51.000,20.714,15.571,0.894,0.887,0.114,0.775,0.755,0.774,0.000,0.765,0.435,4.015
trial_461,outcome,success,33,"110,111,112,113,114,115,116,117,118,119,121,122,123,124,126,127,128,129,131,132,133,134,136,138,140,141,142,143,144,145,146,148,149",1.000,1.000,1.000,0.000,41.879,46.667,23.394,14.152,0.901,0.883,0.112,0.763,0.745,0.818,0.000,0.849,0.444,4.323
trial_173,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.925,0.975,0.925,0.000,56.641,52.590,29.128,28.050,0.895,0.841,0.099,0.755,0.767,0.774,0.042,0.839,0.422,4.809
trial_173,comparison,successful,37,"110,111,112,113,114,115,117,119,120,121,122,123,124,125,126,127,128,129,130,131,132,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,55.162,52.189,29.514,28.514,0.909,0.863,0.100,0.762,0.772,0.795,0.043,0.858,0.424,4.873
trial_173,comparison,unsuccessful,3,"116,118,133",0.000,0.667,0.000,0.000,84.000,60.000,22.000,22.333,0.729,0.569,0.092,0.677,0.703,0.513,0.032,0.612,0.399,4.028
trial_173,outcome,flat,1,133,0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,22.000,0.498,0.311,0.092,0.769,0.682,0.239,0.023,0.376,0.417,3.821
trial_173,outcome,gravity_without_vertical,2,"116,118",0.000,1.000,0.000,0.000,84.000,60.000,22.000,22.500,0.845,0.698,0.092,0.631,0.714,0.649,0.037,0.730,0.390,4.131
trial_173,outcome,success,37,"110,111,112,113,114,115,117,119,120,121,122,123,124,125,126,127,128,129,130,131,132,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,55.162,52.189,29.514,28.514,0.909,0.863,0.100,0.762,0.772,0.795,0.043,0.858,0.424,4.873
trial_364,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.725,1.000,0.725,0.000,54.150,48.625,23.950,21.800,0.899,0.855,0.130,0.744,0.738,0.771,0.031,0.827,0.487,6.090
trial_364,comparison,successful,29,"110,111,112,113,114,116,117,118,119,120,122,123,124,125,127,128,129,132,133,134,135,136,137,140,142,143,144,148,149",1.000,1.000,1.000,0.000,53.483,49.724,25.655,22.069,0.902,0.858,0.130,0.746,0.746,0.772,0.033,0.847,0.488,6.168
trial_364,comparison,unsuccessful,11,"115,121,126,130,131,138,139,141,145,146,147",0.000,1.000,0.000,0.000,55.909,45.727,19.455,21.091,0.891,0.845,0.129,0.740,0.715,0.771,0.025,0.775,0.482,5.886
trial_364,outcome,gravity_without_vertical,11,"115,121,126,130,131,138,139,141,145,146,147",0.000,1.000,0.000,0.000,55.909,45.727,19.455,21.091,0.891,0.845,0.129,0.740,0.715,0.771,0.025,0.775,0.482,5.886
trial_364,outcome,success,29,"110,111,112,113,114,116,117,118,119,120,122,123,124,125,127,128,129,132,133,134,135,136,137,140,142,143,144,148,149",1.000,1.000,1.000,0.000,53.483,49.724,25.655,22.069,0.902,0.858,0.130,0.746,0.746,0.772,0.033,0.847,0.488,6.168
trial_239,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.950,0.950,0.975,0.000,57.526,50.231,26.075,22.925,0.901,0.835,0.100,0.765,0.762,0.759,0.034,0.848,0.418,5.219
trial_239,comparison,successful,38,"110,112,113,114,115,116,117,118,119,120,121,122,123,124,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,57.526,49.974,25.658,22.289,0.908,0.860,0.100,0.765,0.769,0.787,0.034,0.857,0.419,5.264
trial_239,comparison,unsuccessful,2,"111,125",0.000,0.000,0.500,0.000,not_reached,60.000,34.000,35.000,0.776,0.350,0.102,0.754,0.618,0.231,0.028,0.686,0.389,4.361
trial_239,outcome,flat,1,111,0.000,0.000,0.000,0.000,not_reached,not_reached,35.000,28.000,0.644,0.378,0.103,0.867,0.791,0.192,0.012,0.495,0.407,4.252
trial_239,outcome,success,38,"110,112,113,114,115,116,117,118,119,120,121,122,123,124,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",1.000,1.000,1.000,0.000,57.526,49.974,25.658,22.289,0.908,0.860,0.100,0.765,0.769,0.787,0.034,0.857,0.419,5.264
trial_239,outcome,vertical_without_gravity,1,125,0.000,0.000,1.000,0.000,not_reached,60.000,33.000,42.000,0.908,0.321,0.102,0.640,0.445,0.270,0.044,0.878,0.372,4.469
trial_393,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.775,0.825,0.800,0.000,59.758,58.343,34.821,34.700,0.872,0.782,0.118,0.759,0.737,0.718,0.028,0.799,0.465,4.153
trial_393,comparison,successful,31,"110,111,112,114,115,117,119,120,121,122,123,124,126,127,129,130,131,133,134,135,136,139,140,141,142,143,144,145,146,147,149",1.000,1.000,1.000,0.000,60.645,59.355,33.226,33.290,0.912,0.867,0.117,0.764,0.755,0.813,0.031,0.867,0.468,4.322
trial_393,comparison,unsuccessful,9,"113,116,118,125,128,132,137,138,148",0.000,0.222,0.111,0.000,46.000,50.500,41.000,39.556,0.736,0.491,0.118,0.742,0.675,0.392,0.020,0.567,0.457,3.571
trial_393,outcome,flat,4,"118,125,132,137",0.000,0.000,0.000,0.000,not_reached,not_reached,32.667,36.250,0.587,0.324,0.119,0.761,0.745,0.192,0.026,0.323,0.470,3.352
