point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation
alpha_0p1_mut_0p045_rho_0,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.000
alpha_0p1_mut_0p045_rho_0p3,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0p3,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.300
alpha_0p1_mut_0p045_rho_0p6,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0p6,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.600
alpha_0p1_mut_0p045_rho_0p9,evolutionary_interaction,alpha_0p1_mut_0p045_rho_0p9,false,7,0.370,10,0.900,0.100,5.000,0.035,0.045,0.045,0.900
alpha_0p1_mut_0p075_rho_0,evolutionary_interaction,alpha_0p1_mut_0p075_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.075,0.075,0.000
alpha_0p1_mut_0p075_rho_0p3,evolutionary_interaction,alpha_0p1_mut_0p075_rho_0p3,false,7,0.370,10,0.900,0.100,5.000,0.035,0.075,0.075,0.300
alpha_0p1_mut_0p075_rho_0p6,evolutionary_interaction,alpha_0p1_mut_0p075_rho_0p6,false,7,0.370,10,0.900,0.100,5.000,0.035,0.075,0.075,0.600
alpha_0p1_mut_0p075_rho_0p9,evolutionary_interaction,alpha_0p1_mut_0p075_rho_0p9,false,7,0.370,10,0.900,0.100,5.000,0.035,0.075,0.075,0.900
alpha_0p1_mut_0p09_rho_0,evolutionary_interaction,alpha_0p1_mut_0p09_rho_0,false,7,0.370,10,0.900,0.100,5.000,0.035,0.090,0.090,0.000
alpha_0p1_mut_0p09_rho_0p3,evolutionary_interaction,alpha_0p1_mut_0p09_rho_0p3,false,7,0.370,10,0.900,0.100,5.000,0.035,0.090,0.090,0.300
alpha_0p1_mut_0p09_rho_0p6,evolutionary_interaction,alpha_0p1_mut_0p09_rho_0p6,false,7,0.370,10,0.900,0.100,5.000,0.035,0.090,0.090,0.600
alpha_0p1_mut_0p09_rho_0p9,evolutionary_interaction,alpha_0p1_mut_0p09_rho_0p9,false,7,0.370,10,0.900,0.100,5.000,0.035,0.090,0.090,0.900
