point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
food_site_count_6,food_site_count,6,false,6,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,success,88,"300,301,302,303,304,305,306,307,309,310,311,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,342,343,345,346,347,348,349,351,352,353,354,355,356,357,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,375,376,377,378,379,381,382,383,385,386,387,388,389,390,391,392,395,396,397,399",1.000,1.000,1.000,0.000,52.557,52.693,28.943,24.420,0.911,0.879,0.090,0.778,0.805,0.817,0.030,0.864,0.405,5.082
food_site_count_8,food_site_count,8,false,8,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.850,0.990,0.860,0.000,56.020,47.210,25.310,23.910,0.905,0.853,0.116,0.732,0.750,0.776,0.038,0.841,0.466,6.209
food_site_count_8,food_site_count,8,false,8,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,comparison,successful,85,"300,301,302,303,304,305,306,307,308,309,310,312,313,314,315,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,341,342,343,344,345,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,364,366,368,369,371,373,374,376,377,378,379,381,383,384,385,387,388,389,391,392,393,394,395,397,398,399",1.000,1.000,1.000,0.000,53.859,45.741,24.529,23.306,0.907,0.866,0.116,0.740,0.760,0.795,0.033,0.852,0.468,6.269
food_site_count_8,food_site_count,8,false,8,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,comparison,unsuccessful,15,"311,316,340,346,363,365,367,370,372,375,380,382,386,390,396",0.000,0.933,0.067,0.000,69.143,55.533,29.733,27.333,0.894,0.781,0.119,0.687,0.691,0.669,0.066,0.778,0.457,5.870
food_site_count_8,food_site_count,8,false,8,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,gravity_without_vertical,13,"311,316,340,346,363,365,367,370,372,375,382,386,390",0.000,1.000,0.000,0.000,67.231,57.000,30.615,29.154,0.895,0.819,0.118,0.684,0.701,0.715,0.046,0.781,0.458,5.904
food_site_count_8,food_site_count,8,false,8,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,partial_tilt,1,380,0.000,0.000,0.000,0.000,not_reached,38.000,29.000,22.000,0.872,0.455,0.122,0.742,0.514,0.248,0.025,0.649,0.429,5.060
food_site_count_8,food_site_count,8,false,8,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,success,85,"300,301,302,303,304,305,306,307,308,309,310,312,313,314,315,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,341,342,343,344,345,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,364,366,368,369,371,373,374,376,377,378,379,381,383,384,385,387,388,389,391,392,393,394,395,397,398,399",1.000,1.000,1.000,0.000,53.859,45.741,24.529,23.306,0.907,0.866,0.116,0.740,0.760,0.795,0.033,0.852,0.468,6.269
food_site_count_8,food_site_count,8,false,8,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,vertical_without_gravity,1,396,0.000,1.000,1.000,0.000,94.000,54.000,19.000,9.000,0.902,0.613,0.132,0.681,0.731,0.484,0.367,0.868,0.464,6.235
food_site_count_9,food_site_count,9,false,9,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.850,0.970,0.910,0.000,56.299,43.850,25.120,24.070,0.904,0.818,0.130,0.717,0.706,0.737,0.044,0.848,0.493,6.740
food_site_count_9,food_site_count,9,false,9,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,comparison,successful,85,"300,301,302,303,304,305,306,308,309,310,311,312,313,314,316,318,319,320,321,322,325,326,327,328,329,330,332,333,334,335,336,337,339,340,341,342,343,344,345,346,347,348,349,351,353,354,355,356,357,359,360,361,362,364,365,366,367,368,369,370,371,373,374,375,376,377,378,379,380,381,382,383,384,385,387,388,389,390,391,392,393,395,396,398,399",1.000,1.000,1.000,0.000,54.953,43.553,25.247,23.671,0.905,0.838,0.130,0.733,0.722,0.761,0.045,0.857,0.497,6.842
food_site_count_9,food_site_count,9,false,9,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,comparison,unsuccessful,15,"307,315,317,323,324,331,338,350,352,358,363,372,386,394,397",0.000,0.800,0.400,0.000,65.833,45.533,24.400,26.333,0.895,0.707,0.128,0.621,0.620,0.599,0.037,0.795,0.467,6.162
food_site_count_9,food_site_count,9,false,9,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,gravity_without_vertical,8,"307,323,338,350,352,358,363,397",0.000,1.000,0.000,0.000,62.375,46.625,25.000,21.875,0.894,0.845,0.130,0.725,0.702,0.774,0.035,0.776,0.485,6.434
food_site_count_9,food_site_count,9,false,9,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,partial_tilt,1,372,0.000,0.000,0.000,0.000,not_reached,26.000,18.000,33.000,0.903,0.467,0.128,0.858,0.688,0.467,0.051,0.728,0.465,5.883
food_site_count_9,food_site_count,9,false,9,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,success,85,"300,301,302,303,304,305,306,308,309,310,311,312,313,314,316,318,319,320,321,322,325,326,327,328,329,330,332,333,334,335,336,337,339,340,341,342,343,344,345,346,347,348,349,351,353,354,355,356,357,359,360,361,362,364,365,366,367,368,369,370,371,373,374,375,376,377,378,379,380,381,382,383,384,385,387,388,389,390,391,392,393,395,396,398,399",1.000,1.000,1.000,0.000,54.953,43.553,25.247,23.671,0.905,0.838,0.130,0.733,0.722,0.761,0.045,0.857,0.497,6.842
food_site_count_9,food_site_count,9,false,9,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900,outcome,vertical_without_gravity,6,"315,317,324,331,386,394",0.000,0.667,1.000,0.000,72.750,47.333,24.667,31.167,0.894,0.564,0.126,0.443,0.500,0.389,0.037,0.831,0.444,5.846
food_site_capacity_10,food_site_capacity,10,false,7,0.220,10,1.000,0.580,7.500,0.020,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.930,1.000,0.930,0.000,55.480,50.770,27.220,25.720,0.912,0.877,0.103,0.770,0.768,0.808,0.030,0.854,0.437,5.680
food_site_capacity_10,food_site_capacity,10,false,7,0.220,10,1.000,0.580,7.500,0.020,0.080,0.900,comparison,successful,93,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,320,321,322,323,324,325,326,327,328,329,330,331,332,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,377,379,380,381,382,383,384,385,387,388,389,390,391,393,394,395,396,397,398,399",1.000,1.000,1.000,0.000,55.742,50.914,27.398,25.645,0.912,0.876,0.104,0.772,0.768,0.806,0.031,0.860,0.437,5.698
food_site_capacity_10,food_site_capacity,10,false,7,0.220,10,1.000,0.580,7.500,0.020,0.080,0.900,comparison,unsuccessful,7,"319,333,358,376,378,386,392",0.000,1.000,0.000,0.000,52.000,48.857,24.857,26.714,0.909,0.894,0.101,0.752,0.771,0.826,0.018,0.772,0.434,5.432
food_site_capacity_10,food_site_capacity,10,false,7,0.220,10,1.000,0.580,7.500,0.020,0.080,0.900,outcome,gravity_without_vertical,7,"319,333,358,376,378,386,392",0.000,1.000,0.000,0.000,52.000,48.857,24.857,26.714,0.909,0.894,0.101,0.752,0.771,0.826,0.018,0.772,0.434,5.432
food_site_capacity_10,food_site_capacity,10,false,7,0.220,10,1.000,0.580,7.500,0.020,0.080,0.900,outcome,success,93,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,320,321,322,323,324,325,326,327,328,329,330,331,332,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,377,379,380,381,382,383,384,385,387,388,389,390,391,393,394,395,396,397,398,399",1.000,1.000,1.000,0.000,55.742,50.914,27.398,25.645,0.912,0.876,0.104,0.772,0.768,0.806,0.031,0.860,0.437,5.698
food_site_capacity_12,food_site_capacity,12,false,7,0.220,12,1.000,0.580,7.500,0.020,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.910,0.990,0.910,0.000,56.303,51.121,28.330,26.040,0.909,0.858,0.103,0.761,0.774,0.787,0.035,0.853,0.436,5.655
food_site_capacity_12,food_site_capacity,12,false,7,0.220,12,1.000,0.580,7.500,0.020,0.080,0.900,comparison,successful,91,"300,301,302,303,304,305,306,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,328,329,330,331,332,333,334,336,337,338,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,369,370,371,372,373,374,376,377,378,379,380,381,382,383,384,385,386,388,389,390,392,393,394,395,396,398,399",1.000,1.000,1.000,0.000,56.165,51.176,28.374,26.352,0.911,0.864,0.104,0.761,0.777,0.792,0.036,0.862,0.437,5.692
food_site_capacity_12,food_site_capacity,12,false,7,0.220,12,1.000,0.580,7.500,0.020,0.080,0.900,comparison,unsuccessful,9,"307,327,335,339,368,375,387,391,397",0.000,0.889,0.000,0.000,57.875,50.500,27.889,22.889,0.882,0.802,0.099,0.759,0.753,0.736,0.024,0.766,0.426,5.287
food_site_capacity_12,food_site_capacity,12,false,7,0.220,12,1.000,0.580,7.500,0.020,0.080,0.900,outcome,gravity_without_vertical,8,"307,327,335,339,368,387,391,397",0.000,1.000,0.000,0.000,57.875,50.500,26.875,20.125,0.905,0.861,0.099,0.774,0.780,0.796,0.024,0.778,0.430,5.389
food_site_capacity_12,food_site_capacity,12,false,7,0.220,12,1.000,0.580,7.500,0.020,0.080,0.900,outcome,partial_tilt,1,375,0.000,0.000,0.000,0.000,not_reached,not_reached,36.000,45.000,0.695,0.337,0.100,0.641,0.537,0.260,0.024,0.668,0.397,4.473
food_site_capacity_12,food_site_capacity,12,false,7,0.220,12,1.000,0.580,7.500,0.020,0.080,0.900,outcome,success,91,"300,301,302,303,304,305,306,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,328,329,330,331,332,333,334,336,337,338,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,369,370,371,372,373,374,376,377,378,379,380,381,382,383,384,385,386,388,389,390,392,393,394,395,396,398,399",1.000,1.000,1.000,0.000,56.165,51.176,28.374,26.352,0.911,0.864,0.104,0.761,0.777,0.792,0.036,0.862,0.437,5.692
food_site_capacity_16,food_site_capacity,16,false,7,0.220,16,1.000,0.580,7.500,0.020,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.910,0.990,0.910,0.000,56.303,51.121,28.330,26.040,0.909,0.858,0.103,0.761,0.774,0.787,0.035,0.853,0.436,5.655
food_site_capacity_16,food_site_capacity,16,false,7,0.220,16,1.000,0.580,7.500,0.020,0.080,0.900,comparison,successful,91,"300,301,302,303,304,305,306,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,328,329,330,331,332,333,334,336,337,338,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,369,370,371,372,373,374,376,377,378,379,380,381,382,383,384,385,386,388,389,390,392,393,394,395,396,398,399",1.000,1.000,1.000,0.000,56.165,51.176,28.374,26.352,0.911,0.864,0.104,0.761,0.777,0.792,0.036,0.862,0.437,5.692
food_site_capacity_16,food_site_capacity,16,false,7,0.220,16,1.000,0.580,7.500,0.020,0.080,0.900,comparison,unsuccessful,9,"307,327,335,339,368,375,387,391,397",0.000,0.889,0.000,0.000,57.875,50.500,27.889,22.889,0.882,0.802,0.099,0.759,0.753,0.736,0.024,0.766,0.426,5.287
food_site_capacity_16,food_site_capacity,16,false,7,0.220,16,1.000,0.580,7.500,0.020,0.080,0.900,outcome,gravity_without_vertical,8,"307,327,335,339,368,387,391,397",0.000,1.000,0.000,0.000,57.875,50.500,26.875,20.125,0.905,0.861,0.099,0.774,0.780,0.796,0.024,0.778,0.430,5.389
food_site_capacity_16,food_site_capacity,16,false,7,0.220,16,1.000,0.580,7.500,0.020,0.080,0.900,outcome,partial_tilt,1,375,0.000,0.000,0.000,0.000,not_reached,not_reached,36.000,45.000,0.695,0.337,0.100,0.641,0.537,0.260,0.024,0.668,0.397,4.473
food_site_capacity_16,food_site_capacity,16,false,7,0.220,16,1.000,0.580,7.500,0.020,0.080,0.900,outcome,success,91,"300,301,302,303,304,305,306,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,328,329,330,331,332,333,334,336,337,338,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,369,370,371,372,373,374,376,377,378,379,380,381,382,383,384,385,386,388,389,390,392,393,394,395,396,398,399",1.000,1.000,1.000,0.000,56.165,51.176,28.374,26.352,0.911,0.864,0.104,0.761,0.777,0.792,0.036,0.862,0.437,5.692
travel_cost_per_distance_0p010,travel_cost_per_distance,0.010,false,7,0.220,14,1.000,0.580,7.500,0.010,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.840,1.000,0.850,0.000,55.390,48.440,25.750,23.010,0.908,0.853,0.103,0.735,0.740,0.780,0.032,0.842,0.429,6.483
travel_cost_per_distance_0p010,travel_cost_per_distance,0.010,false,7,0.220,14,1.000,0.580,7.500,0.010,0.080,0.900,comparison,successful,84,"301,302,303,306,307,308,309,310,311,312,313,314,315,317,318,320,321,322,323,324,325,326,327,328,329,331,332,333,334,335,336,337,339,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,360,362,363,364,365,366,368,369,370,371,372,373,374,375,377,378,380,381,382,383,384,386,387,388,389,390,391,392,393,394,395,396,398",1.000,1.000,1.000,0.000,55.357,49.155,25.476,23.083,0.908,0.862,0.103,0.739,0.756,0.790,0.030,0.855,0.431,6.544
travel_cost_per_distance_0p010,travel_cost_per_distance,0.010,false,7,0.220,14,1.000,0.580,7.500,0.010,0.080,0.900,comparison,unsuccessful,16,"300,304,305,316,319,330,338,340,359,361,367,376,379,385,397,399",0.000,1.000,0.062,0.000,55.562,44.688,27.188,22.625,0.909,0.808,0.105,0.713,0.654,0.723,0.048,0.776,0.420,6.163
travel_cost_per_distance_0p010,travel_cost_per_distance,0.010,false,7,0.220,14,1.000,0.580,7.500,0.010,0.080,0.900,outcome,gravity_without_vertical,15,"300,304,305,316,319,330,340,359,361,367,376,379,385,397,399",0.000,1.000,0.000,0.000,52.733,45.400,28.067,23.200,0.907,0.815,0.106,0.719,0.674,0.739,0.043,0.773,0.422,6.191
travel_cost_per_distance_0p010,travel_cost_per_distance,0.010,false,7,0.220,14,1.000,0.580,7.500,0.010,0.080,0.900,outcome,success,84,"301,302,303,306,307,308,309,310,311,312,313,314,315,317,318,320,321,322,323,324,325,326,327,328,329,331,332,333,334,335,336,337,339,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,360,362,363,364,365,366,368,369,370,371,372,373,374,375,377,378,380,381,382,383,384,386,387,388,389,390,391,392,393,394,395,396,398",1.000,1.000,1.000,0.000,55.357,49.155,25.476,23.083,0.908,0.862,0.103,0.739,0.756,0.790,0.030,0.855,0.431,6.544
travel_cost_per_distance_0p010,travel_cost_per_distance,0.010,false,7,0.220,14,1.000,0.580,7.500,0.010,0.080,0.900,outcome,vertical_without_gravity,1,338,0.000,1.000,1.000,0.000,98.000,34.000,14.000,14.000,0.936,0.712,0.099,0.619,0.366,0.490,0.117,0.819,0.391,5.744
travel_cost_per_distance_0p015,travel_cost_per_distance,0.015,false,7,0.220,14,1.000,0.580,7.500,0.015,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.910,0.990,0.920,0.000,55.869,50.600,26.200,26.200,0.907,0.862,0.103,0.749,0.748,0.794,0.030,0.851,0.434,6.106
travel_cost_per_distance_0p015,travel_cost_per_distance,0.015,false,7,0.220,14,1.000,0.580,7.500,0.015,0.080,0.900,comparison,successful,91,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,330,332,333,334,336,337,338,339,340,342,343,344,345,346,347,348,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,382,384,385,386,387,389,390,391,392,393,394,395,396,397,398,399",1.000,1.000,1.000,0.000,55.220,50.242,26.143,25.802,0.909,0.870,0.104,0.758,0.757,0.806,0.029,0.859,0.436,6.160
travel_cost_per_distance_0p015,travel_cost_per_distance,0.015,false,7,0.220,14,1.000,0.580,7.500,0.015,0.080,0.900,comparison,unsuccessful,9,"329,331,335,341,349,365,381,383,388",0.000,0.889,0.111,0.000,63.250,54.222,26.778,30.222,0.892,0.779,0.102,0.654,0.655,0.664,0.035,0.770,0.412,5.558
travel_cost_per_distance_0p015,travel_cost_per_distance,0.015,false,7,0.220,14,1.000,0.580,7.500,0.015,0.080,0.900,outcome,gravity_without_vertical,7,"329,331,335,341,381,383,388",0.000,1.000,0.000,0.000,61.714,57.286,28.143,26.714,0.898,0.834,0.102,0.708,0.756,0.749,0.037,0.769,0.418,5.677
travel_cost_per_distance_0p015,travel_cost_per_distance,0.015,false,7,0.220,14,1.000,0.580,7.500,0.015,0.080,0.900,outcome,partial_tilt,1,349,0.000,0.000,0.000,0.000,not_reached,46.000,27.000,20.000,0.873,0.430,0.098,0.373,0.297,0.307,0.002,0.719,0.397,5.128
travel_cost_per_distance_0p015,travel_cost_per_distance,0.015,false,7,0.220,14,1.000,0.580,7.500,0.015,0.080,0.900,outcome,success,91,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,330,332,333,334,336,337,338,339,340,342,343,344,345,346,347,348,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,382,384,385,386,387,389,390,391,392,393,394,395,396,397,398,399",1.000,1.000,1.000,0.000,55.220,50.242,26.143,25.802,0.909,0.870,0.104,0.758,0.757,0.806,0.029,0.859,0.436,6.160
travel_cost_per_distance_0p015,travel_cost_per_distance,0.015,false,7,0.220,14,1.000,0.580,7.500,0.015,0.080,0.900,outcome,vertical_without_gravity,1,365,0.000,1.000,1.000,0.000,74.000,41.000,17.000,65.000,0.868,0.742,0.103,0.558,0.305,0.427,0.053,0.823,0.383,5.151
travel_cost_per_distance_0p025,travel_cost_per_distance,0.025,false,7,0.220,14,1.000,0.580,7.500,0.025,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.940,0.970,0.940,0.000,58.680,57.175,30.320,29.880,0.895,0.858,0.103,0.785,0.783,0.801,0.032,0.844,0.441,5.240
travel_cost_per_distance_0p025,travel_cost_per_distance,0.025,false,7,0.220,14,1.000,0.580,7.500,0.025,0.080,0.900,comparison,successful,94,"301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,343,344,345,346,347,348,349,350,351,352,353,354,355,357,358,359,360,361,362,363,364,365,366,368,369,370,371,372,374,375,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",1.000,1.000,1.000,0.000,58.543,56.883,30.649,29.638,0.910,0.875,0.104,0.786,0.780,0.820,0.031,0.865,0.441,5.288
travel_cost_per_distance_0p025,travel_cost_per_distance,0.025,false,7,0.220,14,1.000,0.580,7.500,0.025,0.080,0.900,comparison,unsuccessful,6,"300,342,356,367,373,376",0.000,0.500,0.000,0.000,63.000,66.333,20.000,33.667,0.660,0.592,0.102,0.769,0.825,0.508,0.043,0.507,0.439,4.486
travel_cost_per_distance_0p025,travel_cost_per_distance,0.025,false,7,0.220,14,1.000,0.580,7.500,0.025,0.080,0.900,outcome,flat,3,"342,367,376",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,41.000,0.449,0.341,0.102,0.766,0.817,0.216,0.071,0.247,0.439,3.937
travel_cost_per_distance_0p025,travel_cost_per_distance,0.025,false,7,0.220,14,1.000,0.580,7.500,0.025,0.080,0.900,outcome,gravity_without_vertical,3,"300,356,373",0.000,1.000,0.000,0.000,63.000,66.333,20.000,26.333,0.871,0.842,0.102,0.772,0.832,0.799,0.014,0.767,0.440,5.034
travel_cost_per_distance_0p025,travel_cost_per_distance,0.025,false,7,0.220,14,1.000,0.580,7.500,0.025,0.080,0.900,outcome,success,94,"301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,343,344,345,346,347,348,349,350,351,352,353,354,355,357,358,359,360,361,362,363,364,365,366,368,369,370,371,372,374,375,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",1.000,1.000,1.000,0.000,58.543,56.883,30.649,29.638,0.910,0.875,0.104,0.786,0.780,0.820,0.031,0.865,0.441,5.288
travel_cost_per_distance_0p035,travel_cost_per_distance,0.035,false,7,0.220,14,1.000,0.580,7.500,0.035,0.080,0.900,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.700,0.750,0.700,0.000,56.907,57.097,39.432,31.370,0.804,0.743,0.103,0.798,0.802,0.665,0.026,0.721,0.442,4.089
travel_cost_per_distance_0p035,travel_cost_per_distance,0.035,false,7,0.220,14,1.000,0.580,7.500,0.035,0.080,0.900,comparison,successful,70,"300,301,303,304,307,309,310,312,314,315,317,318,319,320,321,322,324,326,327,328,329,330,331,332,333,334,335,336,338,339,340,341,342,343,344,346,347,348,350,353,354,355,357,358,364,366,367,368,369,370,371,372,374,377,378,381,383,384,385,386,388,389,391,392,393,395,396,397,398,399",1.000,1.000,1.000,0.000,55.029,57.414,36.657,28.000,0.914,0.890,0.103,0.803,0.804,0.831,0.028,0.868,0.443,4.379
travel_cost_per_distance_0p035,travel_cost_per_distance,0.035,false,7,0.220,14,1.000,0.580,7.500,0.035,0.080,0.900,comparison,unsuccessful,30,"302,305,306,308,311,313,316,323,325,337,345,349,351,352,356,359,360,361,362,363,365,373,375,376,379,380,382,387,390,394",0.000,0.167,0.000,0.000,83.200,46.000,50.222,39.233,0.548,0.399,0.104,0.785,0.798,0.279,0.023,0.380,0.440,3.411
travel_cost_per_distance_0p035,travel_cost_per_distance,0.035,false,7,0.220,14,1.000,0.580,7.500,0.035,0.080,0.900,outcome,flat,18,"305,308,323,337,349,351,352,356,359,361,363,365,373,376,379,380,382,387",0.000,0.000,0.000,0.000,not_reached,not_reached,43.600,33.722,0.512,0.330,0.104,0.786,0.803,0.184,0.026,0.319,0.442,3.325
travel_cost_per_distance_0p035,travel_cost_per_distance,0.035,false,7,0.220,14,1.000,0.580,7.500,0.035,0.080,0.900,outcome,gravity_without_vertical,5,"313,316,325,362,394",0.000,1.000,0.000,0.000,83.200,46.000,60.400,43.000,0.731,0.720,0.105,0.802,0.807,0.601,0.009,0.626,0.446,3.969
travel_cost_per_distance_0p035,travel_cost_per_distance,0.035,false,7,0.220,14,1.000,0.580,7.500,0.035,0.080,0.900,outcome,partial_tilt,2,"345,375",0.000,0.000,0.000,0.000,not_reached,not_reached,71.500,68.000,0.559,0.372,0.103,0.793,0.865,0.283,0.033,0.544,0.425,3.481
travel_cost_per_distance_0p035,travel_cost_per_distance,0.035,false,7,0.220,14,1.000,0.580,7.500,0.035,0.080,0.900,outcome,partial_transposition,5,"302,306,311,360,390",0.000,0.000,0.000,0.000,not_reached,not_reached,23.000,43.800,0.487,0.333,0.105,0.763,0.742,0.297,0.022,0.289,0.431,3.135
