variant,condition,food_site_count,food_site_radius,seed,final_recruitment_advantage,tail_recruitment_advantage,final_directional_bias,final_receiver_attention,final_dance_propensity,final_success,final_payoff,final_floor_fraction,tail_floor_fraction,tail_dance_follow_share
tournament,c1_r15m,1,15.000000,441,0.000000,0.000000,0.472605,0.278971,0.563120,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,406,0.000000,0.000000,0.796852,0.296271,0.392496,0.000000,0.001000,1.000000,1.000000,0.133333
tournament,c1_r37.5m,1,37.500000,407,0.000000,0.000000,0.379283,0.247277,0.714363,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,408,0.000000,-0.014286,0.369733,0.352392,0.722261,0.000028,0.001000,1.000000,1.000000,0.030000
tournament,c1_r15m,1,15.000000,449,0.000000,0.000000,0.744171,0.207007,0.462937,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,444,0.000000,0.000000,0.365215,0.412365,0.686081,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,446,0.000000,0.000000,0.471558,0.239542,0.283666,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,447,0.000000,0.000000,0.396501,0.347372,0.781633,0.000000,0.001000,1.000000,1.000000,0.000000
tournament,c1_r15m,1,15.000000,448,0.000000,0.000000,0.376685,0.304740,0.615892,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,400,-0.076923,-0.007692,0.415248,0.231735,0.759027,0.000139,0.001000,1.000000,1.000000,0.075000
tournament,c1_r37.5m,1,37.500000,402,0.000000,0.000000,0.414027,0.155914,0.462975,0.000056,0.001000,1.000000,1.000000,0.020000
tournament,c1_r37.5m,1,37.500000,401,0.000000,0.000000,0.372844,0.267301,0.251170,0.000056,0.001000,1.000000,1.000000,0.100000
tournament,c1_r37.5m,1,37.500000,403,0.000000,0.000000,0.240282,0.499202,0.488367,0.000000,0.001000,1.000000,1.000000,0.066667
tournament,c1_r37.5m,1,37.500000,404,0.000000,0.000000,0.223837,0.115864,0.808407,0.000000,0.001000,1.000000,1.000000,0.009091
tournament,c1_r37.5m,1,37.500000,405,0.000000,0.000000,0.354949,0.359199,0.756937,0.000028,0.001000,1.000000,1.000000,0.260000
tournament,c1_r37.5m,1,37.500000,411,0.000000,0.000000,0.202765,0.258685,0.622245,0.000056,0.001000,1.000000,1.000000,0.018182
tournament,c1_r37.5m,1,37.500000,412,0.000000,0.000000,0.436519,0.281452,0.359721,0.000056,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,413,0.000000,0.000000,0.286775,0.218457,0.243826,0.000028,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,414,0.000000,0.033333,0.256800,0.539463,0.738141,0.000000,0.001000,1.000000,1.000000,0.170455
tournament,c1_r37.5m,1,37.500000,409,0.000000,0.090909,0.677958,0.206671,0.723911,0.000000,0.001000,1.000000,1.000000,0.071429
tournament,c1_r37.5m,1,37.500000,410,0.000000,0.000000,0.169344,0.226964,0.715651,0.000056,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,425,0.000000,0.000000,0.203902,0.216672,0.771193,0.000028,0.001000,1.000000,1.000000,0.025000
tournament,c1_r37.5m,1,37.500000,426,0.000000,0.000000,0.251822,0.267700,0.563049,0.000056,0.001000,1.000000,1.000000,0.010000
tournament,c1_r37.5m,1,37.500000,427,0.000000,0.000000,0.321749,0.427056,0.534677,0.000056,0.001000,1.000000,1.000000,0.000000
tournament,c1_r37.5m,1,37.500000,428,0.000000,0.000000,0.144508,0.355752,0.758670,0.000028,0.001000,1.000000,1.000000,0.045000
tournament,c1_r37.5m,1,37.500000,415,0.000000,0.000000,0.383107,0.320182,0.751115,0.000028,0.001000,1.000000,1.000000,0.115556
tournament,c1_r37.5m,1,37.500000,416,0.000000,0.000000,0.268592,0.103190,0.323380,0.000000,0.001000,1.000000,1.000000,0.050000
tournament,c1_r37.5m,1,37.500000,417,0.142857,0.014286,0.689356,0.361807,0.773144,0.000056,0.001000,1.000000,1.000000,0.112500
tournament,c1_r37.5m,1,37.500000,418,0.000000,0.000000,0.447570,0.380641,0.657604,0.000083,0.001000,1.000000,1.000000,0.041111
tournament,c1_r37.5m,1,37.500000,419,0.000000,0.000000,0.198269,0.671023,0.511506,0.000028,0.001000,1.000000,1.000000,0.151429
tournament,c1_r37.5m,1,37.500000,422,0.000000,0.000000,0.400883,0.354941,0.886431,0.000056,0.001000,1.000000,1.000000,0.000000
