cell,vertical_comb_benefit,mutation_sd,transposition_mutation_correlation,seed_count,stable_count,collapse_count,mean_final_success,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity
vertical_comb_benefit0.4500_mutation_sd0.0700_transposition_mutation_correlation0.9000,0.4500,0.0700,0.9000,100,78,0,0.347,0.790,0.721,0.565
vertical_comb_benefit0.4500_mutation_sd0.0900_transposition_mutation_correlation0.0000,0.4500,0.0900,0.0000,100,56,0,0.316,0.743,0.590,0.537
vertical_comb_benefit0.4500_mutation_sd0.0900_transposition_mutation_correlation0.3000,0.4500,0.0900,0.3000,100,78,0,0.324,0.808,0.713,0.584
vertical_comb_benefit0.4500_mutation_sd0.0900_transposition_mutation_correlation0.6000,0.4500,0.0900,0.6000,100,83,0,0.331,0.811,0.735,0.569
vertical_comb_benefit0.4500_mutation_sd0.0900_transposition_mutation_correlation0.9000,0.4500,0.0900,0.9000,100,85,0,0.333,0.826,0.772,0.553
vertical_comb_benefit0.4500_mutation_sd0.1100_transposition_mutation_correlation0.0000,0.4500,0.1100,0.0000,100,64,0,0.311,0.798,0.702,0.551
vertical_comb_benefit0.4500_mutation_sd0.1100_transposition_mutation_correlation0.3000,0.4500,0.1100,0.3000,100,70,0,0.315,0.817,0.723,0.565
vertical_comb_benefit0.4500_mutation_sd0.1100_transposition_mutation_correlation0.6000,0.4500,0.1100,0.6000,100,69,0,0.317,0.820,0.740,0.547
vertical_comb_benefit0.4500_mutation_sd0.1100_transposition_mutation_correlation0.9000,0.4500,0.1100,0.9000,100,72,0,0.325,0.815,0.760,0.561
vertical_comb_benefit0.6000_mutation_sd0.0500_transposition_mutation_correlation0.0000,0.6000,0.0500,0.0000,100,24,0,0.319,0.709,0.336,0.579
vertical_comb_benefit0.6000_mutation_sd0.0500_transposition_mutation_correlation0.3000,0.6000,0.0500,0.3000,100,25,0,0.315,0.760,0.367,0.649
vertical_comb_benefit0.6000_mutation_sd0.0500_transposition_mutation_correlation0.6000,0.6000,0.0500,0.6000,100,39,0,0.325,0.751,0.424,0.607
vertical_comb_benefit0.6000_mutation_sd0.0500_transposition_mutation_correlation0.9000,0.6000,0.0500,0.9000,100,54,0,0.331,0.828,0.549,0.627
vertical_comb_benefit0.6000_mutation_sd0.0700_transposition_mutation_correlation0.0000,0.6000,0.0700,0.0000,100,64,0,0.327,0.819,0.601,0.556
vertical_comb_benefit0.6000_mutation_sd0.0700_transposition_mutation_correlation0.3000,0.6000,0.0700,0.3000,100,68,0,0.327,0.813,0.622,0.556
vertical_comb_benefit0.6000_mutation_sd0.0700_transposition_mutation_correlation0.6000,0.6000,0.0700,0.6000,100,86,0,0.339,0.856,0.755,0.551
vertical_comb_benefit0.6000_mutation_sd0.0700_transposition_mutation_correlation0.9000,0.6000,0.0700,0.9000,100,93,0,0.346,0.861,0.791,0.562
vertical_comb_benefit0.6000_mutation_sd0.0900_transposition_mutation_correlation0.0000,0.6000,0.0900,0.0000,100,83,0,0.321,0.846,0.702,0.547
vertical_comb_benefit0.6000_mutation_sd0.0900_transposition_mutation_correlation0.3000,0.6000,0.0900,0.3000,100,86,0,0.327,0.841,0.741,0.558
vertical_comb_benefit0.6000_mutation_sd0.0900_transposition_mutation_correlation0.6000,0.6000,0.0900,0.6000,100,93,0,0.334,0.851,0.783,0.579
vertical_comb_benefit0.6000_mutation_sd0.0900_transposition_mutation_correlation0.9000,0.6000,0.0900,0.9000,100,92,0,0.335,0.846,0.800,0.541
vertical_comb_benefit0.6000_mutation_sd0.1100_transposition_mutation_correlation0.0000,0.6000,0.1100,0.0000,100,72,0,0.309,0.827,0.714,0.551
vertical_comb_benefit0.6000_mutation_sd0.1100_transposition_mutation_correlation0.3000,0.6000,0.1100,0.3000,100,79,0,0.316,0.832,0.744,0.570
vertical_comb_benefit0.6000_mutation_sd0.1100_transposition_mutation_correlation0.6000,0.6000,0.1100,0.6000,100,87,0,0.321,0.837,0.765,0.563
vertical_comb_benefit0.6000_mutation_sd0.1100_transposition_mutation_correlation0.9000,0.6000,0.1100,0.9000,100,79,0,0.323,0.825,0.755,0.564
