candidate,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,112,successful,success,true,true,true,false,60,61,32,34,0.932,104,0.908,113,0.091,0,0.758,0.832,0.852,0.850,0.850,0.002,0.841,0.415,4.085,80.691
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,116,successful,success,true,true,true,false,51,39,27,35,0.909,69,0.895,118,0.090,0,0.819,0.841,0.894,0.888,0.888,0.006,0.836,0.423,4.241,88.482
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,110,successful,success,true,true,true,false,50,69,47,16,0.907,113,0.910,109,0.092,0,0.846,0.800,0.847,0.833,0.833,0.014,0.897,0.420,4.171,91.372
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,114,successful,success,true,true,true,false,79,86,29,23,0.896,115,0.855,87,0.099,0,0.796,0.720,0.863,0.850,0.850,0.013,0.873,0.396,3.944,93.498
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,113,successful,success,true,true,true,false,44,43,20,9,0.930,63,0.894,86,0.103,0,0.874,0.782,0.813,0.809,0.809,0.003,0.875,0.404,4.004,93.878
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,122,successful,success,true,true,true,false,44,41,21,18,0.907,60,0.853,80,0.104,0,0.836,0.735,0.847,0.818,0.818,0.029,0.865,0.400,3.911,94.162
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,115,successful,success,true,true,true,false,70,77,53,25,0.937,112,0.871,105,0.093,0,0.874,0.762,0.849,0.845,0.845,0.004,0.852,0.409,3.969,95.685
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,125,successful,success,true,true,true,false,57,58,21,23,0.900,78,0.898,103,0.098,0,0.715,0.826,0.791,0.803,0.791,0.012,0.831,0.404,3.819,96.793
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,120,unsuccessful,gravity_without_vertical,false,true,false,false,54,49,21,37,0.923,87,0.897,94,0.104,0,0.833,0.838,0.870,0.869,0.869,0.001,0.776,0.414,4.005,97.470
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,123,successful,success,true,true,true,false,75,84,32,31,0.903,111,0.832,106,0.099,0,0.856,0.808,0.787,0.768,0.768,0.019,0.856,0.410,4.059,97.659
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,119,successful,success,true,true,true,false,26,31,21,13,0.929,118,0.888,61,0.099,0,0.817,0.678,0.801,0.710,0.710,0.091,0.890,0.416,4.106,97.691
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,124,successful,success,true,true,true,false,55,66,54,18,0.883,106,0.890,120,0.094,0,0.810,0.713,0.903,0.890,0.890,0.012,0.853,0.413,4.067,98.062
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,117,successful,success,true,true,true,false,63,80,61,15,0.895,85,0.913,111,0.090,0,0.686,0.758,0.888,0.838,0.838,0.050,0.853,0.428,4.226,99.158
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,118,successful,success,true,true,true,false,74,85,19,22,0.899,95,0.915,101,0.091,0,0.791,0.841,0.860,0.860,0.860,0.001,0.891,0.399,3.949,99.351
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,111,successful,success,true,true,true,false,42,42,31,29,0.914,95,0.869,92,0.097,0,0.829,0.828,0.850,0.768,0.768,0.082,0.821,0.402,3.904,101.679
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,121,successful,success,true,true,true,false,86,102,48,35,0.880,116,0.850,119,0.101,0,0.840,0.711,0.838,0.878,0.838,0.040,0.865,0.407,4.022,104.419
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,126,successful,success,true,true,true,false,32,39,24,19,0.920,108,0.860,105,0.093,0,0.790,0.845,0.841,0.822,0.822,0.019,0.860,0.414,4.081,94.701
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,130,successful,success,true,true,true,false,53,58,16,20,0.926,102,0.882,118,0.087,0,0.795,0.735,0.853,0.870,0.853,0.017,0.863,0.396,3.900,85.457
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,127,unsuccessful,flat,false,false,false,false,not_reached,not_reached,74,22,0.570,76,0.331,90,0.092,0,0.872,0.834,0.240,0.214,0.214,0.025,0.323,0.412,3.172,98.278
trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900,128,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,14,0.453,41,0.343,59,0.092,0,0.820,0.827,0.217,0.246,0.217,0.029,0.417,0.402,3.174,97.641
