number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
0,COMPLETE,0.217,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,0,10,0,0.217,0.362,1.812,0.176,0.216,887.564
1,COMPLETE,2.817,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,2,10,0,0.817,0.735,8.157,0.764,0.576,1247.637
2,COMPLETE,0.191,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,0,10,0,0.191,0.288,1.610,0.153,0.202,740.878
3,COMPLETE,7.992,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,7,10,0,0.992,0.454,5.610,0.825,0.792,996.094
4,COMPLETE,0.573,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,0,10,0,0.573,0.451,4.498,0.602,0.327,896.915
5,COMPLETE,6.906,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,6,10,0,0.906,0.545,6.847,0.802,0.647,1090.403
6,COMPLETE,7.813,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,7,10,0,0.813,0.561,7.572,0.728,0.653,1029.930
7,COMPLETE,2.819,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,2,10,0,0.819,0.743,10.701,0.808,0.502,1236.144
8,COMPLETE,2.851,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,2,10,0,0.851,0.701,10.715,0.783,0.491,1221.460
9,COMPLETE,0.297,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,0,10,0,0.297,0.568,4.651,0.317,0.208,1124.797
10,COMPLETE,3.709,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,3,10,0,0.709,0.676,7.492,0.676,0.526,1238.631
11,COMPLETE,4.953,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,4,10,0,0.953,0.488,5.928,0.772,0.707,1023.609
12,COMPLETE,0.219,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,0,10,0,0.219,0.467,3.031,0.176,0.207,973.064
13,COMPLETE,2.460,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,2,10,0,0.460,0.602,6.021,0.540,0.297,1095.571
14,COMPLETE,0.138,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,0,10,0,0.138,0.470,1.879,0.110,0.191,1007.969
15,COMPLETE,4.904,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,4,10,0,0.904,0.607,6.346,0.803,0.631,1189.273
16,COMPLETE,0.739,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,0,10,0,0.739,0.608,6.661,0.640,0.498,1090.988
17,COMPLETE,2.496,8,0.240,12,1.000,0.380,9.000,0.030,0.050,0.500,2,10,0,0.496,0.474,4.129,0.464,0.372,957.220
18,COMPLETE,0.214,5,0.240,8,1.000,0.260,8.500,0.040,0.110,0.700,0,10,0,0.214,0.366,1.656,0.171,0.199,919.766
