candidate,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
trial_785,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.750,1.000,0.750,0.000,47.725,54.289,38.825,16.300,0.891,0.879,0.133,0.774,0.780,0.809,0.000,0.821,0.521,3.634
trial_785,comparison,successful,30,"110,111,112,114,115,116,117,118,119,120,121,122,123,124,125,126,128,131,133,135,136,137,138,140,141,143,145,146,148,149",1.000,1.000,1.000,0.000,44.200,53.200,35.600,16.067,0.903,0.897,0.133,0.778,0.792,0.840,0.000,0.846,0.524,3.738
trial_785,comparison,unsuccessful,10,"113,127,129,130,132,134,139,142,144,147",0.000,1.000,0.000,0.000,58.300,58.375,48.500,17.000,0.853,0.825,0.132,0.761,0.742,0.716,0.000,0.747,0.512,3.322
trial_785,outcome,gravity_without_vertical,10,"113,127,129,130,132,134,139,142,144,147",0.000,1.000,0.000,0.000,58.300,58.375,48.500,17.000,0.853,0.825,0.132,0.761,0.742,0.716,0.000,0.747,0.512,3.322
trial_785,outcome,success,30,"110,111,112,114,115,116,117,118,119,120,121,122,123,124,125,126,128,131,133,135,136,137,138,140,141,143,145,146,148,149",1.000,1.000,1.000,0.000,44.200,53.200,35.600,16.067,0.903,0.897,0.133,0.778,0.792,0.840,0.000,0.846,0.524,3.738
trial_243,all,all,40,"110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149",0.900,0.975,0.900,0.000,53.795,55.308,31.950,18.100,0.902,0.884,0.155,0.787,0.780,0.824,0.000,0.843,0.570,5.164
trial_243,comparison,successful,36,"110,111,112,115,116,117,118,119,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,144,145,146,147,148,149",1.000,1.000,1.000,0.000,53.611,55.639,30.250,18.444,0.907,0.897,0.155,0.787,0.781,0.838,0.000,0.858,0.569,5.199
trial_243,comparison,unsuccessful,4,"113,114,120,143",0.000,0.750,0.000,0.000,56.000,51.333,47.250,15.000,0.848,0.768,0.164,0.785,0.767,0.702,0.000,0.707,0.572,4.846
trial_243,outcome,gravity_without_vertical,3,"113,114,120",0.000,1.000,0.000,0.000,56.000,51.333,37.000,13.667,0.903,0.872,0.164,0.806,0.790,0.784,0.000,0.769,0.578,5.086
trial_243,outcome,partial_tilt,1,143,0.000,0.000,0.000,0.000,not_reached,not_reached,78.000,19.000,0.681,0.457,0.164,0.722,0.696,0.457,0.000,0.521,0.553,4.128
trial_243,outcome,success,36,"110,111,112,115,116,117,118,119,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,144,145,146,147,148,149",1.000,1.000,1.000,0.000,53.611,55.639,30.250,18.444,0.907,0.897,0.155,0.787,0.781,0.838,0.000,0.858,0.569,5.199
