number,state,value,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition
0,COMPLETE,1.352,100,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.169,0.371,1.866,0.135,0.222,0.253,0.222
0,COMPLETE,1.352,101,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,true,false,1.000,0.365,2.362,0.881,0.848,0.802,0.802
0,COMPLETE,1.352,102,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.263,0.358,1.706,0.210,0.208,0.296,0.208
0,COMPLETE,1.352,103,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.166,0.383,2.022,0.133,0.280,0.296,0.280
0,COMPLETE,1.352,104,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.237,0.348,1.769,0.190,0.187,0.195,0.187
0,COMPLETE,1.352,105,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.252,0.375,1.860,0.202,0.188,0.259,0.188
0,COMPLETE,1.352,106,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.211,0.372,1.866,0.169,0.174,0.187,0.174
0,COMPLETE,1.352,107,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.196,0.394,2.151,0.157,0.245,0.278,0.245
0,COMPLETE,1.352,108,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.202,0.386,1.985,0.162,0.220,0.168,0.168
0,COMPLETE,1.352,109,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,false,false,0.826,0.362,2.063,0.661,0.573,0.575,0.573
1,COMPLETE,5.979,100,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,false,false,0.985,0.596,6.148,0.788,0.640,0.674,0.640
1,COMPLETE,5.979,101,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,true,false,1.000,0.609,6.514,0.829,0.730,0.645,0.645
1,COMPLETE,5.979,102,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,true,false,1.000,0.659,7.066,0.877,0.793,0.832,0.793
1,COMPLETE,5.979,103,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,false,false,0.922,0.616,6.111,0.738,0.714,0.748,0.714
1,COMPLETE,5.979,104,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,true,false,1.000,0.618,6.641,0.899,0.791,0.676,0.676
1,COMPLETE,5.979,105,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,true,false,1.000,0.629,6.640,0.854,0.685,0.753,0.685
1,COMPLETE,5.979,106,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,true,false,1.000,0.585,6.127,0.835,0.652,0.771,0.652
1,COMPLETE,5.979,107,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,false,false,0.912,0.606,6.162,0.730,0.737,0.731,0.731
1,COMPLETE,5.979,108,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,false,false,0.973,0.601,6.134,0.778,0.724,0.565,0.565
1,COMPLETE,5.979,109,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,false,false,0.993,0.612,6.357,0.794,0.814,0.821,0.814
2,COMPLETE,4.569,100,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,false,false,0.151,0.613,6.351,0.121,0.164,0.220,0.164
2,COMPLETE,4.569,101,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,true,false,1.000,0.536,7.591,0.869,0.805,0.821,0.805
2,COMPLETE,4.569,102,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,false,false,0.298,0.551,6.140,0.361,0.177,0.149,0.149
2,COMPLETE,4.569,103,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,true,false,1.000,0.529,7.569,0.858,0.853,0.807,0.807
2,COMPLETE,4.569,104,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,false,false,0.403,0.525,5.731,0.323,0.233,0.267,0.233
2,COMPLETE,4.569,105,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,false,false,0.253,0.537,5.574,0.202,0.215,0.179,0.179
2,COMPLETE,4.569,106,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,true,false,1.000,0.558,8.010,0.874,0.841,0.760,0.760
2,COMPLETE,4.569,107,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,true,false,1.000,0.580,8.355,0.862,0.884,0.831,0.831
2,COMPLETE,4.569,108,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,false,false,0.233,0.548,6.010,0.281,0.165,0.117,0.117
2,COMPLETE,4.569,109,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,false,false,0.354,0.517,5.687,0.341,0.177,0.226,0.177
3,COMPLETE,1.551,100,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,true,false,1.000,0.462,4.795,0.814,0.598,0.584,0.584
3,COMPLETE,1.551,101,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,false,false,0.304,0.445,4.422,0.572,0.382,0.152,0.152
3,COMPLETE,1.551,102,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,false,false,0.355,0.440,4.128,0.284,0.287,0.239,0.239
3,COMPLETE,1.551,103,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,false,false,0.458,0.472,4.696,0.611,0.229,0.333,0.229
3,COMPLETE,1.551,104,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,false,false,0.851,0.433,4.348,0.681,0.592,0.459,0.459
3,COMPLETE,1.551,105,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,false,false,0.392,0.445,4.423,0.564,0.237,0.196,0.196
3,COMPLETE,1.551,106,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,false,false,0.497,0.465,4.472,0.397,0.254,0.264,0.254
3,COMPLETE,1.551,107,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,false,false,0.307,0.478,4.466,0.246,0.177,0.408,0.177
3,COMPLETE,1.551,108,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,false,false,0.605,0.438,4.233,0.484,0.443,0.388,0.388
3,COMPLETE,1.551,109,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,false,false,0.743,0.424,4.394,0.852,0.372,0.698,0.372
4,COMPLETE,4.640,100,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,true,false,1.000,0.681,7.943,0.850,0.734,0.653,0.653
4,COMPLETE,4.640,101,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,true,false,1.000,0.690,8.248,0.844,0.870,0.854,0.854
4,COMPLETE,4.640,102,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,true,false,1.000,0.677,7.929,0.808,0.828,0.820,0.820
4,COMPLETE,4.640,103,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,false,false,0.771,0.687,7.645,0.617,0.548,0.465,0.465
4,COMPLETE,4.640,104,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,false,false,0.418,0.678,6.878,0.335,0.410,0.308,0.308
4,COMPLETE,4.640,105,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,false,false,0.244,0.695,6.905,0.195,0.213,0.213,0.213
4,COMPLETE,4.640,106,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,false,false,0.262,0.720,7.171,0.210,0.315,0.355,0.315
4,COMPLETE,4.640,107,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,true,false,1.000,0.679,7.816,0.817,0.742,0.787,0.742
4,COMPLETE,4.640,108,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,false,false,0.430,0.694,7.097,0.344,0.279,0.298,0.279
4,COMPLETE,4.640,109,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,false,false,0.274,0.705,6.992,0.219,0.347,0.285,0.285
5,COMPLETE,0.186,100,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.166,0.498,3.298,0.132,0.270,0.291,0.270
5,COMPLETE,0.186,101,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.117,0.479,3.237,0.093,0.188,0.178,0.178
5,COMPLETE,0.186,102,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.200,0.484,3.279,0.160,0.196,0.239,0.196
5,COMPLETE,0.186,103,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.181,0.452,3.022,0.145,0.232,0.170,0.170
5,COMPLETE,0.186,104,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.131,0.468,3.128,0.104,0.220,0.232,0.220
5,COMPLETE,0.186,105,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.200,0.473,3.254,0.160,0.198,0.228,0.198
5,COMPLETE,0.186,106,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.230,0.451,2.811,0.184,0.298,0.148,0.148
5,COMPLETE,0.186,107,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.234,0.475,3.203,0.187,0.236,0.191,0.191
5,COMPLETE,0.186,108,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,false,false,0.148,0.469,3.112,0.118,0.220,0.331,0.220
