seed,comparison_group,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
96,unsuccessful,flat,43,0.633,0.769,0.276,0.267,0.267,0.009,0.314,0.610,0.423,6.883,0.566,5.467
96,unsuccessful,flat,44,0.612,0.806,0.288,0.283,0.283,0.005,0.360,0.733,0.354,6.789,0.565,5.516
96,unsuccessful,flat,45,0.678,0.795,0.301,0.323,0.301,0.022,0.330,0.893,0.386,6.587,0.560,5.434
96,unsuccessful,flat,46,0.659,0.788,0.331,0.366,0.331,0.035,0.256,0.748,0.426,6.603,0.568,5.448
96,unsuccessful,flat,47,0.676,0.800,0.357,0.382,0.357,0.024,0.250,0.596,0.406,6.284,0.563,5.429
96,unsuccessful,flat,48,0.740,0.817,0.339,0.422,0.339,0.083,0.170,0.668,0.289,6.438,0.586,5.600
96,unsuccessful,flat,49,0.751,0.812,0.333,0.405,0.333,0.072,0.187,1.009,0.279,6.322,0.579,5.568
96,unsuccessful,flat,50,0.764,0.778,0.375,0.435,0.375,0.060,0.186,0.890,0.474,6.334,0.581,5.598
96,unsuccessful,flat,51,0.766,0.756,0.343,0.417,0.343,0.074,0.230,0.895,0.431,6.271,0.575,5.577
96,unsuccessful,flat,52,0.784,0.753,0.346,0.412,0.346,0.066,0.226,0.602,0.419,6.278,0.571,5.522
96,unsuccessful,flat,53,0.793,0.784,0.363,0.412,0.363,0.049,0.225,0.574,0.507,6.441,0.563,5.409
96,unsuccessful,flat,54,0.803,0.766,0.383,0.405,0.383,0.021,0.254,0.556,0.475,6.395,0.564,5.450
96,unsuccessful,flat,55,0.798,0.718,0.327,0.340,0.327,0.013,0.262,0.537,0.336,6.433,0.552,5.320
96,unsuccessful,flat,56,0.785,0.724,0.260,0.315,0.260,0.055,0.262,0.447,0.422,6.912,0.573,5.541
96,unsuccessful,flat,57,0.778,0.737,0.290,0.338,0.290,0.048,0.256,0.601,0.250,6.854,0.565,5.440
96,unsuccessful,flat,58,0.831,0.727,0.222,0.277,0.222,0.055,0.240,0.698,0.078,7.129,0.591,5.684
96,unsuccessful,flat,59,0.862,0.698,0.225,0.201,0.201,0.024,0.204,0.888,0.131,7.283,0.602,5.749
96,unsuccessful,flat,60,0.845,0.687,0.264,0.227,0.227,0.037,0.232,0.868,0.145,7.379,0.596,5.688
96,unsuccessful,flat,61,0.828,0.723,0.275,0.205,0.205,0.069,0.231,0.644,0.154,7.244,0.596,5.730
96,unsuccessful,flat,62,0.789,0.705,0.263,0.211,0.211,0.052,0.242,0.540,0.231,6.911,0.580,5.564
96,unsuccessful,flat,63,0.792,0.742,0.263,0.185,0.185,0.079,0.242,0.439,0.174,6.826,0.581,5.613
96,unsuccessful,flat,64,0.753,0.782,0.258,0.171,0.171,0.086,0.226,0.418,0.238,6.859,0.586,5.632
96,unsuccessful,flat,65,0.825,0.728,0.217,0.154,0.154,0.063,0.204,0.468,0.170,6.697,0.593,5.741
96,unsuccessful,flat,66,0.810,0.724,0.240,0.150,0.150,0.090,0.173,0.188,0.205,6.827,0.591,5.636
96,unsuccessful,flat,67,0.835,0.772,0.291,0.132,0.132,0.160,0.199,0.047,0.183,7.013,0.606,5.842
96,unsuccessful,flat,68,0.811,0.735,0.369,0.129,0.129,0.240,0.193,2.865,0.070,7.168,0.590,5.578
96,unsuccessful,flat,69,0.796,0.725,0.368,0.138,0.138,0.230,0.186,2.082,0.107,7.231,0.590,5.551
96,unsuccessful,flat,70,0.807,0.708,0.390,0.163,0.163,0.227,0.162,1.771,0.248,7.181,0.585,5.460
96,unsuccessful,flat,71,0.792,0.725,0.398,0.166,0.166,0.231,0.180,1.644,0.203,7.142,0.583,5.473
96,unsuccessful,flat,72,0.802,0.731,0.371,0.174,0.174,0.197,0.232,1.570,0.234,7.173,0.580,5.489
96,unsuccessful,flat,73,0.773,0.681,0.312,0.133,0.133,0.179,0.281,1.952,0.186,6.882,0.568,5.445
96,unsuccessful,flat,74,0.818,0.708,0.291,0.125,0.125,0.166,0.239,1.403,0.208,6.868,0.583,5.600
96,unsuccessful,flat,75,0.874,0.699,0.311,0.116,0.116,0.195,0.209,1.429,0.280,6.776,0.581,5.548
96,unsuccessful,flat,76,0.864,0.680,0.308,0.114,0.114,0.194,0.214,1.375,0.162,6.903,0.579,5.526
96,unsuccessful,flat,77,0.859,0.694,0.288,0.144,0.144,0.144,0.231,1.408,0.328,6.977,0.586,5.639
96,unsuccessful,flat,78,0.828,0.735,0.312,0.178,0.178,0.134,0.227,1.251,0.306,6.894,0.580,5.558
96,unsuccessful,flat,79,0.822,0.766,0.242,0.135,0.135,0.107,0.203,0.694,0.189,6.666,0.596,5.785
96,unsuccessful,flat,80,0.878,0.791,0.201,0.101,0.101,0.100,0.209,0.800,0.249,6.925,0.615,6.022
96,unsuccessful,flat,81,0.884,0.819,0.188,0.116,0.116,0.072,0.199,0.752,0.312,6.874,0.619,6.056
96,unsuccessful,flat,82,0.868,0.847,0.207,0.121,0.121,0.086,0.187,1.037,0.212,6.878,0.623,6.085
96,unsuccessful,flat,83,0.863,0.858,0.242,0.137,0.137,0.105,0.202,0.810,0.082,6.772,0.621,6.094
96,unsuccessful,flat,84,0.872,0.854,0.232,0.156,0.156,0.075,0.176,1.504,0.102,6.522,0.621,6.081
96,unsuccessful,flat,85,0.879,0.849,0.240,0.156,0.156,0.084,0.205,1.533,0.094,6.621,0.619,6.116
96,unsuccessful,flat,86,0.869,0.822,0.198,0.133,0.133,0.064,0.200,1.629,0.277,6.414,0.605,5.950
96,unsuccessful,flat,87,0.868,0.815,0.238,0.121,0.121,0.117,0.184,1.575,0.294,6.423,0.595,5.800
96,unsuccessful,flat,88,0.835,0.834,0.207,0.122,0.122,0.085,0.208,2.001,0.236,6.653,0.594,5.793
96,unsuccessful,flat,89,0.855,0.818,0.206,0.103,0.103,0.103,0.249,2.301,0.298,6.820,0.592,5.812
96,unsuccessful,flat,90,0.877,0.806,0.161,0.094,0.094,0.067,0.264,2.550,0.324,6.847,0.607,6.044
96,unsuccessful,flat,91,0.858,0.798,0.176,0.110,0.110,0.066,0.261,2.189,0.286,6.756,0.604,5.986
96,unsuccessful,flat,92,0.841,0.774,0.148,0.105,0.105,0.043,0.269,2.126,0.364,6.621,0.590,5.847
96,unsuccessful,flat,93,0.846,0.792,0.126,0.101,0.101,0.026,0.269,2.393,0.322,6.529,0.590,5.845
96,unsuccessful,flat,94,0.838,0.804,0.140,0.104,0.104,0.036,0.245,2.497,0.234,6.789,0.607,6.010
96,unsuccessful,flat,95,0.817,0.786,0.109,0.088,0.088,0.022,0.224,2.616,0.101,6.960,0.621,6.118
