seed,comparison_group,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
102,successful,success,47,0.527,0.414,0.261,0.404,0.261,0.144,0.567,0.528,0.247,6.929,0.514,5.086
102,successful,success,48,0.589,0.467,0.263,0.428,0.263,0.166,0.558,0.629,0.223,6.602,0.518,5.198
102,successful,success,49,0.541,0.479,0.260,0.438,0.260,0.179,0.530,0.789,0.306,6.911,0.526,5.211
102,successful,success,50,0.528,0.489,0.194,0.386,0.194,0.192,0.440,0.814,0.413,6.930,0.532,5.169
102,successful,success,51,0.544,0.530,0.198,0.382,0.198,0.184,0.405,0.828,0.396,6.609,0.528,5.131
102,successful,success,52,0.572,0.578,0.210,0.369,0.210,0.160,0.408,0.998,0.217,6.521,0.532,5.215
102,successful,success,53,0.544,0.592,0.204,0.357,0.204,0.154,0.373,1.342,0.168,6.502,0.531,5.158
102,successful,success,54,0.653,0.640,0.181,0.299,0.181,0.119,0.341,1.203,0.074,6.765,0.555,5.394
102,successful,success,55,0.658,0.618,0.250,0.328,0.250,0.078,0.421,1.038,0.119,6.593,0.547,5.437
102,successful,success,56,0.626,0.625,0.270,0.367,0.270,0.097,0.443,1.296,0.207,6.750,0.557,5.581
102,successful,success,57,0.605,0.557,0.332,0.456,0.332,0.124,0.495,1.474,0.200,6.570,0.540,5.442
102,successful,success,58,0.620,0.604,0.344,0.451,0.344,0.107,0.475,1.570,0.155,6.532,0.543,5.446
102,successful,success,59,0.609,0.631,0.279,0.398,0.279,0.119,0.433,2.467,0.109,6.463,0.546,5.439
102,successful,success,60,0.637,0.712,0.315,0.342,0.315,0.027,0.418,2.224,0.257,6.558,0.572,5.790
102,successful,success,61,0.666,0.747,0.316,0.306,0.306,0.010,0.351,1.892,0.304,6.564,0.575,5.749
102,successful,success,62,0.681,0.787,0.297,0.263,0.263,0.034,0.318,2.075,0.269,6.868,0.585,5.763
102,successful,success,63,0.650,0.782,0.349,0.289,0.289,0.060,0.326,1.719,0.197,6.712,0.590,5.888
102,successful,success,64,0.650,0.817,0.337,0.265,0.265,0.072,0.253,1.743,0.193,6.593,0.597,5.908
102,successful,success,65,0.666,0.789,0.378,0.285,0.285,0.093,0.329,2.052,0.162,6.566,0.587,5.896
102,successful,success,66,0.703,0.793,0.401,0.322,0.322,0.079,0.369,2.471,0.220,6.467,0.592,6.073
102,successful,success,67,0.696,0.799,0.384,0.267,0.267,0.118,0.343,2.731,0.128,6.592,0.602,6.163
102,successful,success,68,0.672,0.814,0.451,0.345,0.345,0.106,0.379,2.980,0.180,7.036,0.606,6.175
102,successful,success,69,0.707,0.824,0.445,0.345,0.345,0.100,0.395,2.777,0.171,6.935,0.605,6.217
102,successful,success,70,0.718,0.809,0.510,0.407,0.407,0.102,0.429,3.077,0.272,6.992,0.602,6.234
102,successful,success,71,0.737,0.809,0.475,0.382,0.382,0.093,0.399,0.094,0.209,6.877,0.609,6.280
102,successful,success,72,0.718,0.800,0.455,0.370,0.370,0.084,0.414,2.739,0.148,6.983,0.593,6.066
102,successful,success,73,0.720,0.802,0.437,0.363,0.363,0.074,0.419,1.115,0.022,6.802,0.591,6.083
102,successful,success,74,0.680,0.772,0.532,0.482,0.482,0.050,0.556,3.120,0.101,6.816,0.580,6.164
102,successful,success,75,0.709,0.798,0.507,0.454,0.454,0.053,0.550,0.683,0.034,6.832,0.585,6.215
102,successful,success,76,0.689,0.784,0.547,0.487,0.487,0.060,0.570,1.024,0.059,6.808,0.575,6.127
102,successful,success,77,0.686,0.774,0.580,0.506,0.506,0.074,0.556,2.364,0.011,6.906,0.579,6.097
102,successful,success,78,0.715,0.756,0.503,0.447,0.447,0.056,0.525,1.791,0.220,6.834,0.579,6.071
102,successful,success,79,0.705,0.698,0.559,0.513,0.513,0.046,0.553,1.420,0.166,6.905,0.578,6.113
102,successful,success,80,0.686,0.714,0.591,0.542,0.542,0.048,0.569,0.857,0.125,6.948,0.580,6.141
102,successful,success,81,0.732,0.720,0.599,0.531,0.531,0.068,0.554,1.412,0.171,6.910,0.588,6.248
102,successful,success,82,0.677,0.710,0.640,0.585,0.585,0.055,0.611,1.211,0.306,7.030,0.582,6.252
102,successful,success,83,0.694,0.646,0.704,0.667,0.667,0.037,0.722,1.465,0.126,7.096,0.573,6.292
102,successful,success,84,0.700,0.648,0.714,0.695,0.695,0.019,0.730,1.497,0.278,7.009,0.575,6.342
102,successful,success,85,0.732,0.660,0.810,0.803,0.803,0.007,0.887,1.761,0.372,6.930,0.584,6.800
102,successful,success,86,0.721,0.708,0.815,0.806,0.806,0.009,0.875,1.992,0.133,6.721,0.586,6.865
102,successful,success,87,0.736,0.698,0.827,0.817,0.817,0.010,0.865,2.173,0.124,6.506,0.571,6.622
102,successful,success,88,0.742,0.759,0.849,0.841,0.841,0.008,0.882,2.464,0.168,6.396,0.588,6.998
102,successful,success,89,0.724,0.800,0.852,0.827,0.827,0.025,0.860,2.521,0.274,6.278,0.571,6.695
102,successful,success,90,0.753,0.784,0.889,0.868,0.868,0.021,0.860,2.658,0.293,6.069,0.566,6.667
102,successful,success,91,0.753,0.753,0.873,0.859,0.859,0.014,0.877,2.666,0.341,6.194,0.565,6.641
102,successful,success,92,0.748,0.801,0.851,0.824,0.824,0.028,0.866,2.396,0.189,6.023,0.565,6.671
102,successful,success,93,0.776,0.771,0.855,0.823,0.823,0.032,0.861,2.503,0.073,5.961,0.551,6.450
102,successful,success,94,0.789,0.764,0.874,0.868,0.868,0.006,0.836,0.035,0.160,6.020,0.566,6.649
102,successful,success,95,0.806,0.792,0.902,0.892,0.892,0.010,0.815,3.078,0.221,5.913,0.560,6.546
102,successful,success,96,0.809,0.788,0.913,0.898,0.898,0.015,0.814,2.975,0.191,5.834,0.548,6.373
102,successful,success,97,0.787,0.754,0.907,0.860,0.860,0.047,0.812,0.254,0.160,5.827,0.543,6.307
102,successful,success,98,0.795,0.716,0.897,0.841,0.841,0.055,0.842,0.143,0.248,6.119,0.558,6.479
102,successful,success,99,0.823,0.767,0.893,0.854,0.854,0.038,0.864,0.281,0.190,6.194,0.588,7.000
102,successful,success,100,0.824,0.779,0.886,0.852,0.852,0.033,0.877,0.174,0.095,6.365,0.587,6.977
102,successful,success,101,0.827,0.805,0.876,0.850,0.850,0.027,0.858,2.547,0.135,6.538,0.597,7.070
102,successful,success,102,0.822,0.800,0.905,0.868,0.868,0.037,0.856,2.725,0.180,6.502,0.589,6.940
102,successful,success,103,0.834,0.811,0.898,0.872,0.872,0.027,0.860,2.309,0.065,6.319,0.579,6.852
102,successful,success,104,0.855,0.837,0.899,0.892,0.892,0.007,0.874,1.829,0.119,6.074,0.572,6.843
102,successful,success,105,0.845,0.847,0.891,0.870,0.870,0.020,0.872,1.858,0.110,6.417,0.582,6.913
102,successful,success,106,0.853,0.842,0.924,0.880,0.880,0.043,0.864,1.594,0.203,6.568,0.590,6.997
102,successful,success,107,0.842,0.835,0.924,0.886,0.886,0.038,0.858,1.920,0.315,6.498,0.590,7.006
102,successful,success,108,0.824,0.804,0.927,0.864,0.864,0.063,0.851,1.760,0.184,6.896,0.605,7.122
102,successful,success,109,0.789,0.776,0.913,0.878,0.878,0.034,0.841,1.901,0.144,6.859,0.596,6.953
102,successful,success,110,0.777,0.780,0.947,0.899,0.899,0.048,0.852,1.947,0.155,6.779,0.597,7.029
102,successful,success,111,0.815,0.783,0.931,0.905,0.905,0.026,0.876,1.849,0.192,6.729,0.601,7.120
102,successful,success,112,0.826,0.768,0.911,0.910,0.910,0.001,0.861,1.539,0.203,6.763,0.596,6.999
102,successful,success,113,0.802,0.777,0.923,0.922,0.922,0.000,0.862,2.018,0.036,6.864,0.607,7.169
102,successful,success,114,0.745,0.816,0.924,0.917,0.917,0.007,0.873,1.292,0.119,6.868,0.609,7.238
102,successful,success,115,0.735,0.818,0.913,0.915,0.913,0.002,0.875,0.950,0.101,6.859,0.610,7.236
102,successful,success,116,0.688,0.864,0.903,0.913,0.903,0.010,0.853,0.861,0.161,6.878,0.604,7.100
102,successful,success,117,0.676,0.837,0.899,0.909,0.899,0.010,0.841,0.754,0.289,7.106,0.609,7.110
102,successful,success,118,0.654,0.866,0.870,0.870,0.870,0.000,0.881,0.663,0.194,6.869,0.602,7.119
102,successful,success,119,0.652,0.883,0.863,0.870,0.863,0.007,0.889,0.174,0.072,6.827,0.593,6.964
102,successful,success,120,0.669,0.853,0.864,0.867,0.864,0.002,0.885,2.938,0.184,6.906,0.600,7.057
103,successful,success,0,0.075,0.110,0.000,0.000,0.000,0.000,0.000,2.386,0.079,2.432,0.166,1.172
103,successful,success,1,0.071,0.100,0.031,0.034,0.031,0.003,0.023,1.858,0.162,2.904,0.214,1.619
103,successful,success,2,0.092,0.125,0.052,0.048,0.048,0.004,0.037,1.659,0.167,3.301,0.250,1.946
103,successful,success,3,0.080,0.161,0.053,0.042,0.042,0.011,0.052,2.155,0.132,3.470,0.269,2.148
103,successful,success,4,0.090,0.148,0.074,0.055,0.055,0.018,0.076,2.109,0.272,3.702,0.293,2.395
103,successful,success,5,0.109,0.149,0.084,0.075,0.075,0.009,0.097,2.415,0.204,3.952,0.309,2.552
103,successful,success,6,0.118,0.131,0.087,0.091,0.087,0.004,0.104,2.138,0.186,4.401,0.342,2.864
103,successful,success,7,0.109,0.100,0.108,0.105,0.105,0.003,0.102,1.617,0.146,4.712,0.370,3.111
103,successful,success,8,0.120,0.121,0.115,0.131,0.115,0.016,0.133,2.110,0.143,4.546,0.353,2.975
103,successful,success,9,0.141,0.172,0.121,0.144,0.121,0.023,0.137,2.013,0.194,4.746,0.368,3.121
103,successful,success,10,0.144,0.195,0.120,0.144,0.120,0.024,0.130,2.046,0.225,5.159,0.409,3.534
103,successful,success,11,0.151,0.182,0.103,0.123,0.103,0.020,0.136,2.004,0.247,5.381,0.422,3.654
103,successful,success,12,0.139,0.193,0.109,0.151,0.109,0.041,0.155,1.898,0.256,5.775,0.449,3.930
103,successful,success,13,0.139,0.212,0.119,0.188,0.119,0.069,0.183,1.842,0.269,5.435,0.421,3.689
103,successful,success,14,0.145,0.257,0.092,0.131,0.092,0.039,0.196,1.521,0.189,5.350,0.418,3.698
103,successful,success,15,0.147,0.291,0.094,0.129,0.094,0.034,0.220,1.581,0.222,5.624,0.430,3.807
103,successful,success,16,0.146,0.292,0.106,0.144,0.106,0.038,0.219,0.880,0.229,5.741,0.439,3.906
103,successful,success,17,0.131,0.319,0.108,0.149,0.108,0.041,0.217,0.687,0.281,6.185,0.462,4.100
103,successful,success,18,0.137,0.303,0.126,0.180,0.126,0.054,0.213,0.557,0.164,6.117,0.460,4.081
103,successful,success,19,0.113,0.315,0.153,0.219,0.153,0.066,0.202,0.772,0.215,6.469,0.474,4.172
103,successful,success,20,0.122,0.320,0.165,0.231,0.165,0.066,0.210,1.230,0.086,6.570,0.481,4.262
103,successful,success,21,0.130,0.327,0.216,0.251,0.216,0.035,0.214,0.667,0.266,6.569,0.475,4.193
103,successful,success,22,0.163,0.355,0.197,0.222,0.197,0.025,0.227,0.950,0.160,6.490,0.478,4.254
103,successful,success,23,0.169,0.392,0.216,0.263,0.216,0.047,0.231,3.035,0.204,6.680,0.501,4.543
103,successful,success,24,0.165,0.422,0.248,0.279,0.248,0.030,0.240,2.871,0.378,6.578,0.489,4.392
103,successful,success,25,0.157,0.410,0.282,0.315,0.282,0.033,0.208,2.750,0.400,6.476,0.484,4.310
103,successful,success,26,0.164,0.400,0.335,0.423,0.335,0.088,0.227,2.763,0.256,6.259,0.478,4.306
103,successful,success,27,0.200,0.427,0.298,0.387,0.298,0.089,0.273,0.178,0.136,6.439,0.490,4.477
103,successful,success,28,0.173,0.383,0.316,0.412,0.316,0.096,0.260,0.136,0.273,6.401,0.482,4.379
103,successful,success,29,0.209,0.395,0.310,0.376,0.310,0.066,0.299,0.237,0.311,6.381,0.479,4.392
103,successful,success,30,0.272,0.426,0.292,0.332,0.292,0.040,0.304,0.266,0.265,6.407,0.479,4.421
103,successful,success,31,0.336,0.401,0.291,0.343,0.291,0.052,0.306,0.387,0.149,6.256,0.476,4.389
103,successful,success,32,0.323,0.366,0.336,0.420,0.336,0.084,0.271,0.173,0.154,6.067,0.470,4.299
103,successful,success,33,0.317,0.410,0.258,0.343,0.258,0.085,0.316,0.079,0.182,6.056,0.474,4.429
103,successful,success,34,0.398,0.430,0.262,0.306,0.262,0.044,0.362,2.769,0.192,6.277,0.485,4.580
103,successful,success,35,0.450,0.379,0.240,0.253,0.240,0.013,0.375,3.131,0.152,6.416,0.489,4.612
103,successful,success,36,0.554,0.460,0.173,0.160,0.160,0.013,0.412,0.034,0.212,6.317,0.494,4.751
103,successful,success,37,0.637,0.480,0.182,0.136,0.136,0.046,0.416,0.396,0.142,6.542,0.527,5.155
103,successful,success,38,0.637,0.550,0.203,0.169,0.169,0.034,0.392,0.168,0.112,6.653,0.537,5.253
103,successful,success,39,0.632,0.559,0.185,0.153,0.153,0.032,0.389,3.051,0.096,6.832,0.542,5.280
103,successful,success,40,0.671,0.562,0.186,0.147,0.147,0.039,0.361,2.081,0.130,6.850,0.543,5.238
103,successful,success,41,0.704,0.584,0.226,0.190,0.190,0.036,0.381,2.111,0.109,6.826,0.539,5.202
103,successful,success,42,0.686,0.587,0.246,0.235,0.235,0.011,0.384,1.823,0.198,6.697,0.542,5.286
103,successful,success,43,0.662,0.554,0.241,0.229,0.229,0.012,0.428,1.499,0.103,6.452,0.531,5.250
103,successful,success,44,0.651,0.547,0.246,0.242,0.242,0.004,0.420,1.437,0.020,6.285,0.523,5.141
103,successful,success,45,0.682,0.595,0.249,0.243,0.243,0.006,0.354,1.209,0.143,6.280,0.531,5.187
103,successful,success,46,0.671,0.654,0.180,0.186,0.180,0.006,0.374,0.769,0.175,6.281,0.542,5.383
103,successful,success,47,0.676,0.671,0.178,0.205,0.178,0.027,0.351,0.537,0.179,6.418,0.542,5.328
103,successful,success,48,0.641,0.739,0.184,0.199,0.184,0.014,0.354,0.609,0.265,6.626,0.559,5.520
103,successful,success,49,0.648,0.724,0.161,0.163,0.161,0.002,0.344,0.516,0.256,6.477,0.557,5.499
103,successful,success,50,0.604,0.754,0.184,0.149,0.149,0.035,0.359,0.285,0.172,6.675,0.571,5.676
103,successful,success,51,0.604,0.763,0.177,0.157,0.157,0.020,0.331,0.429,0.012,6.812,0.570,5.602
103,successful,success,52,0.635,0.798,0.185,0.158,0.158,0.027,0.341,0.243,0.071,6.738,0.577,5.737
103,successful,success,53,0.646,0.765,0.218,0.150,0.150,0.069,0.370,2.898,0.051,6.817,0.561,5.523
103,successful,success,54,0.684,0.772,0.285,0.205,0.205,0.080,0.382,2.475,0.038,6.639,0.561,5.581
103,successful,success,55,0.694,0.762,0.301,0.207,0.207,0.094,0.407,3.078,0.030,6.660,0.556,5.537
103,successful,success,56,0.659,0.722,0.254,0.176,0.176,0.078,0.386,0.396,0.221,6.337,0.545,5.424
103,successful,success,57,0.676,0.709,0.249,0.211,0.211,0.038,0.416,0.520,0.223,6.510,0.539,5.366
103,successful,success,58,0.675,0.764,0.233,0.205,0.205,0.028,0.407,0.669,0.262,6.458,0.555,5.581
103,successful,success,59,0.682,0.756,0.267,0.235,0.235,0.032,0.414,0.580,0.253,6.586,0.556,5.572
103,successful,success,60,0.657,0.744,0.288,0.255,0.255,0.033,0.451,1.048,0.134,6.535,0.543,5.451
103,successful,success,61,0.635,0.685,0.298,0.229,0.229,0.069,0.461,1.094,0.100,6.506,0.537,5.376
103,successful,success,62,0.648,0.683,0.337,0.266,0.266,0.071,0.448,0.856,0.159,6.523,0.534,5.312
103,successful,success,63,0.654,0.646,0.304,0.238,0.238,0.066,0.415,0.685,0.158,6.552,0.540,5.328
103,successful,success,64,0.659,0.669,0.259,0.210,0.210,0.049,0.358,0.286,0.119,6.364,0.537,5.269
103,successful,success,65,0.643,0.687,0.271,0.228,0.228,0.042,0.369,1.377,0.169,6.344,0.533,5.220
103,successful,success,66,0.690,0.675,0.299,0.265,0.265,0.034,0.359,1.074,0.077,6.665,0.548,5.349
103,successful,success,67,0.686,0.705,0.305,0.279,0.279,0.026,0.352,1.008,0.199,6.613,0.559,5.496
103,successful,success,68,0.633,0.708,0.335,0.263,0.263,0.073,0.387,0.867,0.127,6.753,0.557,5.498
103,successful,success,69,0.621,0.649,0.343,0.285,0.285,0.058,0.359,0.566,0.245,6.405,0.536,5.257
103,successful,success,70,0.667,0.655,0.407,0.321,0.321,0.086,0.413,1.029,0.318,6.377,0.531,5.260
103,successful,success,71,0.683,0.673,0.470,0.381,0.381,0.089,0.490,0.999,0.307,6.352,0.530,5.404
103,successful,success,72,0.712,0.664,0.496,0.408,0.408,0.088,0.500,1.151,0.282,6.288,0.530,5.423
103,successful,success,73,0.783,0.694,0.571,0.454,0.454,0.117,0.555,1.465,0.206,6.423,0.557,5.883
103,successful,success,74,0.842,0.761,0.581,0.483,0.483,0.098,0.543,1.664,0.324,6.706,0.577,6.130
103,successful,success,75,0.875,0.795,0.601,0.528,0.528,0.073,0.541,2.128,0.203,6.766,0.587,6.238
103,successful,success,76,0.890,0.811,0.659,0.589,0.589,0.071,0.624,2.234,0.257,7.074,0.603,6.600
103,successful,success,77,0.875,0.797,0.580,0.532,0.532,0.048,0.565,1.999,0.251,6.941,0.576,6.095
103,successful,success,78,0.858,0.796,0.583,0.516,0.516,0.067,0.535,1.760,0.153,7.153,0.583,6.081
103,successful,success,79,0.863,0.833,0.657,0.599,0.599,0.058,0.614,1.396,0.122,6.967,0.584,6.320
103,successful,success,80,0.848,0.848,0.759,0.663,0.663,0.095,0.683,2.088,0.139,6.970,0.580,6.378
103,successful,success,81,0.852,0.832,0.817,0.724,0.724,0.094,0.760,2.217,0.067,6.954,0.595,6.789
103,successful,success,82,0.817,0.825,0.819,0.792,0.792,0.027,0.827,2.251,0.141,6.860,0.597,6.939
103,successful,success,83,0.828,0.794,0.847,0.845,0.845,0.002,0.836,2.556,0.125,6.745,0.607,7.138
103,successful,success,84,0.807,0.757,0.850,0.842,0.842,0.008,0.860,3.070,0.185,6.643,0.595,6.991
103,successful,success,85,0.819,0.755,0.862,0.866,0.862,0.004,0.842,2.922,0.173,6.721,0.586,6.813
103,successful,success,86,0.800,0.741,0.868,0.881,0.868,0.012,0.858,2.950,0.040,6.743,0.590,6.909
103,successful,success,87,0.802,0.754,0.876,0.919,0.876,0.044,0.831,2.605,0.090,6.900,0.595,6.915
103,successful,success,88,0.812,0.795,0.875,0.920,0.875,0.045,0.843,0.990,0.031,6.975,0.602,7.045
103,successful,success,89,0.782,0.838,0.868,0.929,0.868,0.060,0.850,1.158,0.154,6.678,0.601,7.099
103,successful,success,90,0.766,0.876,0.870,0.923,0.870,0.053,0.868,0.996,0.071,6.609,0.609,7.283
103,successful,success,91,0.800,0.884,0.867,0.921,0.867,0.053,0.884,1.436,0.162,6.766,0.612,7.327
103,successful,success,92,0.765,0.885,0.862,0.899,0.862,0.037,0.887,2.010,0.111,6.808,0.608,7.238
103,successful,success,93,0.735,0.898,0.847,0.885,0.847,0.037,0.898,2.883,0.121,6.855,0.623,7.486
103,successful,success,94,0.732,0.895,0.863,0.883,0.863,0.019,0.875,2.950,0.125,6.724,0.611,7.284
103,successful,success,95,0.776,0.884,0.897,0.888,0.888,0.009,0.877,2.830,0.079,6.668,0.598,7.106
103,successful,success,96,0.789,0.879,0.886,0.902,0.886,0.016,0.885,1.126,0.139,6.638,0.603,7.231
103,successful,success,97,0.765,0.874,0.853,0.872,0.853,0.019,0.844,1.821,0.101,6.730,0.592,6.951
103,successful,success,98,0.767,0.859,0.833,0.851,0.833,0.018,0.839,3.070,0.126,7.045,0.598,6.961
103,successful,success,99,0.798,0.853,0.827,0.850,0.827,0.024,0.859,2.863,0.062,6.779,0.595,7.016
103,successful,success,100,0.836,0.877,0.822,0.868,0.822,0.047,0.872,1.753,0.036,6.890,0.606,7.177
103,successful,success,101,0.855,0.881,0.818,0.881,0.818,0.063,0.879,0.079,0.036,6.788,0.612,7.298
103,successful,success,102,0.873,0.878,0.845,0.911,0.845,0.065,0.881,2.054,0.099,6.658,0.614,7.376
103,successful,success,103,0.866,0.886,0.845,0.894,0.845,0.048,0.890,1.841,0.140,6.480,0.601,7.215
103,successful,success,104,0.851,0.911,0.882,0.895,0.882,0.014,0.901,1.577,0.098,6.483,0.598,7.176
103,successful,success,105,0.829,0.900,0.876,0.862,0.862,0.015,0.912,2.068,0.177,6.307,0.614,7.509
103,successful,success,106,0.817,0.896,0.885,0.843,0.843,0.042,0.927,2.148,0.102,6.243,0.606,7.393
103,successful,success,107,0.844,0.887,0.867,0.865,0.865,0.002,0.920,1.888,0.197,6.198,0.605,7.406
103,successful,success,108,0.829,0.900,0.880,0.853,0.853,0.027,0.902,1.992,0.282,6.100,0.594,7.186
103,successful,success,109,0.793,0.916,0.900,0.849,0.849,0.051,0.916,2.117,0.288,6.097,0.594,7.227
103,successful,success,110,0.763,0.906,0.908,0.819,0.819,0.089,0.892,1.658,0.216,6.293,0.594,7.137
103,successful,success,111,0.765,0.916,0.925,0.842,0.842,0.084,0.907,1.557,0.217,6.274,0.602,7.316
103,successful,success,112,0.749,0.913,0.926,0.871,0.871,0.055,0.897,1.614,0.239,6.227,0.602,7.311
103,successful,success,113,0.783,0.887,0.927,0.912,0.912,0.015,0.877,1.927,0.071,6.120,0.589,7.093
103,successful,success,114,0.811,0.874,0.918,0.913,0.913,0.005,0.871,0.559,0.056,6.114,0.583,6.969
103,successful,success,115,0.822,0.855,0.908,0.891,0.891,0.017,0.890,0.783,0.141,6.546,0.608,7.328
103,successful,success,116,0.833,0.873,0.887,0.867,0.867,0.020,0.874,0.283,0.152,6.726,0.611,7.282
103,successful,success,117,0.814,0.810,0.887,0.831,0.831,0.056,0.890,0.350,0.109,6.738,0.609,7.260
103,successful,success,118,0.839,0.785,0.882,0.846,0.846,0.036,0.867,2.883,0.094,6.732,0.593,6.947
103,successful,success,119,0.856,0.802,0.888,0.832,0.832,0.056,0.847,2.902,0.255,6.643,0.590,6.870
103,successful,success,120,0.842,0.805,0.857,0.819,0.819,0.038,0.863,2.887,0.259,6.747,0.587,6.828
104,unsuccessful,flat,0,0.079,0.129,0.000,0.000,0.000,0.000,0.000,3.017,0.083,2.425,0.164,1.152
104,unsuccessful,flat,1,0.087,0.160,0.031,0.033,0.031,0.002,0.028,0.719,0.046,2.804,0.207,1.566
104,unsuccessful,flat,2,0.097,0.151,0.051,0.057,0.051,0.006,0.041,0.543,0.209,3.201,0.238,1.838
104,unsuccessful,flat,3,0.111,0.141,0.055,0.073,0.055,0.017,0.070,0.542,0.281,3.510,0.270,2.167
104,unsuccessful,flat,4,0.136,0.161,0.076,0.089,0.076,0.013,0.077,0.498,0.354,3.807,0.304,2.515
104,unsuccessful,flat,5,0.117,0.173,0.074,0.085,0.074,0.011,0.068,0.538,0.212,4.235,0.332,2.734
104,unsuccessful,flat,6,0.134,0.200,0.077,0.091,0.077,0.015,0.087,0.918,0.291,4.385,0.353,2.987
104,unsuccessful,flat,7,0.136,0.224,0.086,0.109,0.086,0.023,0.093,0.683,0.265,4.894,0.389,3.307
104,unsuccessful,flat,8,0.155,0.199,0.114,0.097,0.097,0.017,0.106,0.594,0.321,5.250,0.403,3.414
104,unsuccessful,flat,9,0.145,0.206,0.119,0.078,0.078,0.040,0.128,0.746,0.330,5.504,0.422,3.635
104,unsuccessful,flat,10,0.153,0.207,0.113,0.099,0.099,0.015,0.143,0.857,0.319,5.893,0.443,3.822
104,unsuccessful,flat,11,0.163,0.226,0.144,0.110,0.110,0.034,0.146,0.873,0.287,6.136,0.453,3.902
104,unsuccessful,flat,12,0.159,0.225,0.098,0.095,0.095,0.003,0.122,0.589,0.137,6.140,0.458,3.932
104,unsuccessful,flat,13,0.203,0.233,0.086,0.113,0.086,0.027,0.100,0.884,0.168,6.071,0.459,3.929
104,unsuccessful,flat,14,0.204,0.199,0.098,0.117,0.098,0.019,0.135,0.812,0.035,6.034,0.447,3.824
104,unsuccessful,flat,15,0.225,0.219,0.091,0.122,0.091,0.031,0.126,0.754,0.116,6.376,0.466,3.990
104,unsuccessful,flat,16,0.223,0.237,0.121,0.137,0.121,0.016,0.124,1.198,0.224,6.537,0.472,4.033
104,unsuccessful,flat,17,0.231,0.268,0.147,0.156,0.147,0.009,0.138,0.972,0.202,6.598,0.482,4.174
104,unsuccessful,flat,18,0.244,0.319,0.183,0.162,0.162,0.021,0.175,0.698,0.058,6.718,0.492,4.336
104,unsuccessful,flat,19,0.271,0.354,0.189,0.179,0.179,0.011,0.193,0.900,0.127,6.735,0.499,4.450
104,unsuccessful,flat,20,0.310,0.458,0.183,0.154,0.154,0.029,0.264,0.753,0.179,6.913,0.515,4.730
104,unsuccessful,flat,21,0.268,0.518,0.221,0.185,0.185,0.036,0.283,1.207,0.076,7.134,0.523,4.827
104,unsuccessful,flat,22,0.299,0.570,0.246,0.187,0.187,0.059,0.292,1.840,0.007,7.074,0.527,4.893
104,unsuccessful,flat,23,0.329,0.583,0.198,0.177,0.177,0.022,0.366,2.942,0.155,7.031,0.515,4.842
104,unsuccessful,flat,24,0.293,0.520,0.209,0.179,0.179,0.030,0.381,2.975,0.180,7.121,0.517,4.885
104,unsuccessful,flat,25,0.335,0.486,0.196,0.198,0.196,0.002,0.376,0.185,0.213,7.142,0.512,4.791
104,unsuccessful,flat,26,0.377,0.520,0.184,0.165,0.165,0.018,0.404,0.314,0.356,7.010,0.519,4.945
104,unsuccessful,flat,27,0.387,0.555,0.243,0.212,0.212,0.032,0.436,0.400,0.320,7.057,0.522,5.010
104,unsuccessful,flat,28,0.393,0.531,0.255,0.212,0.212,0.043,0.469,0.402,0.269,7.206,0.522,5.021
104,unsuccessful,flat,29,0.360,0.549,0.243,0.189,0.189,0.054,0.504,0.391,0.343,7.155,0.520,5.072
104,unsuccessful,flat,30,0.326,0.541,0.255,0.154,0.154,0.101,0.489,3.100,0.207,7.216,0.523,5.077
104,unsuccessful,flat,31,0.343,0.495,0.265,0.171,0.171,0.094,0.461,3.090,0.316,7.168,0.517,4.955
104,unsuccessful,flat,32,0.348,0.486,0.255,0.163,0.163,0.091,0.549,2.981,0.345,6.935,0.508,4.993
104,unsuccessful,flat,33,0.381,0.548,0.227,0.156,0.156,0.071,0.552,2.971,0.384,7.033,0.516,5.082
104,unsuccessful,flat,34,0.423,0.514,0.247,0.166,0.166,0.080,0.529,2.848,0.370,7.113,0.521,5.083
104,unsuccessful,flat,35,0.455,0.522,0.261,0.142,0.142,0.119,0.548,2.605,0.365,7.157,0.527,5.219
104,unsuccessful,flat,36,0.505,0.590,0.217,0.104,0.104,0.113,0.511,2.289,0.241,7.019,0.533,5.272
104,unsuccessful,flat,37,0.500,0.583,0.218,0.095,0.095,0.123,0.501,0.603,0.029,6.938,0.530,5.246
104,unsuccessful,flat,38,0.508,0.594,0.179,0.077,0.077,0.103,0.425,0.418,0.045,6.752,0.536,5.232
104,unsuccessful,flat,39,0.585,0.657,0.171,0.075,0.075,0.095,0.444,0.497,0.286,6.538,0.539,5.387
104,unsuccessful,flat,40,0.593,0.636,0.180,0.092,0.092,0.088,0.444,0.498,0.260,6.491,0.532,5.291
104,unsuccessful,flat,41,0.638,0.689,0.163,0.119,0.119,0.044,0.393,0.547,0.170,6.743,0.546,5.362
104,unsuccessful,flat,42,0.647,0.726,0.168,0.124,0.124,0.044,0.397,0.419,0.133,6.709,0.549,5.435
104,unsuccessful,flat,43,0.621,0.740,0.180,0.141,0.141,0.039,0.448,2.942,0.144,6.786,0.537,5.299
