initial_comb_tilt,vertical_comb_benefit,vertical_comb_modifier,seed,outcome,reached_gravity,retained_vertical,collapsed,recovered_from_collapse,gravity_reach_generation,partial_transposition_generation,directional_reach_generation,vertical_reach_generation,vertical_loss_generation,last_below_vertical_generation,vertical_below_generations,recovered_vertical_after_loss,tilt_below_half_generation,tilt_below_quarter_generation,min_success,min_success_generation,final_success,final_payoff,final_comb_tilt,final_min_transposition,final_transposition_gap,tilt_at_gravity_reach,success_at_gravity_reach,gap_at_gravity_reach,max_min_transposition_while_vertical,max_min_transposition_while_vertical_generation,tilt_at_max_min_transposition_while_vertical,success_at_max_min_transposition_while_vertical,gravity_before_vertical_loss
1.000,0.150,linear,108,success,true,true,false,false,23,14,14,0,9,13,5,true,not_reached,not_reached,0.024,8,0.196,0.878,0.882,0.898,0.008,0.850,0.133,0.004,0.920,92,0.845,0.182,false
1.000,0.150,linear,109,flat,false,false,false,false,not_reached,17,9,0,22,120,99,false,25,30,0.024,0,0.192,0.655,0.104,0.288,0.061,not_reached,not_reached,not_reached,0.284,21,0.808,0.145,false
1.000,0.150,linear,110,success,true,true,false,false,40,36,34,0,not_reached,not_reached,0,false,not_reached,not_reached,0.021,13,0.195,0.802,0.895,0.884,0.008,0.910,0.151,0.082,0.924,72,0.861,0.181,true
1.000,0.200,linear,101,flat_recovered_collapse,false,false,true,true,not_reached,not_reached,16,0,27,120,94,false,30,34,0.015,8,0.201,0.791,0.116,0.180,0.099,not_reached,not_reached,not_reached,0.167,10,0.886,0.017,false
1.000,0.200,linear,102,flat,false,false,false,false,not_reached,63,12,0,6,120,114,false,21,30,0.024,1,0.198,0.813,0.163,0.218,0.018,not_reached,not_reached,not_reached,0.096,7,0.812,0.057,false
1.000,0.200,linear,103,flat,false,false,false,false,not_reached,78,12,0,18,120,99,false,25,33,0.028,0,0.199,0.761,0.109,0.128,0.066,not_reached,not_reached,not_reached,0.205,12,0.810,0.072,false
1.000,0.200,linear,104,flat,false,false,false,false,not_reached,96,11,0,15,120,106,false,18,23,0.025,0,0.184,0.617,0.163,0.234,0.010,not_reached,not_reached,not_reached,0.110,6,0.908,0.061,false
1.000,0.200,linear,105,flat,false,false,false,false,not_reached,13,8,0,29,120,92,false,32,36,0.026,0,0.202,0.819,0.195,0.168,0.045,not_reached,not_reached,not_reached,0.260,14,0.907,0.085,false
1.000,0.200,linear,106,flat,false,false,false,false,not_reached,56,14,0,24,120,97,false,26,32,0.026,2,0.199,0.777,0.152,0.141,0.047,not_reached,not_reached,not_reached,0.164,18,0.942,0.118,false
1.000,0.200,linear,107,flat,false,false,false,false,not_reached,24,31,0,20,120,101,false,35,42,0.024,1,0.203,0.795,0.160,0.249,0.058,not_reached,not_reached,not_reached,0.139,12,0.947,0.049,false
1.000,0.200,linear,108,flat,false,false,false,false,not_reached,79,8,0,15,120,106,false,20,30,0.026,0,0.192,0.682,0.222,0.161,0.016,not_reached,not_reached,not_reached,0.148,7,0.901,0.063,false
