candidate,source,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation
trial_196,trial_196,8,0.180,12,1.000,0.540,7.500,0.030,0.080,0.900
trial_318,trial_318,7,0.220,14,1.000,0.580,7.500,0.020,0.080,0.900
trial_45,trial_45,9,0.220,10,1.000,0.460,7.000,0.045,0.100,1.000
trial_193,trial_193,8,0.180,12,1.000,0.520,7.500,0.030,0.080,0.900
trial_278,trial_278,6,0.210,13,1.000,0.600,8.000,0.025,0.090,0.800
trial_461,trial_461,9,0.190,16,1.000,0.560,7.500,0.035,0.100,1.000
trial_173,trial_173,8,0.200,13,1.000,0.560,8.000,0.025,0.080,0.900
trial_364,trial_364,8,0.230,11,1.000,0.560,7.000,0.025,0.090,0.900
trial_239,trial_239,8,0.190,11,1.000,0.560,7.500,0.020,0.080,0.900
trial_393,trial_393,10,0.180,15,1.000,0.580,7.500,0.040,0.070,0.900
trial_274,trial_274,8,0.210,13,1.000,0.600,8.500,0.025,0.090,0.800
trial_432,trial_432,8,0.220,14,1.000,0.540,8.000,0.020,0.080,0.900
trial_164,trial_164,7,0.210,13,1.000,0.560,8.000,0.025,0.090,0.900
trial_453,trial_453,8,0.190,13,1.000,0.560,8.500,0.030,0.100,0.900
trial_424,trial_424,8,0.220,10,1.000,0.540,8.000,0.020,0.090,0.900
trial_175,trial_175,8,0.190,13,1.000,0.560,7.500,0.025,0.080,0.900
trial_176,trial_176,8,0.190,12,1.000,0.560,7.500,0.025,0.080,0.900
trial_237,trial_237,8,0.230,14,1.000,0.560,7.500,0.020,0.080,0.900
trial_155,trial_155,8,0.210,13,1.000,0.560,8.000,0.020,0.090,0.900
trial_169,trial_169,8,0.190,13,1.000,0.560,8.000,0.025,0.080,0.900
