group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
comparison,successful,57,5,0.616,0.415,0.319,0.334,0.305,0.042,0.661,0.505,5.133
comparison,successful,58,5,0.640,0.440,0.330,0.336,0.313,0.041,0.646,0.507,5.167
comparison,successful,59,5,0.616,0.462,0.316,0.319,0.289,0.056,0.626,0.511,5.178
comparison,successful,60,5,0.610,0.492,0.337,0.325,0.316,0.030,0.639,0.514,5.274
comparison,successful,61,5,0.602,0.481,0.326,0.299,0.297,0.031,0.653,0.510,5.216
comparison,successful,62,5,0.620,0.504,0.358,0.324,0.323,0.036,0.634,0.517,5.270
comparison,successful,63,5,0.611,0.508,0.357,0.319,0.318,0.039,0.639,0.517,5.279
comparison,successful,64,5,0.611,0.522,0.341,0.303,0.303,0.039,0.625,0.518,5.308
comparison,successful,65,5,0.606,0.517,0.357,0.323,0.321,0.037,0.621,0.512,5.210
comparison,successful,66,5,0.623,0.528,0.372,0.347,0.343,0.033,0.635,0.520,5.335
comparison,successful,67,5,0.628,0.538,0.374,0.341,0.336,0.043,0.635,0.525,5.401
comparison,successful,68,5,0.607,0.532,0.389,0.363,0.349,0.054,0.638,0.528,5.427
comparison,successful,69,5,0.612,0.543,0.374,0.347,0.340,0.040,0.654,0.521,5.381
comparison,successful,70,5,0.630,0.554,0.417,0.383,0.374,0.053,0.669,0.520,5.431
comparison,successful,71,5,0.645,0.577,0.444,0.405,0.401,0.047,0.684,0.521,5.482
comparison,successful,72,5,0.659,0.568,0.470,0.433,0.426,0.051,0.689,0.518,5.435
comparison,successful,73,5,0.706,0.613,0.493,0.455,0.449,0.050,0.699,0.528,5.647
comparison,successful,74,5,0.714,0.649,0.528,0.497,0.491,0.043,0.728,0.536,5.833
comparison,successful,75,5,0.726,0.682,0.532,0.505,0.500,0.037,0.720,0.538,5.828
comparison,successful,76,5,0.741,0.698,0.599,0.577,0.567,0.042,0.751,0.550,6.066
comparison,successful,77,5,0.752,0.709,0.591,0.582,0.565,0.043,0.745,0.550,6.020
comparison,successful,78,5,0.756,0.701,0.571,0.565,0.546,0.043,0.731,0.555,6.033
comparison,successful,79,5,0.773,0.725,0.607,0.610,0.587,0.044,0.755,0.562,6.216
comparison,successful,80,5,0.766,0.734,0.673,0.652,0.641,0.043,0.760,0.564,6.236
comparison,successful,81,5,0.776,0.729,0.697,0.676,0.665,0.043,0.768,0.570,6.365
comparison,successful,82,5,0.768,0.744,0.739,0.742,0.723,0.035,0.797,0.579,6.555
comparison,successful,83,5,0.768,0.719,0.763,0.780,0.756,0.032,0.823,0.580,6.607
comparison,successful,84,5,0.752,0.728,0.777,0.788,0.770,0.024,0.835,0.585,6.701
comparison,successful,85,5,0.764,0.752,0.804,0.810,0.800,0.015,0.864,0.589,6.831
comparison,successful,86,5,0.759,0.756,0.820,0.819,0.809,0.021,0.859,0.589,6.837
comparison,successful,87,5,0.762,0.782,0.827,0.834,0.823,0.014,0.843,0.589,6.829
comparison,successful,88,5,0.762,0.787,0.822,0.833,0.819,0.017,0.853,0.594,6.927
comparison,successful,89,5,0.763,0.802,0.817,0.827,0.810,0.023,0.859,0.590,6.907
comparison,successful,90,5,0.756,0.816,0.830,0.843,0.824,0.024,0.856,0.591,6.937
comparison,successful,91,5,0.763,0.828,0.826,0.835,0.820,0.021,0.859,0.593,6.967
comparison,successful,92,5,0.741,0.842,0.819,0.832,0.814,0.024,0.855,0.587,6.874
comparison,successful,93,5,0.737,0.825,0.826,0.831,0.817,0.023,0.868,0.586,6.866
comparison,successful,94,5,0.730,0.827,0.832,0.834,0.817,0.030,0.855,0.588,6.891
comparison,successful,95,5,0.737,0.830,0.840,0.831,0.821,0.029,0.846,0.581,6.760
comparison,successful,96,5,0.742,0.816,0.841,0.833,0.822,0.029,0.850,0.576,6.704
comparison,successful,97,5,0.724,0.805,0.848,0.830,0.823,0.032,0.841,0.570,6.607
comparison,successful,98,5,0.736,0.798,0.838,0.813,0.806,0.039,0.845,0.572,6.612
comparison,successful,99,5,0.733,0.804,0.836,0.822,0.811,0.035,0.861,0.574,6.701
comparison,successful,100,5,0.752,0.804,0.838,0.830,0.813,0.041,0.870,0.578,6.751
comparison,successful,101,5,0.737,0.818,0.838,0.830,0.811,0.046,0.863,0.573,6.657
comparison,successful,102,5,0.740,0.800,0.839,0.826,0.807,0.051,0.865,0.576,6.720
comparison,successful,103,5,0.740,0.823,0.846,0.844,0.825,0.041,0.861,0.572,6.669
comparison,successful,104,5,0.749,0.826,0.857,0.857,0.842,0.030,0.863,0.575,6.725
comparison,successful,105,5,0.751,0.829,0.852,0.838,0.828,0.035,0.860,0.579,6.769
comparison,successful,106,5,0.742,0.829,0.866,0.851,0.840,0.036,0.859,0.579,6.753
comparison,successful,107,5,0.739,0.823,0.866,0.854,0.847,0.026,0.865,0.579,6.784
comparison,successful,108,5,0.751,0.818,0.869,0.861,0.850,0.030,0.862,0.582,6.824
comparison,successful,109,5,0.728,0.828,0.873,0.872,0.856,0.034,0.858,0.579,6.766
comparison,successful,110,5,0.715,0.836,0.873,0.865,0.845,0.047,0.852,0.582,6.791
comparison,successful,111,5,0.711,0.845,0.873,0.869,0.851,0.039,0.869,0.584,6.866
comparison,successful,112,5,0.701,0.851,0.864,0.873,0.852,0.033,0.866,0.585,6.885
comparison,successful,113,5,0.710,0.840,0.873,0.885,0.866,0.026,0.865,0.584,6.870
comparison,successful,114,5,0.713,0.854,0.864,0.886,0.861,0.027,0.870,0.583,6.868
comparison,successful,115,5,0.724,0.838,0.864,0.890,0.861,0.033,0.868,0.586,6.893
comparison,successful,116,5,0.701,0.852,0.862,0.887,0.858,0.032,0.868,0.589,6.921
comparison,successful,117,5,0.708,0.829,0.869,0.881,0.858,0.035,0.869,0.596,7.015
comparison,successful,118,5,0.709,0.841,0.855,0.873,0.848,0.032,0.881,0.591,6.967
comparison,successful,119,5,0.695,0.829,0.850,0.862,0.839,0.034,0.879,0.585,6.859
comparison,successful,120,5,0.702,0.822,0.837,0.861,0.829,0.040,0.884,0.585,6.857
comparison,unsuccessful,0,20,0.075,0.122,0.000,0.000,0.000,0.000,0.000,0.160,1.107
comparison,unsuccessful,1,20,0.084,0.129,0.027,0.027,0.025,0.003,0.028,0.198,1.476
comparison,unsuccessful,2,20,0.092,0.136,0.044,0.044,0.041,0.007,0.047,0.236,1.834
comparison,unsuccessful,3,20,0.102,0.147,0.061,0.063,0.057,0.010,0.061,0.272,2.179
comparison,unsuccessful,4,20,0.113,0.154,0.075,0.077,0.071,0.010,0.075,0.306,2.515
comparison,unsuccessful,5,20,0.125,0.165,0.087,0.093,0.083,0.014,0.086,0.332,2.759
comparison,unsuccessful,6,20,0.136,0.187,0.096,0.100,0.091,0.015,0.099,0.358,3.023
comparison,unsuccessful,7,20,0.146,0.195,0.108,0.108,0.097,0.022,0.106,0.376,3.205
comparison,unsuccessful,8,20,0.154,0.199,0.118,0.114,0.105,0.023,0.122,0.394,3.379
comparison,unsuccessful,9,20,0.163,0.213,0.130,0.120,0.113,0.024,0.136,0.408,3.523
comparison,unsuccessful,10,20,0.174,0.228,0.141,0.126,0.122,0.024,0.142,0.421,3.645
comparison,unsuccessful,11,20,0.182,0.241,0.149,0.134,0.129,0.026,0.150,0.432,3.762
comparison,unsuccessful,12,20,0.195,0.258,0.148,0.130,0.125,0.029,0.152,0.442,3.861
comparison,unsuccessful,13,20,0.203,0.274,0.156,0.140,0.130,0.035,0.169,0.451,3.967
comparison,unsuccessful,14,20,0.222,0.289,0.171,0.155,0.143,0.039,0.180,0.461,4.083
comparison,unsuccessful,15,20,0.244,0.310,0.174,0.165,0.150,0.039,0.194,0.468,4.157
comparison,unsuccessful,16,20,0.256,0.321,0.179,0.175,0.161,0.032,0.209,0.473,4.223
comparison,unsuccessful,17,20,0.268,0.338,0.193,0.185,0.173,0.030,0.220,0.479,4.305
comparison,unsuccessful,18,20,0.288,0.373,0.197,0.182,0.169,0.041,0.237,0.487,4.419
comparison,unsuccessful,19,20,0.298,0.387,0.197,0.182,0.169,0.040,0.250,0.492,4.482
comparison,unsuccessful,20,20,0.317,0.403,0.199,0.188,0.170,0.047,0.261,0.497,4.550
comparison,unsuccessful,21,20,0.323,0.426,0.211,0.190,0.170,0.060,0.257,0.500,4.590
comparison,unsuccessful,22,20,0.345,0.449,0.214,0.196,0.175,0.060,0.258,0.505,4.640
comparison,unsuccessful,23,20,0.365,0.476,0.209,0.196,0.174,0.056,0.266,0.510,4.729
