number,state,value,seed,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,stable,collapsed,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition
2,COMPLETE,0.158,103,3,0.230,13,0.900,0.330,6.500,0.030,0.080,0.100,0.600,false,false,0.145,0.334,1.736,0.116,0.219,0.149,0.149
2,COMPLETE,0.158,104,3,0.230,13,0.900,0.330,6.500,0.030,0.080,0.100,0.600,false,false,0.164,0.337,1.605,0.131,0.157,0.181,0.157
3,COMPLETE,0.157,100,3,0.250,15,1.100,0.280,7.000,0.045,0.070,0.090,0.400,false,false,0.141,0.363,1.666,0.113,0.230,0.351,0.230
3,COMPLETE,0.157,101,3,0.250,15,1.100,0.280,7.000,0.045,0.070,0.090,0.400,false,false,0.162,0.367,1.823,0.129,0.237,0.325,0.237
3,COMPLETE,0.157,102,3,0.250,15,1.100,0.280,7.000,0.045,0.070,0.090,0.400,false,false,0.147,0.371,1.841,0.117,0.106,0.245,0.106
3,COMPLETE,0.157,103,3,0.250,15,1.100,0.280,7.000,0.045,0.070,0.090,0.400,false,false,0.179,0.359,1.740,0.143,0.131,0.180,0.131
3,COMPLETE,0.157,104,3,0.250,15,1.100,0.280,7.000,0.045,0.070,0.090,0.400,false,false,0.155,0.397,2.118,0.124,0.104,0.230,0.104
4,COMPLETE,0.195,100,3,0.210,8,0.900,0.270,7.000,0.020,0.050,0.080,0.700,false,false,0.180,0.310,1.854,0.144,0.105,0.130,0.105
4,COMPLETE,0.195,101,3,0.210,8,0.900,0.270,7.000,0.020,0.050,0.080,0.700,false,false,0.242,0.307,1.891,0.194,0.184,0.151,0.151
4,COMPLETE,0.195,102,3,0.210,8,0.900,0.270,7.000,0.020,0.050,0.080,0.700,false,false,0.224,0.298,1.792,0.179,0.130,0.185,0.130
4,COMPLETE,0.195,103,3,0.210,8,0.900,0.270,7.000,0.020,0.050,0.080,0.700,false,false,0.194,0.322,2.052,0.155,0.133,0.125,0.125
4,COMPLETE,0.195,104,3,0.210,8,0.900,0.270,7.000,0.020,0.050,0.080,0.700,false,false,0.135,0.314,1.905,0.108,0.217,0.232,0.217
5,COMPLETE,0.261,100,7,0.310,16,1.000,0.190,7.000,0.010,0.080,0.080,0.500,false,false,0.311,0.601,6.834,0.249,0.296,0.246,0.246
5,COMPLETE,0.261,101,7,0.310,16,1.000,0.190,7.000,0.010,0.080,0.080,0.500,false,false,0.327,0.595,6.791,0.261,0.253,0.166,0.166
5,COMPLETE,0.261,102,7,0.310,16,1.000,0.190,7.000,0.010,0.080,0.080,0.500,false,false,0.314,0.550,6.228,0.251,0.320,0.293,0.293
5,COMPLETE,0.261,103,7,0.310,16,1.000,0.190,7.000,0.010,0.080,0.080,0.500,false,false,0.165,0.621,6.944,0.132,0.254,0.192,0.192
5,COMPLETE,0.261,104,7,0.310,16,1.000,0.190,7.000,0.010,0.080,0.080,0.500,false,false,0.188,0.624,7.009,0.150,0.138,0.207,0.138
6,COMPLETE,0.245,100,4,0.280,9,1.300,0.160,7.000,0.035,0.060,0.090,0.900,false,false,0.172,0.473,5.122,0.137,0.147,0.135,0.135
6,COMPLETE,0.245,101,4,0.280,9,1.300,0.160,7.000,0.035,0.060,0.090,0.900,false,false,0.280,0.459,4.937,0.224,0.158,0.182,0.158
6,COMPLETE,0.245,102,4,0.280,9,1.300,0.160,7.000,0.035,0.060,0.090,0.900,false,false,0.258,0.468,5.018,0.206,0.137,0.168,0.137
6,COMPLETE,0.245,103,4,0.280,9,1.300,0.160,7.000,0.035,0.060,0.090,0.900,false,false,0.163,0.446,4.762,0.131,0.192,0.201,0.192
6,COMPLETE,0.245,104,4,0.280,9,1.300,0.160,7.000,0.035,0.060,0.090,0.900,false,false,0.353,0.451,4.826,0.283,0.185,0.209,0.185
7,COMPLETE,0.221,100,5,0.380,11,1.100,0.300,8.500,0.045,0.040,0.110,0.500,false,false,0.183,0.610,5.465,0.222,0.143,0.091,0.091
7,COMPLETE,0.221,101,5,0.380,11,1.100,0.300,8.500,0.045,0.040,0.110,0.500,false,false,0.179,0.603,5.499,0.261,0.089,0.129,0.089
7,COMPLETE,0.221,102,5,0.380,11,1.100,0.300,8.500,0.045,0.040,0.110,0.500,false,false,0.256,0.618,5.521,0.205,0.188,0.251,0.188
7,COMPLETE,0.221,103,5,0.380,11,1.100,0.300,8.500,0.045,0.040,0.110,0.500,false,false,0.237,0.607,5.511,0.190,0.138,0.261,0.138
