variant,condition,food_site_count,food_site_radius,seeds,mean_final_recruitment_advantage,median_final_recruitment_advantage,mean_tail_recruitment_advantage,median_tail_recruitment_advantage,useful_fraction,mean_final_directional_bias,mean_final_receiver_attention,mean_final_dance_propensity,mean_final_success,mean_final_payoff,mean_final_floor_fraction,mean_tail_floor_fraction,mean_tail_dance_follow_share
tournament,c8_r600m,8,600.000000,50,0.208922,0.207973,0.209923,0.209945,1,0.869959,0.923041,0.697020,0.501433,4.834883,0.000000,0.000000,0.902977
tournament,c12_r15m,12,15.000000,50,0.000000,0.000000,0.000000,0.000000,0,0.371641,0.399825,0.615462,0.000123,0.001000,1.000000,1.000000,0.032678
tournament,c12_r37.5m,12,37.500000,50,0.031706,0.000000,0.017322,0.008795,0.400000,0.379272,0.387731,0.692445,0.000336,0.001000,1.000000,1.000000,0.354552
tournament,c12_r75m,12,75.000000,50,0.026595,0.023745,0.041222,0.037438,0.760000,0.368729,0.416038,0.610119,0.000735,0.001047,0.999333,0.999367,0.399972
tournament,c12_r150m,12,150.000000,50,0.108234,0.107164,0.108172,0.107430,1,0.874681,0.893111,0.624711,0.163862,0.695054,0.006000,0.007600,0.878406
tournament,c12_r300m,12,300.000000,50,0.158885,0.157527,0.159054,0.158523,1,0.879812,0.909027,0.617159,0.339697,2.850576,0.000000,0.000000,0.895584
tournament,c12_r600m,12,600.000000,50,0.168367,0.168253,0.168323,0.168440,1,0.878421,0.916110,0.627982,0.611876,6.217719,0.000000,0.000000,0.900293
tournament,c16_r15m,16,15.000000,50,0.000000,0.000000,0.002000,0.000000,0.040000,0.375050,0.366549,0.622504,0.000153,0.001000,1.000000,1.000000,0.035140
tournament,c16_r37.5m,16,37.500000,50,0.012146,0.000000,0.015639,0.012798,0.440000,0.393084,0.403008,0.598931,0.000412,0.001000,1.000000,1.000000,0.360755
tournament,c16_r75m,16,75.000000,50,0.045595,0.037448,0.040640,0.039450,0.880000,0.379399,0.399903,0.616284,0.001155,0.001047,0.999333,0.998900,0.378347
tournament,c16_r150m,16,150.000000,50,0.099016,0.096928,0.101277,0.100554,1,0.878058,0.893200,0.624625,0.209357,1.240738,0.000000,0.000033,0.876176
tournament,c16_r300m,16,300.000000,50,0.144532,0.142146,0.143110,0.142914,1,0.877348,0.902593,0.611206,0.407139,3.686691,0.000000,0.000000,0.889449
tournament,c16_r600m,16,600.000000,50,0.136170,0.137427,0.134289,0.134179,1,0.856703,0.911621,0.656234,0.691128,7.217458,0.000000,0.000000,0.896705
tournament,c24_r15m,24,15.000000,50,0.010000,0.000000,-0.001250,0.000000,0.020000,0.384220,0.352024,0.593177,0.000240,0.001000,1.000000,1.000000,0.035033
tournament,c24_r37.5m,24,37.500000,50,0.003524,0.000000,0.021683,0.017531,0.420000,0.370002,0.402197,0.618591,0.000609,0.001000,1.000000,1.000000,0.401416
tournament,c24_r75m,24,75.000000,50,0.063586,0.061833,0.060859,0.060152,1,0.844309,0.820826,0.650693,0.138696,0.393425,0.041000,0.041233,0.802159
tournament,c24_r150m,24,150.000000,50,0.089413,0.090523,0.090332,0.089774,1,0.875235,0.881110,0.569559,0.282898,2.146868,0.000000,0.000000,0.868682
tournament,c24_r300m,24,300.000000,50,0.116121,0.116709,0.117566,0.117223,1,0.879497,0.899963,0.618916,0.514191,5.020598,0.000000,0.000000,0.886519
tournament,c24_r600m,24,600.000000,50,0.086387,0.086445,0.086055,0.085363,1,0.829082,0.900813,0.610572,0.793954,8.529988,0.000000,0.000000,0.885400
