condition,sweep,food_site_count,food_site_radius,food_site_capacity,food_value,seed,generation,directional_bias,receiver_attention,search_limit,comb_tilt,success_rate,payoff,follower_success_rate,matched_searcher_success_rate,recruitment_advantage,dance_follow_share
hard,anchor,1,37.500000,6,1.000000,412,35,0.200729,0.167323,1906.129036,0.000000,0.001667,0.001000,0.046512,0.003802,0.042709,0.140523
hard,anchor,1,37.500000,6,1.000000,412,36,0.237210,0.167640,1933.003826,0.000000,0.002389,0.001000,0.033898,0.018809,0.015090,0.156085
hard,anchor,1,37.500000,6,1.000000,412,37,0.212888,0.184304,1958.969564,0.000000,0.001833,0.001000,0.000000,0.012552,-0.012552,0.208609
hard,anchor,1,37.500000,6,1.000000,412,38,0.192119,0.191412,2039.992362,0.000000,0.002472,0.001000,0.040816,0.013850,0.026966,0.213508
hard,anchor,1,37.500000,6,1.000000,412,39,0.198591,0.191750,2041.280308,0.000000,0.001944,0.001000,0.013889,0.010989,0.002900,0.208696
hard,anchor,1,37.500000,6,1.000000,412,40,0.186053,0.184480,2255.331142,0.000000,0.001889,0.001000,0.029851,0.011719,0.018132,0.207430
hard,anchor,1,37.500000,6,1.000000,412,41,0.178484,0.205284,1990.749104,0.000000,0.001778,0.001000,0.000000,0.025424,-0.025424,0.210702
hard,anchor,1,37.500000,6,1.000000,412,42,0.192540,0.200320,1908.266489,0.000000,0.002250,0.001000,0.015152,0.022222,-0.007071,0.173228
hard,anchor,1,37.500000,6,1.000000,412,43,0.224355,0.247793,1609.909899,0.000000,0.001694,0.001000,0.000000,0.006803,-0.006803,0.164773
hard,anchor,1,37.500000,6,1.000000,412,44,0.222394,0.297382,1761.076745,0.000000,0.001639,0.001000,0.048780,0.004167,0.044614,0.254658
hard,anchor,1,37.500000,6,1.000000,412,45,0.250796,0.304832,1619.017132,0.000000,0.001028,0.001000,0.000000,0.000000,0.000000,0.201058
hard,anchor,1,37.500000,6,1.000000,412,46,0.238128,0.323521,1311.714309,0.000000,0.001611,0.001000,0.037975,0.008811,0.029164,0.258170
hard,anchor,1,37.500000,6,1.000000,412,47,0.240909,0.331852,1315.440575,0.000000,0.001583,0.001000,0.043478,0.000000,0.043478,0.201166
hard,anchor,1,37.500000,6,1.000000,412,48,0.267156,0.323812,1145.529014,0.000000,0.001000,0.001000,0.039216,0.006098,0.033118,0.237209
hard,anchor,1,37.500000,6,1.000000,412,49,0.282558,0.368459,1094.403212,0.000000,0.000944,0.001000,0.029412,0.000000,0.029412,0.196532
hard,anchor,1,37.500000,6,1.000000,412,50,0.302581,0.404819,1068.617001,0.000000,0.000917,0.001000,0.000000,0.006369,-0.006369,0.142077
hard,anchor,1,37.500000,6,1.000000,412,51,0.322372,0.380219,1118.031216,0.000000,0.001139,0.001000,0.000000,0.021164,-0.021164,0.195745
