candidate,seed,stable,collapsed,score,progress,final_success,final_payoff,final_comb_tilt,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_dance_propensity
baseline,200,True,False,2.0,1.0,0.33083333333333337,4.850975809544478,0.8551151619166023,0.7886318232047825,0.7337525118856434,0.7337525118856434,0.7776842394032849
baseline,201,False,False,0.9615604810742413,0.9615604810742413,0.32325,4.600574915589747,0.7692483848593931,0.8203126165057354,0.8401661688197664,0.8203126165057354,0.36433056791831275
baseline,202,True,False,2.0,1.0,0.3228888888888889,4.676790248332497,0.8357463173368165,0.7139739882703956,0.6653171917206434,0.6653171917206434,0.5622330812279526
baseline,203,True,False,2.0,1.0,0.3476666666666667,5.057587433449883,0.8232503298508477,0.8099243077798887,0.8068457432968906,0.8068457432968906,0.6972504997652383
baseline,204,True,False,2.0,1.0,0.3308611111111111,4.881671322539183,0.8502095585492788,0.856651402634036,0.6866451577966433,0.6866451577966433,0.6047838458011362
baseline,205,True,False,2.0,1.0,0.3229722222222222,4.834141106010702,0.8865928151905524,0.8594808052748978,0.7066289826569034,0.7066289826569034,0.586793681848896
baseline,206,True,False,2.0,1.0,0.34361111111111114,5.038265868374206,0.8306548519749684,0.8411646701852356,0.7931590779216201,0.7931590779216201,0.5219412192825972
baseline,207,True,False,2.0,1.0,0.3181388888888889,4.6762537533770905,0.8474085748581568,0.8044760853918055,0.7551284666139136,0.7551284666139136,0.7513079595115646
baseline,208,True,False,2.0,1.0,0.33808333333333335,5.047705698235153,0.8986741091573863,0.7825633445339065,0.7906106830962689,0.7825633445339065,0.634233494940421
baseline,209,True,False,2.0,1.0,0.3362222222222222,5.06115011797459,0.8951447797017806,0.8369375756092772,0.8550762280978609,0.8369375756092772,0.44576964972573574
baseline,210,True,False,2.0,1.0,0.34975,5.258163579080852,0.8763204475335378,0.9007398736281205,0.8433531521796627,0.8433531521796627,0.5336467116462743
baseline,211,True,False,2.0,1.0,0.3134444444444444,4.591481788864939,0.8637548395777711,0.8621733896588301,0.8257484725260045,0.8257484725260045,0.5930361931336001
baseline,212,True,False,2.0,1.0,0.3226388888888889,4.8253187610365975,0.8775990001636998,0.8785892152453216,0.8465257925945611,0.8465257925945611,0.4692844666131559
baseline,213,True,False,2.0,1.0,0.30733333333333335,4.476695984901249,0.8303064494590249,0.7124630424537084,0.6195329452349743,0.6195329452349743,0.5355175681720795
baseline,214,True,False,2.0,1.0,0.3413333333333333,5.103393514035765,0.8937843831551682,0.8389024217830106,0.6837008912759942,0.6837008912759942,0.6795511277460565
baseline,215,True,False,2.0,1.0,0.31730555555555556,4.675650354672616,0.8752427467352296,0.7400694340569411,0.6542102723550866,0.6542102723550866,0.45512647086912944
baseline,216,True,False,2.0,1.0,0.34155555555555556,5.092297293416502,0.8854678213543752,0.8123241184568571,0.7032903708550748,0.7032903708550748,0.6310243801261565
baseline,217,True,False,2.0,1.0,0.30866666666666664,4.559452172722,0.889652441845456,0.8363923552165389,0.8729864794145038,0.8363923552165389,0.37605616472073744
baseline,218,True,False,2.0,1.0,0.3361388888888889,5.04769822696522,0.8885930613082037,0.8511387027085323,0.8071678082917776,0.8071678082917776,0.5936824986240404
baseline,219,True,False,2.0,1.0,0.33363888888888893,4.910029206643298,0.8601777331201518,0.8427692366244464,0.7381736115203132,0.7381736115203132,0.6033651389686926
baseline,220,True,False,2.0,1.0,0.32569444444444445,4.748463863702302,0.8253015479168359,0.7883778782817658,0.8404175313155221,0.7883778782817658,0.48230084465576634
baseline,221,True,False,2.0,1.0,0.28150000000000003,4.122572603183701,0.9039585256631786,0.8188592812125246,0.6579279122232273,0.6579279122232273,0.5620153783846835
baseline,222,True,False,2.0,1.0,0.32036111111111115,4.7481669278674445,0.8916917232701848,0.7872953483044063,0.6300205822136691,0.6300205822136691,0.6841855603366368
baseline,223,True,False,2.0,1.0,0.309,4.54298211563109,0.8869967740612901,0.7819670888954315,0.6922853275238336,0.6922853275238336,0.43015908437454464
baseline,224,True,False,2.0,1.0,0.3368055555555555,4.900073172653128,0.8122359576667099,0.8209844199674297,0.6167524643227689,0.6167524643227689,0.7222945607769449
baseline,225,True,False,2.0,1.0,0.3318333333333333,4.838336154664718,0.8237185654620396,0.810954392276103,0.7763651303431156,0.7763651303431156,0.6055989729396221
baseline,226,True,False,2.0,1.0,0.333,4.886131980226845,0.8492245131910275,0.7808986559761497,0.805635989537916,0.7808986559761497,0.5977805976901482
baseline,227,True,False,2.0,1.0,0.3179444444444445,4.669581701463893,0.8622733940211297,0.7680810710630992,0.5124659720382465,0.5124659720382465,0.2047798566148369
baseline,228,True,False,2.0,1.0,0.3115,4.482568791147878,0.8296997187441306,0.7551428198860783,0.757307091671236,0.7551428198860783,0.6689516105801725
baseline,229,False,False,0.47415994789527155,0.47415994789527155,0.2989722222222222,3.7366612251443505,0.535859461337762,0.25274354018066153,0.23707997394763577,0.23707997394763577,0.6740500063039504
baseline,230,False,False,0.9945269396373826,0.9945269396373826,0.2951388888888889,4.195977191109394,0.7956215517099061,0.7028396770457815,0.7267590602240339,0.7028396770457815,0.5962328367296873
baseline,231,True,False,2.0,1.0,0.33469444444444446,4.854426647756497,0.8129402705998731,0.8310155470112576,0.6249193178071123,0.6249193178071123,0.6817102406429323
baseline,232,True,False,2.0,1.0,0.2993611111111111,4.29907709755115,0.8417029157795332,0.8142034468988777,0.543771391654401,0.543771391654401,0.5991388886143165
baseline,233,False,False,0.9983536123589627,0.9983536123589627,0.3129722222222222,4.503509726118183,0.7986828898871702,0.8781432451621639,0.7464785737952057,0.7464785737952057,0.5123654568920831
baseline,234,True,False,2.0,1.0,0.358,5.375625504001245,0.8713034783987565,0.8719997368486447,0.8469267674139831,0.8469267674139831,0.3612489207524627
baseline,235,True,False,2.0,1.0,0.3406666666666667,5.060956802880497,0.8729392207502581,0.8576751096791074,0.6376723211793821,0.6376723211793821,0.4441399809619523
baseline,236,True,False,2.0,1.0,0.3303611111111111,4.913637383985478,0.8755365878036175,0.8155248402602459,0.7389334505173458,0.7389334505173458,0.41764900728333665
