number,state,value,food_site_count,food_site_radius,food_site_radius_log_sd,food_site_capacity,food_value,vertical_comb_benefit,food_site_min_distance,food_site_max_distance,foray_shape,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity,elapsed_seconds
686,COMPLETE,2.432,2,315.000,0.6,6,,0.600,750.0,3750.000,2.0,1.000000e-05,0.050,1.000,2,10,0,0.432,0.174,2.164,0.403,0.301,0.593,571.260
687,COMPLETE,0.220,2,315.000,0.6,2,,0.200,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,0,10,0,0.220,0.170,1.760,0.182,0.191,0.630,585.883
688,COMPLETE,0.231,2,315.000,0.6,6,,0.240,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,0,10,0,0.231,0.179,1.889,0.198,0.224,0.649,596.390
689,COMPLETE,0.215,2,315.000,0.6,11,,0.240,750.0,3750.000,2.0,1.000000e-05,0.050,1.000,0,10,0,0.215,0.180,1.880,0.173,0.180,0.620,605.841
690,COMPLETE,1.313,2,315.000,0.6,6,,0.600,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,1,10,0,0.313,0.171,2.062,0.358,0.189,0.637,584.603
691,COMPLETE,1.339,2,315.000,0.6,11,,0.600,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,1,10,0,0.339,0.168,2.000,0.340,0.208,0.490,588.709
692,COMPLETE,2.508,8,315.000,0.6,11,,0.240,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,2,10,0,0.508,0.440,5.446,0.468,0.343,0.626,1234.930
693,COMPLETE,5.797,8,315.000,0.6,11,,0.600,750.0,3750.000,2.0,1.000000e-05,0.050,1.000,5,10,0,0.797,0.411,6.721,0.782,0.573,0.513,1163.856
694,COMPLETE,1.339,2,315.000,0.6,11,,0.600,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,1,10,0,0.339,0.168,2.000,0.340,0.208,0.490,575.453
695,COMPLETE,0.259,2,315.000,0.6,11,,0.540,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,0,10,0,0.259,0.173,1.965,0.260,0.149,0.683,609.715
696,COMPLETE,1.339,2,315.000,0.6,11,,0.600,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,1,10,0,0.339,0.168,2.000,0.340,0.208,0.490,585.197
697,COMPLETE,1.349,8,315.000,0.6,5,,0.160,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,1,10,0,0.349,0.449,5.243,0.314,0.217,0.556,1256.614
698,COMPLETE,0.229,2,315.000,0.6,4,,0.240,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,0,10,0,0.229,0.174,1.826,0.192,0.164,0.677,597.045
699,COMPLETE,3.469,2,315.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,3,10,0,0.469,0.172,2.100,0.420,0.360,0.676,592.878
700,COMPLETE,0.259,2,315.000,0.6,11,,0.540,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,0,10,0,0.259,0.173,1.965,0.260,0.149,0.683,615.293
701,COMPLETE,0.229,2,315.000,0.6,4,,0.240,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,0,10,0,0.229,0.174,1.826,0.192,0.164,0.677,608.039
702,COMPLETE,3.469,2,315.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,3,10,0,0.469,0.172,2.100,0.420,0.360,0.676,595.597
703,COMPLETE,3.469,2,315.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,3,10,0,0.469,0.172,2.100,0.420,0.360,0.676,585.101
704,COMPLETE,3.536,2,315.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,3,10,0,0.536,0.167,2.066,0.495,0.388,0.634,575.275
705,COMPLETE,0.234,2,315.000,0.6,4,,0.560,750.0,3750.000,2.0,1.000000e-05,0.050,0.000,0,10,0,0.234,0.171,1.909,0.211,0.154,0.631,616.507
706,COMPLETE,1.352,2,315.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.050,0.000,1,10,0,0.352,0.171,1.986,0.324,0.243,0.732,594.606
707,COMPLETE,2.594,5,315.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,2,10,0,0.594,0.320,4.408,0.514,0.352,0.550,959.915
708,COMPLETE,0.227,2,315.000,0.6,4,,0.200,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,0,10,0,0.227,0.180,1.872,0.186,0.220,0.658,587.690
709,COMPLETE,2.348,5,315.000,0.6,4,,0.200,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,2,10,0,0.348,0.343,3.986,0.331,0.315,0.610,988.662
710,COMPLETE,0.210,5,315.000,0.6,4,,0.200,750.0,3750.000,2.0,1.500000e-05,0.050,0.700,0,10,0,0.210,0.341,3.732,0.186,0.187,0.620,1018.184
711,COMPLETE,0.268,2,315.000,0.6,4,,0.540,750.0,3750.000,2.0,1.500000e-05,0.050,0.700,0,10,0,0.268,0.169,1.756,0.259,0.164,0.654,601.409
712,COMPLETE,0.227,2,315.000,0.6,4,,0.200,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,0,10,0,0.227,0.180,1.872,0.186,0.220,0.658,591.444
713,COMPLETE,0.190,2,315.000,0.6,4,,0.240,750.0,3750.000,2.0,1.000000e-05,0.050,0.000,0,10,0,0.190,0.175,1.825,0.156,0.169,0.672,601.690
714,COMPLETE,0.227,2,315.000,0.6,4,,0.200,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,0,10,0,0.227,0.180,1.872,0.186,0.220,0.658,597.530
715,COMPLETE,1.368,5,315.000,0.6,5,,0.200,750.0,3750.000,2.0,1.000000e-05,0.070,0.700,1,10,0,0.368,0.328,3.787,0.312,0.261,0.626,1034.099
716,COMPLETE,5.643,5,315.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.050,0.700,5,10,0,0.643,0.330,4.672,0.607,0.406,0.563,940.037
717,COMPLETE,7.866,5,315.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.070,0.700,7,10,0,0.866,0.311,4.701,0.780,0.634,0.570,978.131
718,COMPLETE,7.835,5,315.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.070,0.700,7,10,0,0.835,0.315,4.858,0.775,0.615,0.672,997.170
719,COMPLETE,2.467,5,315.000,0.6,4,,0.200,750.0,3500.000,2.0,1.000000e-05,0.070,0.900,2,10,0,0.467,0.339,4.006,0.389,0.385,0.609,1050.697
720,COMPLETE,2.467,5,315.000,0.6,4,,0.200,750.0,3500.000,2.0,1.000000e-05,0.070,0.900,2,10,0,0.467,0.339,4.006,0.389,0.385,0.609,1027.198
721,COMPLETE,1.299,5,315.000,0.6,5,,0.200,750.0,5500.000,2.0,1.000000e-05,0.060,0.700,1,10,0,0.299,0.275,3.001,0.274,0.227,0.672,949.515
722,COMPLETE,2.373,5,315.000,0.6,4,,0.200,750.0,5500.000,2.0,1.000000e-05,0.060,0.700,2,10,0,0.373,0.286,3.150,0.313,0.306,0.623,939.457
723,COMPLETE,2.373,5,315.000,0.6,4,,0.200,750.0,5500.000,2.0,1.000000e-05,0.060,0.700,2,10,0,0.373,0.286,3.150,0.313,0.306,0.623,940.638
724,COMPLETE,2.373,5,315.000,0.6,4,,0.200,750.0,5500.000,2.0,1.000000e-05,0.060,0.700,2,10,0,0.373,0.286,3.150,0.313,0.306,0.623,926.624
725,COMPLETE,0.232,5,315.000,0.6,5,,0.100,750.0,5500.000,2.0,1.000000e-05,0.060,0.700,0,10,0,0.232,0.282,2.979,0.187,0.191,0.611,924.480
726,COMPLETE,2.510,5,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.060,0.000,2,10,0,0.510,0.320,4.486,0.578,0.275,0.571,986.727
727,COMPLETE,6.702,5,315.000,0.6,4,,0.500,750.0,5500.000,2.0,1.000000e-05,0.070,0.000,6,10,0,0.702,0.266,3.537,0.588,0.485,0.561,910.226
728,COMPLETE,6.702,5,315.000,0.6,4,,0.500,750.0,5500.000,2.0,1.000000e-05,0.070,0.000,6,10,0,0.702,0.266,3.537,0.588,0.485,0.561,919.266
729,COMPLETE,0.223,5,315.000,0.6,4,,0.200,750.0,3500.000,2.0,1.000000e-05,0.060,0.000,0,10,0,0.223,0.343,3.911,0.194,0.205,0.656,1042.569
730,COMPLETE,0.242,5,315.000,0.6,4,,0.200,750.0,3500.000,2.0,1.000000e-05,0.070,0.000,0,10,0,0.242,0.340,3.884,0.210,0.210,0.583,990.819
731,COMPLETE,0.223,5,315.000,0.6,4,,0.200,750.0,3500.000,2.0,1.000000e-05,0.060,0.000,0,10,0,0.223,0.343,3.911,0.194,0.205,0.656,1059.497
732,COMPLETE,0.329,5,315.000,0.6,4,,0.300,750.0,3500.000,2.0,1.000000e-05,0.060,0.000,0,10,0,0.329,0.344,4.076,0.278,0.222,0.648,1033.974
733,COMPLETE,4.748,5,315.000,0.6,4,,0.240,750.0,3500.000,2.0,1.000000e-05,0.110,0.000,4,10,0,0.748,0.303,3.786,0.614,0.535,0.494,979.877
734,COMPLETE,8.990,5,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,0.700,8,10,0,0.990,0.308,4.780,0.826,0.724,0.533,1010.241
735,COMPLETE,8.990,5,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,0.700,8,10,0,0.990,0.308,4.780,0.826,0.724,0.533,996.215
736,COMPLETE,2.874,8,315.000,0.6,4,,0.240,750.0,3500.000,2.0,1.000000e-05,0.110,0.700,2,10,0,0.874,0.411,5.382,0.710,0.643,0.608,1249.977
737,COMPLETE,8.990,5,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,0.700,8,10,0,0.990,0.308,4.780,0.826,0.724,0.533,992.770
738,COMPLETE,1.539,5,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.040,0.700,1,10,0,0.539,0.308,4.316,0.603,0.297,0.601,875.142
739,COMPLETE,6.986,8,315.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.986,0.410,6.580,0.805,0.742,0.557,1256.174
740,COMPLETE,6.983,8,315.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.983,0.411,6.453,0.807,0.771,0.502,1222.683
741,COMPLETE,5.962,8,330.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,5,10,0,0.962,0.440,6.931,0.796,0.733,0.551,1279.121
742,COMPLETE,7.996,5,315.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,7,10,0,0.996,0.304,4.712,0.835,0.798,0.584,997.253
743,COMPLETE,3.868,8,315.000,0.6,4,,0.240,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,3,10,0,0.868,0.412,5.382,0.710,0.665,0.551,1262.532
744,COMPLETE,6.983,8,315.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.983,0.411,6.453,0.807,0.771,0.502,1223.779
745,COMPLETE,6.967,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.967,0.411,6.467,0.809,0.716,0.460,1275.406
746,COMPLETE,6.983,8,315.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.983,0.411,6.453,0.807,0.771,0.502,1229.153
747,COMPLETE,6.967,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.967,0.411,6.467,0.809,0.716,0.460,1238.590
748,COMPLETE,6.967,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.967,0.411,6.467,0.809,0.716,0.460,1230.188
749,COMPLETE,7.970,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.500000e-05,0.110,1.000,7,10,0,0.970,0.419,6.461,0.809,0.769,0.495,1259.629
750,COMPLETE,6.976,8,315.000,0.6,4,,0.540,750.0,3500.000,2.0,1.500000e-05,0.110,1.000,6,10,0,0.976,0.421,6.616,0.803,0.760,0.542,1271.807
751,COMPLETE,6.967,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.967,0.411,6.467,0.809,0.716,0.460,1266.242
752,COMPLETE,6.967,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.967,0.411,6.467,0.809,0.716,0.460,1239.305
753,COMPLETE,6.990,7,330.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.990,0.401,6.324,0.819,0.747,0.511,1194.141
754,COMPLETE,5.955,8,315.000,0.6,4,,0.300,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,5,10,0,0.955,0.417,5.750,0.775,0.721,0.502,1267.154
755,COMPLETE,6.967,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.967,0.411,6.467,0.809,0.716,0.460,1255.522
756,COMPLETE,5.962,8,330.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,5,10,0,0.962,0.440,6.931,0.796,0.733,0.551,1291.582
757,COMPLETE,6.967,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.967,0.411,6.467,0.809,0.716,0.460,1244.472
758,COMPLETE,6.967,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.967,0.411,6.467,0.809,0.716,0.460,1236.251
759,COMPLETE,8.986,7,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.986,0.393,6.219,0.832,0.786,0.549,1172.789
760,COMPLETE,7.970,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.500000e-05,0.110,1.000,7,10,0,0.970,0.419,6.461,0.809,0.769,0.495,1263.665
761,COMPLETE,8.998,8,300.000,0.6,4,,0.500,750.0,3500.000,2.0,1.500000e-05,0.110,1.000,8,10,0,0.998,0.403,6.242,0.833,0.747,0.547,1246.760
762,COMPLETE,7.980,8,315.000,0.6,4,,0.340,750.0,3500.000,2.0,1.500000e-05,0.110,1.000,7,10,0,0.980,0.417,5.832,0.802,0.781,0.508,1255.739
763,COMPLETE,7.970,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.500000e-05,0.110,1.000,7,10,0,0.970,0.419,6.461,0.809,0.769,0.495,1226.985
764,COMPLETE,6.967,8,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.967,0.411,6.467,0.809,0.716,0.460,1260.515
765,COMPLETE,8.998,8,300.000,0.6,4,,0.500,750.0,3500.000,2.0,1.500000e-05,0.110,1.000,8,10,0,0.998,0.403,6.242,0.833,0.747,0.547,1233.784
766,COMPLETE,8.986,7,315.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.986,0.393,6.219,0.832,0.786,0.549,1192.079
767,COMPLETE,7.993,8,330.000,0.6,4,,0.500,750.0,3500.000,2.0,1.500000e-05,0.110,1.000,7,10,0,0.993,0.442,6.889,0.828,0.779,0.483,1273.514
768,COMPLETE,8.998,8,300.000,0.6,4,,0.500,750.0,3500.000,2.0,1.500000e-05,0.110,1.000,8,10,0,0.998,0.403,6.242,0.833,0.747,0.547,1238.116
769,COMPLETE,10.000,7,300.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,9,10,0,1.000,0.365,5.733,0.836,0.767,0.438,1161.430
770,COMPLETE,7.994,8,300.000,0.6,4,,0.300,750.0,3500.000,2.0,1.000000e-05,0.110,0.100,7,10,0,0.994,0.386,5.377,0.822,0.715,0.601,1205.874
771,COMPLETE,9.993,7,300.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,0.000,9,10,0,0.993,0.356,5.570,0.829,0.686,0.507,1115.403
772,COMPLETE,4.961,7,300.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.130,0.100,4,10,0,0.961,0.343,5.282,0.780,0.676,0.476,1110.908
773,COMPLETE,7.983,7,300.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,0.100,7,10,0,0.983,0.353,5.515,0.825,0.677,0.456,1099.744
774,COMPLETE,7.983,7,300.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,0.100,7,10,0,0.983,0.353,5.515,0.825,0.677,0.456,1093.984
775,COMPLETE,6.981,7,345.000,0.6,4,,0.360,750.0,3750.000,2.0,1.500000e-05,0.110,0.100,6,10,0,0.981,0.407,5.715,0.802,0.701,0.457,1216.338
776,COMPLETE,6.963,8,300.000,0.6,4,,0.500,750.0,3750.000,2.0,1.500000e-05,0.110,0.100,6,10,0,0.963,0.374,5.694,0.814,0.643,0.566,1184.994
777,COMPLETE,7.971,7,360.000,0.6,4,,0.560,750.0,3750.000,2.0,1.500000e-05,0.110,0.100,7,10,0,0.971,0.415,6.636,0.828,0.633,0.581,1198.982
778,COMPLETE,7.978,8,300.000,0.6,8,,0.540,750.0,3750.000,2.0,1.000000e-05,0.110,0.100,7,10,0,0.978,0.389,6.277,0.836,0.641,0.519,1172.846
779,COMPLETE,6.969,8,300.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,0.100,6,10,0,0.969,0.384,6.058,0.833,0.685,0.521,1181.905
780,COMPLETE,9.982,8,225.000,0.6,8,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,0.100,9,10,0,0.982,0.280,4.306,0.838,0.652,0.467,1052.618
781,COMPLETE,2.973,8,360.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,2,10,0,0.973,0.457,7.168,0.788,0.718,0.557,1306.764
782,COMPLETE,7.990,8,225.000,0.6,8,,0.540,750.0,3750.000,2.0,1.000000e-05,0.110,0.100,7,10,0,0.990,0.290,4.548,0.824,0.716,0.500,1053.172
783,COMPLETE,5.975,8,360.000,0.6,8,,0.340,750.0,3750.000,2.0,1.000000e-05,0.110,0.100,5,10,0,0.975,0.449,6.437,0.803,0.698,0.582,1270.397
784,COMPLETE,4.984,8,225.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,4,10,0,0.984,0.289,4.399,0.804,0.775,0.493,1078.237
785,COMPLETE,6.984,8,210.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.984,0.283,4.333,0.810,0.801,0.501,1043.493
786,COMPLETE,8.994,8,225.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.994,0.293,4.510,0.827,0.783,0.558,1070.700
787,COMPLETE,8.994,8,225.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.994,0.293,4.510,0.827,0.783,0.558,1060.736
788,COMPLETE,6.988,8,225.000,0.6,2,,0.560,750.0,3750.000,2.0,1.000000e-05,0.110,0.000,6,10,0,0.988,0.283,4.481,0.822,0.688,0.517,986.909
789,COMPLETE,10.000,7,225.000,0.6,2,,0.560,750.0,3750.000,2.0,1.000000e-05,0.110,0.000,9,10,0,1.000,0.253,3.994,0.839,0.667,0.502,904.105
790,COMPLETE,8.941,8,225.000,0.6,2,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,0.000,8,10,0,0.941,0.277,4.244,0.829,0.620,0.542,987.188
791,COMPLETE,8.994,8,225.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.994,0.293,4.510,0.827,0.783,0.558,1085.312
792,COMPLETE,5.974,7,360.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.130,1.000,5,10,0,0.974,0.433,6.817,0.795,0.686,0.572,1269.112
793,COMPLETE,6.994,8,225.000,0.6,4,,0.560,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.994,0.291,4.620,0.822,0.761,0.551,1058.587
794,COMPLETE,7.987,8,225.000,0.6,2,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,7,10,0,0.987,0.303,4.665,0.817,0.754,0.617,1044.528
795,COMPLETE,11.000,8,210.000,0.6,4,,0.560,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,10,10,0,1.000,0.285,4.512,0.831,0.802,0.538,1044.189
796,COMPLETE,4.963,8,225.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.130,1.000,4,10,0,0.963,0.299,4.553,0.785,0.738,0.543,1073.465
797,COMPLETE,4.984,8,225.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,4,10,0,0.984,0.289,4.399,0.804,0.775,0.493,1041.021
798,COMPLETE,6.968,8,360.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,6,10,0,0.968,0.452,7.097,0.785,0.691,0.466,1277.198
799,COMPLETE,8.994,8,225.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.994,0.293,4.510,0.827,0.783,0.558,1057.203
800,COMPLETE,8.994,8,225.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.994,0.293,4.510,0.827,0.783,0.558,1070.230
801,COMPLETE,6.928,8,225.000,0.6,4,,0.300,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.928,0.294,3.908,0.748,0.725,0.560,1081.920
802,COMPLETE,2.973,8,360.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,2,10,0,0.973,0.457,7.168,0.788,0.718,0.557,1339.819
803,COMPLETE,8.994,8,225.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.994,0.293,4.510,0.827,0.783,0.558,1066.273
804,COMPLETE,6.986,8,225.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.986,0.295,4.607,0.810,0.778,0.593,1072.999
805,COMPLETE,8.994,7,225.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.994,0.273,4.176,0.835,0.810,0.526,988.545
806,COMPLETE,2.973,8,360.000,0.6,4,,0.500,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,2,10,0,0.973,0.457,7.168,0.788,0.718,0.557,1329.940
807,COMPLETE,6.928,8,225.000,0.6,4,,0.300,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.928,0.294,3.908,0.748,0.725,0.560,1105.140
808,COMPLETE,3.942,7,360.000,0.6,4,,0.300,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,3,10,0,0.942,0.428,5.875,0.760,0.739,0.558,1271.207
809,COMPLETE,3.942,7,360.000,0.6,4,,0.300,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,3,10,0,0.942,0.428,5.875,0.760,0.739,0.558,1223.108
810,COMPLETE,5.970,8,225.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,5,10,0,0.970,0.300,4.592,0.798,0.783,0.503,1107.080
811,COMPLETE,7.990,8,360.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,7,10,0,0.990,0.468,7.482,0.824,0.735,0.491,1336.190
812,COMPLETE,5.970,8,225.000,0.6,4,,0.500,750.0,3500.000,2.0,1.000000e-05,0.110,1.000,5,10,0,0.970,0.300,4.592,0.798,0.783,0.503,1092.999
813,COMPLETE,8.990,7,360.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,8,10,0,0.990,0.431,7.004,0.833,0.744,0.525,1214.322
814,COMPLETE,6.986,8,225.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.986,0.295,4.607,0.810,0.778,0.593,1047.268
815,COMPLETE,6.986,8,225.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.110,1.000,6,10,0,0.986,0.295,4.607,0.810,0.778,0.593,1066.198
816,COMPLETE,5.983,8,225.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,5,10,0,0.983,0.285,4.412,0.797,0.732,0.577,1041.704
817,COMPLETE,5.983,8,225.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,5,10,0,0.983,0.285,4.412,0.797,0.732,0.577,1044.555
818,COMPLETE,6.976,8,360.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,6,10,0,0.976,0.451,7.266,0.798,0.700,0.560,1265.288
819,COMPLETE,6.976,8,360.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,6,10,0,0.976,0.451,7.266,0.798,0.700,0.560,1277.679
820,COMPLETE,1.949,8,360.000,0.6,4,,0.560,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,1,10,0,0.949,0.452,7.273,0.761,0.755,0.496,1292.799
821,COMPLETE,5.965,7,360.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,5,10,0,0.965,0.411,6.553,0.786,0.699,0.579,1207.507
822,COMPLETE,5.983,8,225.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,5,10,0,0.983,0.285,4.412,0.797,0.732,0.577,1050.905
823,COMPLETE,6.968,8,360.000,0.6,4,,0.540,750.0,3500.000,2.0,1.000000e-05,0.130,1.000,6,10,0,0.968,0.468,7.575,0.796,0.709,0.451,1294.018
824,COMPLETE,6.976,8,360.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,6,10,0,0.976,0.451,7.266,0.798,0.700,0.560,1266.866
825,COMPLETE,6.976,8,360.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,6,10,0,0.976,0.451,7.266,0.798,0.700,0.560,1267.459
826,COMPLETE,6.976,8,360.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,1.000,6,10,0,0.976,0.451,7.266,0.798,0.700,0.560,1284.302
827,COMPLETE,6.958,8,345.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,0.000,6,10,0,0.958,0.424,6.860,0.816,0.597,0.568,1245.252
828,COMPLETE,5.962,8,225.000,0.6,2,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,0.000,5,10,0,0.962,0.270,4.191,0.800,0.636,0.521,995.450
829,COMPLETE,7.994,8,360.000,0.6,4,,0.540,750.0,3750.000,2.0,1.000000e-05,0.110,0.000,7,10,0,0.994,0.454,7.383,0.826,0.672,0.574,1258.840
830,COMPLETE,6.948,8,360.000,0.6,2,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,0.000,6,10,0,0.948,0.445,7.228,0.822,0.617,0.549,1282.176
831,COMPLETE,6.948,8,360.000,0.6,2,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,0.000,6,10,0,0.948,0.445,7.228,0.822,0.617,0.549,1257.003
832,COMPLETE,6.948,8,360.000,0.6,2,,0.540,750.0,3750.000,2.0,1.000000e-05,0.130,0.000,6,10,0,0.948,0.445,7.228,0.822,0.617,0.549,1283.159
