number,state,value,food_site_count,food_site_radius,food_site_radius_log_sd,food_site_capacity,food_value,vertical_comb_benefit,food_site_min_distance,food_site_max_distance,foray_shape,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_final_dance_propensity,elapsed_seconds
588,COMPLETE,-0.726,4,255.000,0.6,2,,0.600,750.0,7250.000,2.0,4.250000e-05,0.100,1.000,1,10,2,0.274,0.098,0.232,0.248,0.263,0.686,582.352
589,COMPLETE,-2.714,4,255.000,0.6,5,,0.600,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,1,10,4,0.286,0.108,0.230,0.240,0.260,0.749,570.478
590,COMPLETE,-1.821,4,255.000,0.6,5,,0.200,750.0,7250.000,2.0,4.500000e-05,0.100,1.000,0,10,2,0.179,0.102,0.203,0.144,0.224,0.798,572.006
591,COMPLETE,0.174,4,270.000,0.6,5,,0.200,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,0,10,0,0.174,0.128,0.348,0.139,0.236,0.648,657.176
592,COMPLETE,0.220,4,270.000,0.6,2,,0.600,750.0,6750.000,2.0,4.500000e-05,0.100,1.000,0,10,0,0.220,0.127,0.386,0.178,0.187,0.683,620.631
593,COMPLETE,3.477,4,270.000,0.6,2,,0.600,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,3,10,0,0.477,0.116,0.350,0.402,0.399,0.666,616.043
594,COMPLETE,3.477,4,270.000,0.6,2,,0.600,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,3,10,0,0.477,0.116,0.350,0.402,0.399,0.666,628.333
595,COMPLETE,0.270,4,255.000,0.6,2,,0.600,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,1,10,1,0.270,0.110,0.253,0.227,0.268,0.704,572.548
596,COMPLETE,-0.623,4,270.000,0.6,2,,0.600,750.0,7250.000,2.0,4.500000e-05,0.120,1.000,2,10,3,0.377,0.106,0.279,0.313,0.364,0.623,569.404
597,COMPLETE,3.477,4,270.000,0.6,2,,0.600,750.0,6750.000,2.0,4.500000e-05,0.120,1.000,3,10,0,0.477,0.116,0.350,0.402,0.399,0.666,609.874
