number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,comb_tilt_mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
74,COMPLETE,3.882,7,0.370,8,1.000,0.430,5.000,0.040,0.090,0.060,0.700,3,5,0,0.882,0.641,7.643,0.790,0.582,841.401
75,COMPLETE,3.800,7,0.380,8,1.000,0.410,5.000,0.045,0.090,0.060,0.700,3,5,0,0.800,0.667,7.396,0.668,0.593,842.688
76,COMPLETE,4.860,7,0.380,9,1.000,0.420,5.000,0.045,0.090,0.060,0.900,4,5,0,0.860,0.670,7.796,0.731,0.654,848.265
77,COMPLETE,4.904,7,0.370,8,1.000,0.400,5.000,0.045,0.090,0.060,0.900,4,5,0,0.904,0.642,7.338,0.831,0.674,833.097
78,COMPLETE,3.972,7,0.380,9,1.000,0.400,5.000,0.045,0.080,0.060,0.900,3,5,0,0.972,0.676,7.923,0.831,0.687,835.195
79,COMPLETE,4.959,8,0.380,9,1.000,0.410,5.000,0.030,0.080,0.060,0.900,4,5,0,0.959,0.687,9.160,0.826,0.695,865.621
80,COMPLETE,1.655,8,0.280,9,1.000,0.410,5.000,0.030,0.080,0.050,0.600,1,5,0,0.655,0.572,6.646,0.640,0.401,831.490
81,COMPLETE,3.933,8,0.280,6,1.100,0.310,5.000,0.030,0.080,0.050,0.900,3,5,0,0.933,0.555,7.162,0.854,0.575,809.609
82,COMPLETE,2.791,8,0.280,6,1.100,0.440,5.000,0.030,0.080,0.050,0.600,2,5,0,0.791,0.549,7.581,0.809,0.501,795.712
83,COMPLETE,2.726,8,0.350,6,1.100,0.310,5.000,0.035,0.080,0.050,0.600,2,5,0,0.726,0.619,7.999,0.798,0.467,839.544
84,COMPLETE,4.972,7,0.350,7,0.900,0.440,5.000,0.035,0.090,0.050,0.600,4,5,0,0.972,0.603,6.490,0.844,0.681,814.119
85,COMPLETE,6.000,7,0.350,7,0.900,0.440,5.000,0.035,0.090,0.080,0.600,5,5,0,1.000,0.609,6.556,0.835,0.720,809.097
86,COMPLETE,3.922,7,0.350,7,0.900,0.280,5.000,0.035,0.090,0.070,0.600,3,5,0,0.922,0.602,5.759,0.755,0.695,819.364
