initial_comb_tilt,vertical_comb_benefit,vertical_comb_modifier,seed,outcome,generation,average_directional_bias,average_receiver_attention,average_sender_transposition,average_receiver_transposition,average_min_transposition,average_transposition_gap,average_comb_tilt,average_comb_orientation,comb_orientation_alignment,average_search_limit,average_success,average_payoff
1.000,0.050,linear,101,flat_recovered_collapse,0,0.071,0.114,0.000,0.000,0.000,0.000,1.000,2.735,0.130,2.217,0.023,0.001
1.000,0.050,linear,101,flat_recovered_collapse,1,0.094,0.101,0.020,0.025,0.020,0.005,0.976,2.248,0.229,2.050,0.020,0.001
1.000,0.050,linear,101,flat_recovered_collapse,2,0.111,0.099,0.046,0.041,0.041,0.005,0.965,2.512,0.097,2.009,0.021,0.002
1.000,0.050,linear,101,flat_recovered_collapse,3,0.102,0.070,0.043,0.046,0.043,0.003,0.954,3.106,0.319,1.689,0.016,0.001
1.000,0.050,linear,101,flat_recovered_collapse,4,0.120,0.107,0.071,0.084,0.071,0.012,0.949,2.614,0.203,1.802,0.020,0.001
1.000,0.050,linear,101,flat_recovered_collapse,5,0.147,0.122,0.092,0.086,0.086,0.006,0.935,2.702,0.308,1.751,0.017,0.001
1.000,0.050,linear,101,flat_recovered_collapse,6,0.161,0.130,0.110,0.091,0.091,0.019,0.916,2.372,0.079,1.678,0.018,0.001
1.000,0.050,linear,101,flat_recovered_collapse,7,0.173,0.123,0.130,0.097,0.097,0.033,0.884,1.125,0.069,1.829,0.019,0.001
1.000,0.050,linear,101,flat_recovered_collapse,8,0.189,0.127,0.147,0.103,0.103,0.045,0.871,1.149,0.113,1.890,0.021,0.001
1.000,0.050,linear,101,flat_recovered_collapse,9,0.207,0.142,0.166,0.112,0.112,0.054,0.851,2.619,0.027,1.996,0.021,0.001
1.000,0.050,linear,101,flat_recovered_collapse,10,0.241,0.158,0.158,0.102,0.102,0.056,0.858,1.908,0.101,2.007,0.023,0.002
1.000,0.050,linear,101,flat_recovered_collapse,11,0.447,0.245,0.122,0.163,0.122,0.041,0.920,1.732,0.539,3.152,0.044,0.005
1.000,0.050,linear,101,flat_recovered_collapse,12,0.531,0.328,0.091,0.213,0.091,0.122,0.947,1.863,0.724,3.935,0.057,0.001
1.000,0.050,linear,101,flat_recovered_collapse,13,0.549,0.345,0.104,0.237,0.104,0.133,0.943,1.829,0.579,4.073,0.060,0.004
1.000,0.050,linear,101,flat_recovered_collapse,14,0.456,0.371,0.133,0.234,0.133,0.100,0.907,1.712,0.338,5.159,0.082,0.007
1.000,0.050,linear,101,flat_recovered_collapse,15,0.474,0.378,0.158,0.236,0.158,0.078,0.869,1.893,0.356,5.520,0.086,0.008
1.000,0.050,linear,101,flat_recovered_collapse,16,0.625,0.380,0.143,0.152,0.143,0.009,0.829,2.515,0.436,5.676,0.094,0.013
1.000,0.050,linear,101,flat_recovered_collapse,17,0.630,0.362,0.103,0.133,0.103,0.030,0.830,0.076,0.546,5.908,0.095,0.017
1.000,0.050,linear,101,flat_recovered_collapse,18,0.677,0.392,0.097,0.095,0.095,0.002,0.860,0.297,0.423,6.376,0.111,0.018
1.000,0.050,linear,101,flat_recovered_collapse,19,0.645,0.464,0.070,0.136,0.070,0.066,0.861,0.504,0.296,6.455,0.112,0.045
1.000,0.050,linear,101,flat_recovered_collapse,20,0.673,0.552,0.077,0.203,0.077,0.126,0.795,0.444,0.319,6.824,0.115,0.022
1.000,0.050,linear,101,flat_recovered_collapse,21,0.684,0.681,0.109,0.165,0.109,0.056,0.733,3.079,0.370,7.221,0.129,0.058
1.000,0.050,linear,101,flat_recovered_collapse,22,0.693,0.771,0.112,0.143,0.112,0.031,0.699,3.060,0.380,6.860,0.126,0.065
1.000,0.050,linear,101,flat_recovered_collapse,23,0.652,0.800,0.092,0.130,0.092,0.038,0.686,3.008,0.438,6.821,0.128,0.113
1.000,0.050,linear,101,flat_recovered_collapse,24,0.521,0.751,0.063,0.154,0.063,0.091,0.476,0.294,0.275,7.110,0.157,0.309
1.000,0.050,linear,101,flat_recovered_collapse,25,0.531,0.781,0.075,0.154,0.075,0.079,0.416,0.323,0.298,6.821,0.155,0.333
1.000,0.050,linear,101,flat_recovered_collapse,26,0.550,0.771,0.084,0.156,0.084,0.072,0.395,0.718,0.349,6.642,0.158,0.397
1.000,0.050,linear,101,flat_recovered_collapse,27,0.533,0.807,0.103,0.177,0.103,0.074,0.378,0.681,0.230,6.911,0.157,0.350
1.000,0.050,linear,101,flat_recovered_collapse,28,0.533,0.800,0.116,0.224,0.116,0.108,0.334,0.776,0.152,6.938,0.163,0.398
1.000,0.050,linear,101,flat_recovered_collapse,29,0.539,0.828,0.098,0.205,0.098,0.107,0.309,0.718,0.236,7.081,0.162,0.373
1.000,0.050,linear,101,flat_recovered_collapse,30,0.511,0.843,0.098,0.216,0.098,0.118,0.301,0.591,0.214,7.148,0.167,0.445
1.000,0.050,linear,101,flat_recovered_collapse,31,0.546,0.860,0.101,0.208,0.101,0.106,0.242,0.645,0.200,6.793,0.171,0.540
1.000,0.050,linear,101,flat_recovered_collapse,32,0.542,0.866,0.098,0.200,0.098,0.102,0.201,0.710,0.191,6.790,0.170,0.522
1.000,0.050,linear,101,flat_recovered_collapse,33,0.548,0.856,0.134,0.237,0.134,0.103,0.175,2.709,0.026,6.841,0.164,0.431
1.000,0.050,linear,101,flat_recovered_collapse,34,0.529,0.856,0.102,0.204,0.102,0.102,0.190,2.559,0.039,7.110,0.170,0.465
1.000,0.050,linear,101,flat_recovered_collapse,35,0.529,0.878,0.107,0.211,0.107,0.104,0.158,2.222,0.212,7.249,0.177,0.500
1.000,0.050,linear,101,flat_recovered_collapse,36,0.534,0.886,0.151,0.268,0.151,0.117,0.129,2.392,0.187,7.183,0.180,0.556
1.000,0.050,linear,101,flat_recovered_collapse,37,0.596,0.866,0.163,0.262,0.163,0.099,0.139,2.936,0.165,7.233,0.184,0.589
1.000,0.050,linear,101,flat_recovered_collapse,38,0.609,0.849,0.193,0.298,0.193,0.105,0.135,2.863,0.373,7.324,0.182,0.558
1.000,0.050,linear,101,flat_recovered_collapse,39,0.651,0.833,0.207,0.271,0.207,0.064,0.146,3.039,0.342,7.294,0.184,0.587
1.000,0.050,linear,101,flat_recovered_collapse,40,0.673,0.862,0.178,0.262,0.178,0.084,0.129,3.092,0.265,7.282,0.183,0.584
1.000,0.050,linear,101,flat_recovered_collapse,41,0.700,0.851,0.179,0.241,0.179,0.062,0.142,3.071,0.171,7.424,0.195,0.686
1.000,0.050,linear,101,flat_recovered_collapse,42,0.716,0.888,0.158,0.186,0.158,0.028,0.145,0.337,0.104,7.459,0.202,0.777
1.000,0.050,linear,101,flat_recovered_collapse,43,0.718,0.904,0.172,0.201,0.172,0.028,0.144,0.673,0.222,7.315,0.200,0.777
1.000,0.050,linear,101,flat_recovered_collapse,44,0.732,0.900,0.142,0.191,0.142,0.049,0.163,0.619,0.163,7.270,0.196,0.737
1.000,0.050,linear,101,flat_recovered_collapse,45,0.727,0.925,0.158,0.197,0.158,0.039,0.156,0.461,0.059,7.322,0.195,0.702
1.000,0.050,linear,101,flat_recovered_collapse,46,0.724,0.921,0.158,0.228,0.158,0.070,0.146,1.240,0.143,7.157,0.193,0.703
1.000,0.050,linear,101,flat_recovered_collapse,47,0.711,0.904,0.144,0.223,0.144,0.079,0.122,1.280,0.130,7.196,0.186,0.624
1.000,0.050,linear,101,flat_recovered_collapse,48,0.760,0.901,0.135,0.224,0.135,0.090,0.156,1.330,0.210,7.190,0.198,0.780
1.000,0.050,linear,101,flat_recovered_collapse,49,0.810,0.895,0.111,0.270,0.111,0.159,0.128,1.102,0.335,7.504,0.206,0.816
1.000,0.050,linear,101,flat_recovered_collapse,50,0.824,0.897,0.151,0.277,0.151,0.125,0.139,1.126,0.362,7.466,0.201,0.754
1.000,0.050,linear,101,flat_recovered_collapse,51,0.842,0.907,0.131,0.267,0.131,0.136,0.113,1.256,0.293,7.367,0.198,0.735
1.000,0.050,linear,101,flat_recovered_collapse,52,0.843,0.915,0.149,0.289,0.149,0.140,0.125,1.492,0.261,7.462,0.204,0.799
1.000,0.050,linear,101,flat_recovered_collapse,53,0.837,0.909,0.165,0.238,0.165,0.073,0.139,1.757,0.289,7.564,0.200,0.743
1.000,0.050,linear,101,flat_recovered_collapse,54,0.868,0.914,0.189,0.203,0.189,0.014,0.136,2.067,0.227,7.631,0.201,0.720
1.000,0.050,linear,101,flat_recovered_collapse,55,0.895,0.908,0.190,0.171,0.171,0.019,0.155,1.962,0.118,7.536,0.204,0.773
1.000,0.050,linear,101,flat_recovered_collapse,56,0.870,0.908,0.174,0.163,0.163,0.011,0.134,2.342,0.064,7.434,0.199,0.742
1.000,0.050,linear,101,flat_recovered_collapse,57,0.889,0.890,0.160,0.159,0.159,0.001,0.123,2.201,0.072,7.456,0.201,0.759
1.000,0.050,linear,101,flat_recovered_collapse,58,0.859,0.905,0.225,0.203,0.203,0.022,0.114,2.596,0.154,7.465,0.205,0.812
1.000,0.050,linear,101,flat_recovered_collapse,59,0.848,0.888,0.215,0.189,0.189,0.026,0.121,2.615,0.170,7.332,0.195,0.713
1.000,0.050,linear,101,flat_recovered_collapse,60,0.869,0.870,0.207,0.148,0.148,0.059,0.122,1.995,0.169,7.204,0.197,0.758
1.000,0.050,linear,101,flat_recovered_collapse,61,0.877,0.865,0.183,0.140,0.140,0.043,0.133,1.540,0.240,7.161,0.190,0.687
1.000,0.050,linear,101,flat_recovered_collapse,62,0.869,0.858,0.188,0.129,0.129,0.059,0.143,1.562,0.240,7.052,0.190,0.694
1.000,0.050,linear,101,flat_recovered_collapse,63,0.878,0.898,0.185,0.113,0.113,0.073,0.139,1.328,0.325,6.971,0.190,0.723
1.000,0.050,linear,101,flat_recovered_collapse,64,0.811,0.888,0.223,0.087,0.087,0.135,0.153,1.422,0.328,7.175,0.191,0.681
1.000,0.050,linear,101,flat_recovered_collapse,65,0.820,0.863,0.232,0.102,0.102,0.130,0.150,1.035,0.286,7.176,0.188,0.663
1.000,0.050,linear,101,flat_recovered_collapse,66,0.840,0.882,0.202,0.111,0.111,0.091,0.149,0.937,0.143,7.051,0.188,0.670
1.000,0.050,linear,101,flat_recovered_collapse,67,0.867,0.866,0.182,0.137,0.137,0.045,0.149,0.563,0.174,7.143,0.194,0.739
1.000,0.050,linear,101,flat_recovered_collapse,68,0.880,0.858,0.216,0.129,0.129,0.088,0.140,0.097,0.125,7.223,0.192,0.693
1.000,0.050,linear,101,flat_recovered_collapse,69,0.907,0.872,0.215,0.138,0.138,0.077,0.144,0.385,0.127,7.283,0.197,0.752
1.000,0.050,linear,101,flat_recovered_collapse,70,0.877,0.876,0.207,0.139,0.139,0.067,0.128,0.336,0.211,7.485,0.198,0.712
1.000,0.050,linear,101,flat_recovered_collapse,71,0.857,0.869,0.216,0.147,0.147,0.069,0.124,2.978,0.244,7.440,0.203,0.789
1.000,0.050,linear,101,flat_recovered_collapse,72,0.880,0.854,0.227,0.122,0.122,0.105,0.104,2.775,0.210,7.516,0.200,0.734
1.000,0.050,linear,101,flat_recovered_collapse,73,0.866,0.851,0.240,0.150,0.150,0.090,0.134,2.738,0.142,7.475,0.198,0.716
1.000,0.050,linear,101,flat_recovered_collapse,74,0.837,0.869,0.241,0.119,0.119,0.121,0.118,2.180,0.088,7.373,0.204,0.818
1.000,0.050,linear,101,flat_recovered_collapse,75,0.822,0.901,0.211,0.103,0.103,0.109,0.150,0.215,0.125,7.181,0.196,0.762
1.000,0.050,linear,101,flat_recovered_collapse,76,0.845,0.884,0.216,0.123,0.123,0.092,0.154,3.015,0.202,7.289,0.195,0.730
1.000,0.050,linear,101,flat_recovered_collapse,77,0.851,0.868,0.225,0.129,0.129,0.097,0.182,0.014,0.326,7.317,0.186,0.607
1.000,0.050,linear,101,flat_recovered_collapse,78,0.892,0.857,0.239,0.147,0.147,0.092,0.168,2.816,0.259,7.486,0.195,0.675
1.000,0.050,linear,101,flat_recovered_collapse,79,0.859,0.882,0.229,0.138,0.138,0.091,0.176,2.907,0.186,7.394,0.200,0.769
1.000,0.050,linear,101,flat_recovered_collapse,80,0.857,0.905,0.239,0.133,0.133,0.106,0.149,2.192,0.318,7.300,0.203,0.816
1.000,0.050,linear,101,flat_recovered_collapse,81,0.886,0.884,0.208,0.146,0.146,0.062,0.117,1.981,0.255,7.311,0.199,0.754
1.000,0.050,linear,101,flat_recovered_collapse,82,0.872,0.891,0.223,0.159,0.159,0.064,0.143,1.896,0.394,7.292,0.197,0.742
1.000,0.050,linear,101,flat_recovered_collapse,83,0.892,0.902,0.225,0.158,0.158,0.067,0.145,1.564,0.451,7.382,0.205,0.824
1.000,0.050,linear,101,flat_recovered_collapse,84,0.902,0.908,0.242,0.170,0.170,0.072,0.158,1.426,0.438,7.247,0.200,0.791
1.000,0.050,linear,101,flat_recovered_collapse,85,0.888,0.899,0.275,0.211,0.211,0.064,0.119,1.468,0.470,7.129,0.195,0.741
1.000,0.050,linear,101,flat_recovered_collapse,86,0.876,0.889,0.270,0.219,0.219,0.051,0.141,1.436,0.444,7.323,0.195,0.706
1.000,0.050,linear,101,flat_recovered_collapse,87,0.870,0.888,0.296,0.210,0.210,0.087,0.134,1.792,0.182,7.420,0.206,0.826
1.000,0.050,linear,101,flat_recovered_collapse,88,0.845,0.899,0.257,0.211,0.211,0.045,0.136,1.447,0.320,7.344,0.201,0.780
1.000,0.050,linear,101,flat_recovered_collapse,89,0.858,0.907,0.251,0.198,0.198,0.053,0.115,1.207,0.357,7.426,0.200,0.746
1.000,0.050,linear,101,flat_recovered_collapse,90,0.870,0.920,0.221,0.174,0.174,0.046,0.104,1.425,0.438,7.520,0.198,0.714
1.000,0.050,linear,101,flat_recovered_collapse,91,0.834,0.903,0.245,0.210,0.210,0.035,0.124,1.132,0.309,7.492,0.207,0.824
1.000,0.050,linear,101,flat_recovered_collapse,92,0.843,0.895,0.248,0.224,0.224,0.024,0.134,1.373,0.310,7.435,0.196,0.693
1.000,0.050,linear,101,flat_recovered_collapse,93,0.835,0.879,0.222,0.213,0.213,0.010,0.133,1.491,0.367,7.550,0.201,0.741
1.000,0.050,linear,101,flat_recovered_collapse,94,0.821,0.880,0.182,0.208,0.182,0.026,0.128,1.484,0.315,7.438,0.200,0.751
1.000,0.050,linear,101,flat_recovered_collapse,95,0.829,0.883,0.185,0.185,0.185,0.001,0.151,1.166,0.262,7.354,0.200,0.756
1.000,0.050,linear,101,flat_recovered_collapse,96,0.876,0.878,0.176,0.200,0.176,0.024,0.177,1.480,0.283,7.273,0.191,0.676
1.000,0.050,linear,101,flat_recovered_collapse,97,0.892,0.878,0.182,0.241,0.182,0.059,0.182,1.675,0.494,7.369,0.199,0.752
1.000,0.050,linear,101,flat_recovered_collapse,98,0.873,0.885,0.200,0.249,0.200,0.050,0.169,1.674,0.285,7.356,0.199,0.747
1.000,0.050,linear,101,flat_recovered_collapse,99,0.871,0.878,0.255,0.311,0.255,0.056,0.139,1.615,0.395,7.215,0.191,0.681
1.000,0.050,linear,101,flat_recovered_collapse,100,0.856,0.903,0.283,0.310,0.283,0.028,0.144,1.775,0.187,7.422,0.200,0.760
1.000,0.050,linear,101,flat_recovered_collapse,101,0.862,0.875,0.250,0.316,0.250,0.065,0.137,1.272,0.112,7.528,0.202,0.760
1.000,0.050,linear,101,flat_recovered_collapse,102,0.865,0.869,0.261,0.313,0.261,0.052,0.123,3.093,0.070,7.470,0.200,0.743
1.000,0.050,linear,101,flat_recovered_collapse,103,0.856,0.883,0.260,0.317,0.260,0.056,0.139,0.019,0.214,7.464,0.198,0.722
1.000,0.050,linear,101,flat_recovered_collapse,104,0.862,0.891,0.188,0.261,0.188,0.073,0.127,0.160,0.189,7.456,0.200,0.738
1.000,0.050,linear,101,flat_recovered_collapse,105,0.865,0.872,0.192,0.244,0.192,0.051,0.117,2.985,0.135,7.484,0.208,0.852
1.000,0.050,linear,101,flat_recovered_collapse,106,0.860,0.883,0.234,0.224,0.224,0.009,0.105,0.318,0.145,7.411,0.205,0.824
1.000,0.050,linear,101,flat_recovered_collapse,107,0.862,0.908,0.239,0.214,0.214,0.026,0.114,1.835,0.092,7.451,0.199,0.727
1.000,0.050,linear,101,flat_recovered_collapse,108,0.867,0.899,0.241,0.224,0.224,0.017,0.118,0.784,0.146,7.392,0.201,0.776
1.000,0.050,linear,101,flat_recovered_collapse,109,0.857,0.893,0.234,0.232,0.232,0.001,0.113,0.562,0.090,7.210,0.200,0.799
1.000,0.050,linear,101,flat_recovered_collapse,110,0.845,0.866,0.201,0.231,0.201,0.031,0.137,0.778,0.057,7.170,0.191,0.681
1.000,0.050,linear,101,flat_recovered_collapse,111,0.845,0.881,0.234,0.244,0.234,0.010,0.122,0.945,0.034,7.363,0.196,0.725
1.000,0.050,linear,101,flat_recovered_collapse,112,0.838,0.861,0.205,0.231,0.205,0.026,0.130,1.980,0.053,7.375,0.196,0.732
1.000,0.050,linear,101,flat_recovered_collapse,113,0.827,0.876,0.207,0.248,0.207,0.041,0.157,1.727,0.194,7.415,0.191,0.648
1.000,0.050,linear,101,flat_recovered_collapse,114,0.856,0.895,0.214,0.214,0.214,0.000,0.142,2.067,0.131,7.373,0.199,0.757
1.000,0.050,linear,101,flat_recovered_collapse,115,0.872,0.890,0.279,0.258,0.258,0.021,0.095,2.063,0.213,7.152,0.194,0.725
1.000,0.050,linear,101,flat_recovered_collapse,116,0.865,0.865,0.282,0.272,0.272,0.010,0.102,2.743,0.225,7.081,0.192,0.712
1.000,0.050,linear,101,flat_recovered_collapse,117,0.834,0.870,0.249,0.265,0.249,0.016,0.130,2.651,0.115,7.166,0.184,0.609
1.000,0.050,linear,101,flat_recovered_collapse,118,0.834,0.829,0.214,0.247,0.214,0.034,0.125,1.855,0.176,7.189,0.189,0.667
1.000,0.050,linear,101,flat_recovered_collapse,119,0.805,0.787,0.207,0.264,0.207,0.057,0.115,2.002,0.114,6.955,0.184,0.647
1.000,0.050,linear,101,flat_recovered_collapse,120,0.819,0.790,0.171,0.254,0.171,0.083,0.090,1.671,0.204,7.103,0.188,0.665
1.000,0.050,linear,102,flat,0,0.070,0.129,0.000,0.000,0.000,0.000,1.000,1.078,0.135,2.369,0.025,0.001
1.000,0.050,linear,102,flat,1,0.090,0.133,0.028,0.029,0.028,0.001,0.963,1.253,0.151,2.218,0.024,0.001
1.000,0.050,linear,102,flat,2,0.090,0.138,0.052,0.051,0.051,0.001,0.927,0.856,0.071,2.334,0.025,0.001
1.000,0.050,linear,102,flat,3,0.105,0.158,0.066,0.053,0.053,0.013,0.913,2.843,0.040,2.271,0.027,0.001
1.000,0.050,linear,102,flat,4,0.161,0.155,0.077,0.076,0.076,0.001,0.843,1.618,0.168,2.606,0.030,0.002
1.000,0.050,linear,102,flat,5,0.161,0.176,0.114,0.058,0.058,0.056,0.898,0.778,0.142,2.878,0.037,0.004
1.000,0.050,linear,102,flat,6,0.125,0.156,0.153,0.036,0.036,0.117,0.899,1.230,0.605,3.702,0.048,0.001
1.000,0.050,linear,102,flat,7,0.127,0.156,0.153,0.055,0.055,0.098,0.911,1.308,0.423,3.721,0.051,0.001
1.000,0.050,linear,102,flat,8,0.155,0.163,0.156,0.062,0.062,0.094,0.898,1.370,0.323,3.560,0.047,0.001
1.000,0.050,linear,102,flat,9,0.188,0.194,0.159,0.074,0.074,0.085,0.907,1.518,0.305,3.483,0.049,0.001
1.000,0.050,linear,102,flat,10,0.227,0.206,0.165,0.089,0.089,0.076,0.859,1.401,0.259,3.139,0.042,0.004
1.000,0.050,linear,102,flat,11,0.208,0.179,0.120,0.052,0.052,0.067,0.829,1.404,0.536,2.969,0.037,0.001
1.000,0.050,linear,102,flat,12,0.209,0.166,0.121,0.055,0.055,0.066,0.821,1.273,0.522,2.826,0.037,0.001
1.000,0.050,linear,102,flat,13,0.193,0.168,0.111,0.058,0.058,0.053,0.795,1.156,0.337,2.511,0.029,0.001
1.000,0.050,linear,102,flat,14,0.200,0.167,0.141,0.085,0.085,0.056,0.789,1.331,0.223,2.526,0.029,0.001
1.000,0.050,linear,102,flat,15,0.224,0.145,0.123,0.108,0.108,0.015,0.803,0.485,0.055,2.370,0.029,0.002
1.000,0.050,linear,102,flat,16,0.207,0.195,0.129,0.172,0.129,0.043,0.804,0.182,0.150,2.624,0.032,0.001
1.000,0.050,linear,102,flat,17,0.276,0.241,0.198,0.220,0.198,0.022,0.766,0.831,0.379,2.787,0.037,0.001
1.000,0.050,linear,102,flat,18,0.345,0.297,0.211,0.235,0.211,0.024,0.739,0.887,0.549,2.891,0.039,0.003
1.000,0.050,linear,102,flat,19,0.308,0.333,0.294,0.300,0.294,0.006,0.783,0.737,0.395,3.495,0.051,0.009
1.000,0.050,linear,102,flat,20,0.402,0.510,0.209,0.292,0.209,0.083,0.674,0.598,0.519,4.391,0.073,0.021
1.000,0.050,linear,102,flat,21,0.448,0.603,0.128,0.246,0.128,0.118,0.595,0.882,0.538,4.251,0.076,0.044
1.000,0.050,linear,102,flat,22,0.501,0.699,0.105,0.189,0.105,0.084,0.561,0.955,0.495,4.347,0.082,0.070
1.000,0.050,linear,102,flat,23,0.525,0.733,0.087,0.131,0.087,0.044,0.525,0.549,0.408,4.180,0.080,0.065
1.000,0.050,linear,102,flat,24,0.568,0.769,0.106,0.134,0.106,0.029,0.472,0.648,0.385,4.490,0.094,0.162
1.000,0.050,linear,102,flat,25,0.573,0.827,0.132,0.138,0.132,0.005,0.401,0.305,0.461,4.785,0.105,0.184
1.000,0.050,linear,102,flat,26,0.569,0.869,0.142,0.156,0.142,0.014,0.360,0.230,0.356,4.958,0.113,0.235
1.000,0.050,linear,102,flat,27,0.591,0.876,0.154,0.168,0.154,0.014,0.312,0.138,0.457,5.346,0.131,0.347
1.000,0.050,linear,102,flat,28,0.581,0.898,0.165,0.185,0.165,0.021,0.255,0.263,0.363,5.703,0.143,0.407
1.000,0.050,linear,102,flat,29,0.605,0.904,0.150,0.184,0.150,0.034,0.225,0.771,0.367,5.691,0.138,0.384
1.000,0.050,linear,102,flat,30,0.633,0.908,0.148,0.174,0.148,0.026,0.217,0.592,0.218,5.871,0.152,0.498
1.000,0.050,linear,102,flat,31,0.670,0.897,0.146,0.181,0.146,0.035,0.219,0.377,0.159,6.168,0.155,0.461
1.000,0.050,linear,102,flat,32,0.676,0.909,0.169,0.190,0.169,0.020,0.218,0.836,0.270,6.475,0.165,0.510
1.000,0.050,linear,102,flat,33,0.686,0.919,0.154,0.163,0.154,0.009,0.209,0.870,0.198,6.361,0.170,0.602
1.000,0.050,linear,102,flat,34,0.739,0.923,0.124,0.133,0.124,0.009,0.185,1.816,0.134,6.830,0.183,0.667
1.000,0.050,linear,102,flat,35,0.729,0.907,0.155,0.173,0.155,0.019,0.188,1.606,0.118,7.018,0.184,0.628
1.000,0.050,linear,102,flat,36,0.747,0.885,0.133,0.164,0.133,0.030,0.193,1.663,0.304,7.034,0.180,0.589
1.000,0.050,linear,102,flat,37,0.784,0.894,0.132,0.186,0.132,0.054,0.194,1.801,0.260,7.037,0.187,0.665
1.000,0.050,linear,102,flat,38,0.773,0.881,0.148,0.215,0.148,0.068,0.181,2.183,0.144,7.142,0.192,0.708
1.000,0.050,linear,102,flat,39,0.757,0.867,0.144,0.214,0.144,0.071,0.151,0.003,0.141,7.302,0.193,0.692
1.000,0.050,linear,102,flat,40,0.775,0.892,0.147,0.185,0.147,0.037,0.147,0.814,0.127,7.036,0.187,0.671
1.000,0.050,linear,102,flat,41,0.770,0.883,0.169,0.221,0.169,0.052,0.165,0.493,0.082,7.147,0.191,0.703
1.000,0.050,linear,102,flat,42,0.766,0.869,0.166,0.223,0.166,0.057,0.182,0.124,0.138,7.326,0.193,0.694
1.000,0.050,linear,102,flat,43,0.737,0.886,0.176,0.201,0.176,0.025,0.164,0.210,0.094,7.338,0.187,0.608
1.000,0.050,linear,102,flat,44,0.786,0.895,0.238,0.242,0.238,0.003,0.153,0.586,0.232,7.454,0.190,0.620
1.000,0.050,linear,102,flat,45,0.806,0.912,0.284,0.297,0.284,0.013,0.147,0.478,0.267,7.560,0.203,0.771
1.000,0.050,linear,102,flat,46,0.863,0.906,0.333,0.353,0.333,0.020,0.124,0.355,0.403,7.598,0.210,0.835
1.000,0.050,linear,102,flat,47,0.905,0.889,0.407,0.412,0.407,0.005,0.089,0.109,0.352,7.578,0.205,0.787
1.000,0.050,linear,102,flat,48,0.895,0.895,0.435,0.433,0.433,0.002,0.080,0.268,0.257,7.500,0.208,0.830
1.000,0.050,linear,102,flat,49,0.906,0.892,0.458,0.444,0.444,0.014,0.091,0.012,0.328,7.413,0.199,0.749
1.000,0.050,linear,102,flat,50,0.871,0.903,0.497,0.481,0.481,0.016,0.076,0.333,0.224,7.446,0.197,0.708
1.000,0.050,linear,102,flat,51,0.868,0.902,0.389,0.419,0.389,0.030,0.073,0.164,0.279,7.426,0.196,0.704
1.000,0.050,linear,102,flat,52,0.859,0.902,0.390,0.395,0.390,0.006,0.067,0.121,0.183,7.517,0.206,0.806
1.000,0.050,linear,102,flat,53,0.855,0.901,0.348,0.367,0.348,0.019,0.089,2.459,0.070,7.419,0.199,0.737
1.000,0.050,linear,102,flat,54,0.845,0.898,0.366,0.367,0.366,0.002,0.073,2.352,0.137,7.454,0.199,0.737
1.000,0.050,linear,102,flat,55,0.837,0.906,0.332,0.333,0.332,0.001,0.072,2.676,0.122,7.327,0.193,0.691
1.000,0.050,linear,102,flat,56,0.836,0.924,0.273,0.278,0.273,0.005,0.073,3.124,0.113,7.379,0.201,0.775
1.000,0.050,linear,102,flat,57,0.864,0.903,0.261,0.243,0.243,0.018,0.079,3.071,0.097,7.245,0.193,0.705
1.000,0.050,linear,102,flat,58,0.852,0.899,0.273,0.223,0.223,0.050,0.114,1.031,0.048,7.174,0.197,0.765
1.000,0.050,linear,102,flat,59,0.854,0.883,0.276,0.239,0.239,0.037,0.139,0.923,0.053,7.104,0.198,0.788
1.000,0.050,linear,102,flat,60,0.884,0.878,0.262,0.245,0.245,0.017,0.157,2.860,0.123,7.256,0.189,0.656
1.000,0.050,linear,102,flat,61,0.915,0.887,0.253,0.254,0.253,0.001,0.149,0.022,0.048,7.232,0.196,0.732
1.000,0.050,linear,102,flat,62,0.936,0.899,0.335,0.300,0.300,0.035,0.159,0.330,0.085,7.172,0.196,0.753
1.000,0.050,linear,102,flat,63,0.917,0.908,0.316,0.308,0.308,0.008,0.163,2.987,0.123,7.300,0.195,0.727
1.000,0.050,linear,102,flat,64,0.914,0.932,0.324,0.303,0.303,0.020,0.175,0.646,0.008,7.425,0.205,0.809
1.000,0.050,linear,102,flat,65,0.905,0.932,0.272,0.264,0.264,0.008,0.181,2.465,0.301,7.596,0.207,0.809
1.000,0.050,linear,102,flat,66,0.899,0.914,0.265,0.255,0.255,0.011,0.191,2.380,0.244,7.582,0.203,0.773
1.000,0.050,linear,102,flat,67,0.915,0.913,0.222,0.263,0.222,0.040,0.185,2.023,0.289,7.457,0.204,0.793
1.000,0.050,linear,102,flat,68,0.886,0.874,0.230,0.244,0.230,0.014,0.162,2.124,0.272,7.345,0.191,0.663
1.000,0.050,linear,102,flat,69,0.859,0.880,0.224,0.208,0.208,0.015,0.149,2.010,0.124,7.446,0.197,0.717
1.000,0.050,linear,102,flat,70,0.887,0.883,0.265,0.200,0.200,0.065,0.123,1.119,0.115,7.554,0.207,0.818
1.000,0.050,linear,102,flat,71,0.899,0.875,0.216,0.186,0.186,0.030,0.123,1.819,0.311,7.285,0.194,0.706
1.000,0.050,linear,102,flat,72,0.905,0.877,0.237,0.172,0.172,0.066,0.143,1.878,0.240,7.164,0.193,0.718
1.000,0.050,linear,102,flat,73,0.900,0.892,0.222,0.195,0.195,0.027,0.154,1.874,0.259,7.157,0.188,0.660
